"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
55.234215,34.611656,12.989038,16.775028,11.171624,660.511414
58.130653,34.970028,37.141193,67.572342,53.689545,3462.352539
41.456673,18.427036,20.929527,41.509365,35.182388,2124.536133
40.801407,21.820963,20.799320,27.210484,28.892048,1653.621094
34.007515,22.465261,9.883198,16.507061,21.590113,1611.339844
6.012068,3.928138,3.703007,6.302413,2.931181,100.308441
7.025047,4.489439,2.146286,10.492343,5.342286,18.126265
17.619246,11.627974,10.883940,34.653172,22.125656,981.086548
18.472843,12.392584,3.343464,14.110046,5.401423,59.063591
15.646147,10.872933,5.275966,4.859380,3.343207,242.568878
30.727646,19.967831,8.373173,11.218884,5.413580,249.745178
20.996758,14.178711,4.833796,6.883301,4.512898,296.870331
46.877861,27.954018,45.007408,51.082378,27.464018,1727.328003
26.725233,17.777525,8.683061,6.945937,8.047706,597.993164
38.774078,25.179077,11.515306,25.795704,9.475693,20.268412
15.626898,10.316210,3.769825,22.030224,10.729995,329.639893
37.205353,24.860939,10.291549,11.789219,7.548091,465.138855
6.726893,4.617047,3.766458,2.862948,1.749071,76.321892
22.641796,15.144075,19.754511,26.238424,11.508385,242.040726
66.788055,40.029011,17.958239,35.452972,17.545042,707.935730
22.192801,14.825023,7.108793,9.257412,4.941777,211.649323
52.209557,30.744127,49.529827,77.944817,45.890987,1968.252441
75.396713,26.945837,40.642288,90.757019,47.938519,2094.299561
62.185471,24.798712,43.196239,72.219368,37.873783,2305.027344
28.916576,19.149660,6.612228,11.837341,4.406908,293.183685
24.234999,16.294888,3.723295,25.424387,13.017432,398.287201
14.613052,10.279530,3.980846,5.249750,1.362381,39.817307
33.158455,14.780519,31.391394,56.724041,43.839191,2781.204346
25.905396,10.393965,36.894775,61.312904,40.320160,2416.834473
31.758114,20.910011,9.481528,16.616926,8.083473,387.468353
31.213861,20.832897,7.769638,13.558735,7.835882,434.917236
22.267769,14.846393,13.898502,34.562134,26.630449,1641.756714
29.851046,19.328489,11.278541,17.042086,12.064612,694.261841
12.476393,8.698374,2.868101,6.852945,4.211300,203.804565
22.294746,15.283398,6.534371,6.449248,2.411170,58.669445
28.980858,18.929306,6.407180,23.342627,9.985669,172.777161
23.010176,15.568265,8.249643,28.047983,16.871979,778.313965
13.033538,8.723005,2.989335,6.301213,4.415411,242.819427
18.244003,12.362790,10.186872,49.617027,37.485657,1667.504272
26.229610,16.692057,39.491131,51.319839,31.996593,1018.190002
29.133677,19.028021,7.891107,10.201537,6.437945,492.418335
22.238230,13.880390,11.453732,29.089315,7.889729,35.469864
22.683229,14.857934,5.859100,37.867096,17.503742,358.515900
7.875467,5.869824,2.109667,11.354168,3.750617,15.148952
18.653070,10.621134,22.013750,34.772621,37.411602,2879.325195
35.003933,22.635981,13.763484,20.065025,39.080078,2018.456177
8.027197,5.305672,17.410753,37.775658,44.401070,3017.430664
31.110590,20.843227,7.059406,8.857347,5.008545,252.362930
52.704815,28.750614,65.189873,161.215424,91.082848,2380.557617
25.713551,17.172764,21.953594,17.774370,11.337924,661.728027
18.293917,12.465255,5.609116,6.617043,4.725934,370.867432
12.543488,8.937677,3.784945,7.112661,4.470099,287.013641
23.195148,16.326910,7.148767,8.321635,5.473628,319.765839
23.412203,15.640339,10.793472,31.780540,16.036776,897.117004
22.210037,14.928824,11.920024,14.259714,6.878359,479.295715
12.812869,8.515623,4.239929,24.728607,5.773611,13.072038
19.221569,12.925593,9.152511,10.891258,12.336955,925.218628
13.694554,9.168837,4.757797,5.046815,2.723052,145.237778
33.386070,14.193985,52.758690,119.414856,64.056847,1642.619141
57.890854,31.829014,41.052731,109.590416,51.989990,1034.441772
