"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
66.951416,38.609459,24.148619,125.064430,59.952793,2551.728027
32.394272,20.199520,14.114281,57.703156,19.420834,567.495850
13.146653,8.966587,4.015004,15.612128,5.381803,196.080475
84.989342,42.633949,141.560135,400.770477,239.547913,5975.453125
8.642881,6.168874,4.507154,24.088572,12.500165,443.966095
19.073282,12.686683,6.612648,21.897945,9.039997,241.290192
11.428828,6.351011,8.101399,36.167957,20.115683,835.860474
10.320122,6.348433,10.333467,39.460873,21.957653,1029.546021
12.792965,8.715216,5.581100,20.383289,5.883981,124.330345
28.596550,18.944832,14.247954,55.988995,28.661371,1264.714355
26.327438,17.358578,7.872743,19.740486,10.828944,572.497253
78.564041,37.600952,160.574646,424.027130,196.910217,4483.872559
7.669198,5.477821,3.221532,17.053165,6.567506,163.213760
84.825111,42.313656,114.152176,401.906464,236.186432,5388.820801
10.657080,7.112670,24.026047,85.139511,24.359901,377.174835
74.870613,33.570602,60.121777,241.272018,109.636337,4740.977051
9.392188,6.290992,4.504436,14.731030,4.538364,96.929863
16.817699,11.315656,3.719990,27.158808,9.727348,324.241882
50.526451,31.638826,20.859030,90.818871,43.071194,1904.139160
18.843319,12.670005,3.899741,23.267509,9.802681,470.113708
28.709110,19.326365,6.325978,31.179804,22.771370,1265.857910
6.852758,4.544786,3.601112,14.744125,5.463420,225.002228
25.886351,16.859777,8.325258,24.253496,9.269606,307.229492
26.236748,16.360601,21.259548,91.761139,35.435974,1163.497070
16.380814,11.077761,10.512005,27.239849,10.912493,433.911652
10.376672,6.941250,3.919893,14.933237,3.902463,110.711731
7.017245,5.076283,3.576928,11.044010,3.510653,98.868004
30.205923,19.754883,38.858517,144.331390,53.465309,1459.512451
22.581114,14.849531,6.808229,27.008451,11.720607,474.731384
16.130411,11.419044,5.810519,28.259064,8.880586,287.318115
10.903567,7.374643,8.266493,16.572037,7.767966,337.876801
21.116779,14.022418,8.154285,41.736149,21.343769,889.686096
16.582512,11.607542,5.155427,29.409845,9.115652,172.152893
10.317396,6.958872,3.086145,11.699964,5.280076,274.343689
28.578714,18.945505,10.870237,43.924278,15.704727,433.655670
9.728616,6.813828,6.003262,13.584249,3.651660,91.586029
56.031384,33.360012,45.860508,222.729416,103.625031,3966.622803
13.083581,8.875593,5.727400,16.395594,4.465454,71.021935
34.000389,22.158932,16.592373,60.808777,21.529100,874.723694
21.911617,14.159098,7.999808,16.386274,8.726615,245.755417
26.288376,17.105413,13.188512,62.106815,40.424267,2568.515137
52.585712,31.885761,72.634834,206.259277,95.350533,3551.931885
16.856798,11.562036,6.323785,5.078229,3.441669,277.324738
9.205180,6.113965,3.496572,8.512443,4.058024,144.359894
17.502083,11.841837,8.402064,20.699823,12.354373,600.447144
32.101440,20.377680,20.219027,76.109573,34.376041,1094.555908
19.258268,13.148689,6.637218,29.150396,9.928617,188.101730
5.109697,3.326139,2.698519,9.790290,3.249892,89.773346
25.552933,17.245487,8.984476,39.142761,21.065590,1015.278076
10.650618,7.346103,4.116852,9.091915,3.795734,148.401611
13.439750,9.138839,2.592240,16.772190,6.934973,303.774109
10.112828,7.167658,4.456950,14.722766,2.854426,103.227295
62.271553,37.811283,20.152788,48.588352,26.984955,1430.905518
