"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
33.594212,22.221519,7.784570,22.326221,27.142479,1635.623535
34.324497,18.490536,8.044784,16.617884,17.644310,1303.202393
41.349438,26.453159,11.221190,15.290423,36.783764,2671.938232
61.905239,32.166420,27.984060,69.993645,93.297340,4580.211914
16.292305,10.868582,13.843741,26.254715,35.087414,2828.041504
30.075584,19.400551,11.473965,34.101276,38.032749,2418.109131
11.614701,7.846372,4.576944,6.828482,6.293102,357.128021
10.495273,7.553877,3.070088,15.268673,5.947480,18.949825
64.762589,37.081306,17.562817,21.534277,31.530998,2545.137451
7.746507,5.440804,2.923947,2.031953,5.437862,425.164948
10.049178,6.921566,15.986853,41.870197,34.409904,1779.590698
32.088425,20.785769,13.448335,31.071926,30.978477,2260.788574
32.604893,20.858681,27.277901,55.832886,71.065742,3651.051025
36.283436,23.606382,15.903545,29.815571,34.105793,2524.182617
10.800059,7.661987,2.164421,9.403057,5.193445,18.645590
48.326401,30.946093,13.478160,24.993481,26.314802,1854.784912
35.922112,22.648415,26.205210,33.947529,63.367443,3731.757568
23.737926,16.137432,11.179966,16.678379,35.270710,2769.755859
67.197906,36.185947,45.476593,112.759132,152.969116,5180.051758
11.143851,7.543052,3.910464,5.552300,5.838563,397.537109
30.124611,20.089304,7.766500,17.053391,25.105516,1926.896973
54.014679,33.505970,16.515772,28.824070,46.952614,3132.641357
54.174923,32.545811,12.739761,51.180183,37.225750,2080.459229
18.322813,12.179692,2.604246,17.865553,6.982975,28.025797
49.738022,30.364870,24.720631,38.885563,64.873108,3926.520752
51.104496,31.385832,13.224309,22.425383,28.409216,2318.274902
11.810646,8.601063,1.979128,12.867003,5.930588,25.240507
26.509892,17.313477,18.637587,29.150368,46.827469,3281.405273
32.511066,20.373215,29.624247,94.788071,111.760063,4197.927734
39.900822,25.274025,12.069465,16.523989,21.016005,1729.660034
27.038849,17.842175,8.327260,12.643663,10.409520,761.894409
38.624672,24.703571,17.487299,40.352818,53.932461,3283.609131
29.607979,19.420042,19.292564,29.334782,28.800409,1923.631714
41.937401,22.400766,59.455967,71.472710,118.173431,4776.551758
9.641026,6.402781,9.340351,15.807282,25.981405,1937.014282
34.156731,22.499863,31.335726,125.480324,60.486172,1732.459106
25.004745,16.850004,10.444385,18.482628,23.048712,1588.717041
10.131046,7.227644,3.368231,4.396006,3.761278,266.764984
72.068787,41.385006,20.123976,37.456589,51.036579,3752.040283
18.065458,11.168375,35.301819,26.491379,25.101387,1762.743652
19.035721,12.665107,55.674988,147.519424,184.812515,4768.089355
57.586433,27.262348,90.300003,299.986176,258.690765,5598.782227
36.630917,23.219751,28.628649,53.798630,48.641190,3117.320068
24.768543,16.703566,7.242645,10.753653,20.422073,1628.641357
21.887989,14.420572,13.127550,23.591591,30.351969,2037.452271
24.705807,16.517206,7.844116,12.737306,24.342426,1886.414307
38.599876,24.821663,12.106199,38.397621,32.601654,1536.352173
44.171806,27.770718,38.329109,68.873161,107.846832,4482.777344
12.813424,7.815555,42.634796,91.984558,98.446312,4088.856201
19.343796,13.083407,6.161464,15.107795,8.635604,442.457642
36.616791,22.047775,15.253110,24.132080,41.982918,3200.514648
14.080521,9.609064,4.288949,3.230757,8.409195,622.705444
49.303280,26.733404,25.589600,48.334560,61.092808,3885.337891
46.167454,28.396687,13.384983,20.460106,33.208660,2946.076172
38.245232,23.839956,36.130093,121.762726,145.318649,4780.781738
38.338356,22.752073,38.433571,57.052788,104.937317,4530.890137
31.646521,20.463434,22.113638,26.093597,25.655533,1419.375122
33.175564,22.321913,7.088370,13.407565,14.887067,1312.236206
52.684780,33.130142,14.754635,25.591450,43.256840,3125.442383
21.359491,14.525547,5.100434,31.891569,14.232576,71.472275
56.378960,22.438026,16.405771,30.267250,54.849144,4602.545410
57.511318,25.827242,18.561724,41.298065,57.039230,3811.509766
22.242765,14.799663,6.539229,26.689095,17.591923,1071.740601
106.432510,50.022820,105.077629,266.837769,388.850555,6529.598633
29.362003,19.507345,9.541767,24.319519,28.123356,1459.911621
12.335891,8.574704,4.049444,9.224843,11.422212,844.198242
25.494936,17.071678,5.790467,14.486967,19.159828,1267.684448
15.937835,10.916014,6.435584,23.979959,12.225324,47.589764
53.734447,31.116858,51.594517,97.276550,132.116745,4839.405762
27.192514,18.211256,8.281767,12.693588,15.309260,1178.877563
14.546591,10.154218,1.625553,13.208560,5.134431,25.614157
20.711491,13.982155,7.883205,26.201384,26.689716,2016.101562
44.083221,24.792955,22.969942,47.659286,58.966953,3783.522461
24.251736,16.484753,18.633043,21.659714,36.219646,2885.113281
44.599781,27.394707,15.803199,23.530550,31.066351,2284.119873
23.027525,15.453291,11.041500,23.690315,44.707329,2988.561035
38.595539,24.473726,11.751162,28.144178,33.026688,2460.209229
24.953224,16.593107,3.840959,18.636005,7.417876,47.558220
27.003164,17.012218,26.361616,44.562595,57.607883,3400.905029
64.376236,35.765785,31.503532,58.101418,94.517471,4470.200684
51.185284,30.899599,14.603282,27.958441,40.243992,2858.400879
60.996483,32.672203,22.484180,45.458191,54.410820,3769.819092
22.703785,15.221646,5.516452,11.116545,13.454970,959.589050
20.163832,14.411040,5.878790,11.820862,21.566147,1606.853271
33.595203,22.206152,8.271666,17.589058,34.655197,2871.497559
32.089485,21.117092,6.589767,19.037079,29.206686,2391.396240
55.749195,29.363991,29.694965,66.796516,97.140381,4696.821777
40.467896,26.119431,13.798444,19.412216,15.400632,990.466370
