"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
68.631432,35.344078,32.663074,53.213455,59.656105,4280.712402
10.532643,7.168514,6.064513,8.457305,12.990314,891.502563
8.860830,6.265782,3.114230,3.533901,4.019919,258.305328
62.645161,37.827431,13.814753,32.314865,40.115967,2686.135986
8.260409,5.604299,3.105951,5.647738,4.496865,297.676208
21.543259,14.288856,21.353876,30.787720,33.614670,2098.624023
19.975452,13.537901,6.414236,5.702516,6.457529,445.135742
20.139265,13.047041,11.248537,20.498161,20.231171,1507.545654
7.155983,5.037848,12.429837,20.558439,25.961933,1662.590210
34.190639,22.439095,9.229361,13.159364,16.404421,999.075562
14.202744,9.698665,4.005137,6.325397,5.349239,351.103638
21.758125,14.438110,11.575298,19.083061,18.281862,1424.795898
31.082157,20.614540,18.992214,51.965282,43.885258,2744.865967
8.942107,6.379210,1.426830,6.012993,2.521533,8.637134
40.243195,25.591064,12.923658,18.056915,22.830015,1717.632812
23.422876,15.519457,5.221071,11.692777,17.042557,1427.632568
16.108669,11.433205,8.740216,20.164267,22.625322,1476.442871
14.801682,10.491681,2.415298,15.069858,5.316419,16.956642
54.808697,27.122225,28.276112,64.267502,58.555920,3736.097656
13.996301,9.740317,5.061452,10.617363,8.258498,714.344788
7.791151,5.318797,6.622661,9.407540,6.800516,419.810181
29.958309,19.528917,8.766261,26.793756,28.261564,1781.710205
13.261226,9.138831,5.547873,6.234455,6.302772,387.923767
35.887894,23.318609,8.359187,11.202691,12.480553,1004.313965
18.418276,12.847780,5.060896,8.148459,9.925932,697.777527
18.097588,11.793546,4.688409,6.651127,5.775500,469.387543
32.860859,21.281116,18.150154,38.428234,53.614384,3153.944580
36.321884,23.218628,14.519765,26.255026,37.480160,2819.826904
26.423698,17.641891,9.070887,38.200203,24.016878,1058.207275
55.896694,33.773170,16.844994,24.545160,34.709904,2762.189453
16.662081,10.533213,8.663262,9.655383,21.250971,638.359802
11.805215,7.751056,5.877330,12.200077,10.470148,651.120605
31.334463,20.411863,9.019459,13.985890,11.846568,881.179504
46.394798,29.618174,15.321650,17.991079,25.672583,1782.409912
16.042950,10.721020,5.233254,13.626839,15.350851,1050.764038
6.214885,4.326646,3.533284,3.003736,4.187835,251.609116
9.888195,7.282743,2.902195,7.659049,5.390694,455.236633
12.000508,8.066877,3.260996,9.210854,12.164922,932.518738
68.776672,38.684200,18.636984,39.608433,44.613205,3397.475342
59.132858,36.269085,12.239162,32.174828,35.428112,2574.175781
