"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.597338,13.401939,4.160029,32.156090,10.113573,20.676374
18.060535,11.837704,5.953703,20.671362,6.155875,7.386355
22.204430,14.612339,5.955956,25.513487,11.083126,22.903233
12.741599,8.301676,2.855344,9.052037,3.316518,1.817169
33.128185,21.000418,13.357610,88.933525,27.616714,59.864883
12.939444,8.475257,4.768208,27.324032,8.793357,12.869086
31.624739,19.595640,15.500608,85.095680,27.411234,40.452572
63.580132,39.612595,54.621490,267.188507,86.159203,186.532990
6.952237,4.381720,2.428393,43.974972,13.329659,15.415404
12.797271,8.294198,3.567356,35.042435,10.971185,17.625763
5.974251,4.113948,2.182143,8.230604,1.989212,1.274707
8.371633,5.481202,2.009943,19.912344,5.113414,16.690477
4.552236,3.066932,2.234971,10.958647,3.900930,6.361243
11.841025,7.554137,5.802015,31.620693,10.396151,12.265249
4.805627,3.465819,2.307400,0.684859,0.392895,4.697901
15.773453,10.667162,4.488299,38.537254,11.394851,8.893092
17.409786,11.158546,4.314989,33.221905,11.437144,21.036133
15.684585,10.445905,3.816501,25.139215,8.140272,13.907596
44.246059,27.168001,11.962106,75.330574,23.254185,44.696285
5.492571,3.468955,2.666539,10.066890,3.736759,7.252036
22.714678,14.763988,8.910339,40.920311,11.193573,31.998657
18.166042,11.792712,5.527766,5.800733,1.706623,9.267011
10.923505,7.338294,3.431771,12.722167,3.943604,10.878628
21.411177,14.132817,4.398643,30.923193,10.028447,46.470203
8.885092,5.905031,3.109221,21.005926,6.415775,4.074770
14.784027,9.672574,4.002106,31.558224,8.878163,15.483542
9.229859,6.251209,2.583218,14.064461,4.908282,15.650129
10.092225,6.830689,3.217204,44.077473,14.910782,27.693924
46.723270,28.765549,15.762346,92.132217,32.116688,53.408932
10.039469,6.444680,4.630935,20.388020,6.950357,6.580642
27.439192,17.323376,12.823977,81.663635,25.536793,50.848213
12.151940,8.254596,8.072072,21.039810,6.591818,12.393634
