"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
4.944613,3.224327,2.312014,7.878104,4.137013,0.973745
10.314600,6.787045,2.393504,8.811180,3.103254,-0.077196
6.626770,4.511022,2.467247,7.483721,2.282714,0.169427
5.964352,3.998697,3.280709,7.411343,2.912600,0.544648
8.292580,5.161794,3.724339,8.003332,2.988427,0.442438
11.960032,7.651283,4.357141,13.068935,5.140221,0.272557
5.709632,3.848569,2.099818,7.571978,2.897330,1.068762
20.636122,13.062300,6.240667,17.549202,6.626634,1.810110
12.710752,7.662360,2.299711,7.079010,2.827785,0.077236
5.816278,3.853890,2.323431,3.819202,1.849067,0.532515
5.591780,3.610408,2.325123,10.450367,5.828222,10.218100
15.913822,9.814697,5.241288,11.390742,3.161738,0.623111
8.394820,5.401527,3.750557,18.121939,6.760528,0.180937
10.890209,7.126891,4.257832,11.074482,4.230143,1.052050
19.521832,11.751342,7.197313,17.041759,7.606231,0.515739
14.611741,9.095507,5.314008,18.877516,7.680948,0.814728
7.247490,4.582008,3.035318,4.497244,2.626008,0.239707
9.997558,6.188702,4.302633,16.381699,5.362887,0.499656
5.201824,3.501619,2.539730,10.339059,2.911719,1.934574
8.927663,5.711997,3.066883,17.937935,7.254065,0.817940
6.940420,4.281199,2.511989,3.209362,2.278776,0.385800
11.285135,7.321886,3.704772,9.707659,4.030047,0.677494
5.383034,3.554114,1.851843,6.091475,2.045546,-0.441805
13.125492,7.937749,5.113543,16.349968,4.620233,2.257244
8.037937,5.370974,2.758920,12.709518,5.153978,0.174993
25.232283,15.913418,10.043006,20.076941,7.487684,1.189127
8.825941,5.869740,3.501863,10.418473,4.590152,0.612219
9.627541,5.976197,3.724783,15.527960,5.309682,0.710042
4.755094,3.054487,2.079169,10.322697,3.309815,-0.133464
6.704462,4.445778,3.276201,6.819228,2.721727,0.078631
6.060122,3.697275,2.743894,5.634074,2.588520,0.151117
14.739878,5.508014,3.389480,13.790729,6.820586,0.873028
22.344601,13.560667,7.532467,12.037788,6.609929,0.455487
5.427484,3.601939,1.852944,7.910996,2.888736,1.126983
21.358227,12.750439,6.863225,15.821580,6.128647,1.230845
6.704591,4.311387,2.453786,8.065225,1.900156,0.740175
7.160854,4.887113,3.166708,11.483762,4.382686,0.835799
7.142766,4.420027,2.681928,4.413878,1.555813,0.829531
7.213105,4.794430,2.187147,5.511302,2.834479,0.498116
27.380598,13.792887,24.192284,36.389160,13.437803,2.764658
9.566877,6.302192,3.816180,12.149637,5.551470,0.857045
8.269094,5.304951,2.642597,7.409987,3.478799,0.793663
5.890240,3.841088,1.723406,6.372197,1.597228,0.276170
8.247214,5.167920,1.798685,8.476698,3.943640,-0.518071
14.142056,8.820597,4.838291,12.685800,4.783587,1.393508
15.058238,9.482904,3.837104,14.506681,4.293071,0.441551
9.299718,5.610848,2.573014,8.432610,3.087029,0.751595
11.894093,7.537565,6.705531,18.469170,6.924476,1.036448
4.570632,3.176883,2.067823,7.422671,2.013518,-0.039968
14.175073,9.146640,4.320598,13.059608,5.053957,2.665784
14.297628,9.321944,3.889782,16.550571,5.712495,0.746096
9.412228,5.824884,3.137961,9.375318,4.362864,1.593609
15.531427,9.765630,4.635896,11.670939,4.143915,0.909946
8.971233,5.722125,2.797322,11.391606,3.375905,0.379291
5.531432,3.637320,2.794332,9.055245,3.446841,0.852802
12.298141,7.935790,3.685882,19.824396,6.123911,1.540709
10.664221,6.608454,5.324224,14.601587,5.724135,0.596244
5.008525,3.431532,1.808837,3.731400,1.389764,1.199831
8.500418,5.221817,3.755906,8.147902,3.694302,-0.227082
12.173035,7.781162,5.454309,17.668644,6.761877,1.040372
4.470110,3.150918,2.354422,4.466526,1.263853,-0.345620
13.573597,8.615328,6.211835,12.230254,4.712163,0.191231
7.623071,5.003520,2.475026,8.301880,2.807802,0.045472
16.576799,10.319448,4.373319,12.555188,4.656424,0.232281
5.763173,3.821309,3.919082,7.855383,3.216258,0.072547
10.248384,6.468992,3.402460,9.575144,3.022142,0.988597
15.057405,9.808494,5.872680,11.141237,4.354259,0.700319
9.803998,6.338376,4.701952,14.929332,5.962803,2.086413
21.649757,9.449378,8.089311,3.667618,1.447419,1.051730
8.776704,5.424391,3.105894,11.921497,5.236327,0.901975
19.593781,12.534589,5.246519,14.109333,7.565089,1.829451
5.555622,3.728248,2.589374,7.288718,2.883563,-0.247282
11.233589,6.696032,3.049269,8.271896,3.283431,0.320640
7.115595,4.338757,2.740828,7.468958,2.422770,0.043429
7.139050,4.476005,2.845645,9.010942,2.938631,0.537917
7.099563,4.527997,2.344748,2.986825,1.648933,0.953262
6.618085,4.087985,2.393127,4.963562,2.160902,0.568934
7.459634,4.965911,2.446905,5.735645,2.585156,-0.529497
10.903626,7.460217,4.800249,17.921865,6.363885,1.490195
11.938354,7.323404,5.513360,10.928774,4.347199,1.095921
7.126028,4.410342,2.421395,7.290698,2.665298,0.432868
15.092790,9.356773,3.017467,12.083110,5.693995,2.434587
15.140150,9.545377,4.115249,14.265676,4.815410,0.622866
5.243881,3.546782,2.046929,5.032891,3.018080,1.189052
13.549422,8.534278,3.510435,13.024426,5.108401,0.958227
6.903578,4.423976,2.007261,6.994597,1.761695,-0.210512
6.278151,3.881813,2.829041,7.470587,2.766501,1.429974
14.824451,9.517869,3.546785,12.685011,4.745056,1.299282
22.396345,13.969904,13.164808,33.324707,10.860659,3.087016
15.221373,10.199709,4.623677,5.452219,0.846417,1.185578
6.208774,3.611571,2.118283,5.203525,1.614851,0.503537
9.294163,5.786852,3.643164,10.409566,2.942008,1.243701
16.673044,10.486033,3.938276,10.116716,3.200038,1.178018
30.306593,18.379980,7.088144,17.392767,4.674369,2.067178
9.069475,5.370050,4.019085,7.205345,2.590363,0.542700
7.764102,5.125901,3.462511,9.582895,3.114259,0.822090
5.949429,3.632890,1.758745,7.731503,3.136866,1.095421
9.775420,6.140222,4.193446,15.347548,6.245250,-0.178359
10.747940,6.489645,5.472383,2.765343,0.948394,-0.427342
6.378899,3.366998,2.958893,10.918104,3.641098,0.216504
9.783080,6.009865,2.876735,8.678499,3.282715,1.846387
4.577394,3.150802,2.212643,6.767285,1.662410,1.812565
13.731430,8.910548,4.678792,10.098193,3.587006,2.056662
