"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
25.855423,16.041710,11.130300,89.734093,28.779598,18.949892
9.328038,6.298763,4.763395,33.961346,11.438982,7.833167
31.044161,19.052647,7.575203,60.472073,18.782593,31.085257
6.160950,4.136026,1.890230,20.458260,5.521983,6.324610
11.541799,7.374319,2.905779,17.440004,4.646994,6.315337
24.138344,15.692664,5.890600,54.904858,16.986105,30.430593
54.104752,31.726379,15.936697,95.647598,29.548782,27.945408
17.730055,12.253584,4.592824,29.995602,10.672965,9.448811
10.952099,6.990973,3.572232,12.662374,5.122612,5.406811
7.524888,4.860970,3.331439,25.194696,7.189366,5.032807
15.643267,9.591853,19.461264,180.017380,59.188320,37.731007
27.044807,15.948731,19.703705,73.193802,22.135170,9.098245
11.054247,7.293617,2.928423,22.897467,8.397648,9.692676
9.331728,5.936706,2.599265,21.569206,8.683967,6.824863
76.020340,38.210083,22.667738,127.622414,41.796295,41.461609
22.311209,13.978319,6.150440,42.669373,13.646784,16.817753
23.733072,15.232643,8.032465,43.023178,13.403118,13.447475
14.815981,9.515119,4.888850,25.889860,10.013309,6.301065
11.964773,8.262362,3.862295,18.653341,6.025105,7.750282
9.120686,5.956138,3.703143,22.606228,7.836708,4.746313
7.226380,5.044139,3.176845,9.682777,3.490531,4.585835
52.520538,31.247667,23.950726,129.714264,42.852661,46.030720
5.261501,3.828772,2.330826,4.036139,-0.188515,5.448967
11.645651,7.785161,4.891924,59.697895,18.349876,14.982454
19.033091,12.695192,7.062615,77.561623,27.047773,28.642292
24.495937,15.974453,4.423896,41.856354,13.818119,22.571770
21.558302,13.529652,12.195042,68.650612,23.417030,23.553343
12.898206,8.280274,4.289554,24.020966,8.230046,11.276257
30.137600,19.610275,7.204998,66.313622,23.841728,62.727646
12.034038,8.245216,2.854410,19.229883,5.910178,10.516164
8.122608,5.421518,3.258622,22.055315,7.585667,6.106229
52.851170,29.738972,65.578590,321.118866,116.014328,161.196381
103.893181,46.763794,56.989216,349.799194,125.383331,173.346771
45.082962,16.388803,44.275078,252.692581,76.737854,102.385353
5.301586,3.656200,0.993900,14.777827,5.756900,5.184239
24.898783,16.243759,7.472380,54.362114,19.672558,26.640984
21.737654,13.950833,4.753785,42.245888,13.797912,18.508114
12.804770,8.448347,5.527228,46.921803,15.589291,18.466103
5.668922,3.634763,3.938651,19.173031,8.003202,3.643673
9.272195,6.102457,2.702404,16.557850,4.036874,4.659142
10.460502,6.820991,3.337197,23.552284,8.239491,14.904819
28.493601,17.756123,8.422559,44.205864,16.575758,12.232054
30.361250,18.153833,8.611463,80.936218,27.512335,39.931644
22.323586,14.353711,9.773390,44.164478,15.760928,21.522280
9.745422,6.226603,1.817840,18.683805,10.888829,39.261734
24.666487,15.220209,16.380016,101.767319,32.703175,22.682074
47.496796,28.193855,18.018417,76.233681,24.055031,23.628378
8.090828,5.248746,2.348218,21.814899,7.989676,4.210601
8.566920,5.496218,3.922988,14.686049,4.487070,3.355804
4.495333,3.165195,2.615563,34.106247,12.588998,12.531397
17.071440,11.305587,5.201623,5.576864,1.358757,3.298287
6.831440,4.512629,2.934215,38.721943,11.883606,9.028563
22.687571,14.343266,9.879683,89.573540,29.379868,24.565971
13.375014,8.438190,4.588145,27.387482,8.694757,8.807956
17.670425,11.938102,5.964911,21.726839,6.671038,8.888272
6.679030,4.426268,2.788683,18.905752,6.109613,5.880149
42.427204,24.674860,14.099615,86.588387,28.350704,32.302036
7.196118,4.713270,1.848156,24.345526,7.480708,9.535560
10.931075,7.266494,3.895312,38.770618,11.107810,4.684278
11.415241,7.445469,3.234547,30.704836,11.980642,6.123308
92.452789,50.453163,36.444405,278.305206,86.608551,123.264076
29.251343,17.434908,8.717558,48.822384,16.708176,15.279184
11.211866,7.383892,3.279287,19.951166,4.881011,11.987867
21.388073,13.859488,6.678870,49.318893,14.779401,23.584473
17.473227,11.389669,8.247799,59.417507,19.115622,13.559126
20.121145,12.572507,11.634528,63.382053,21.273525,11.858644
12.112019,8.252097,4.196241,39.976707,13.912465,10.019034
49.102024,24.801512,122.542412,733.249634,252.853333,383.245789
10.861924,7.130041,5.025967,35.948906,11.656184,9.755631
16.962303,11.070144,7.027118,35.523903,14.008144,11.478913
16.398180,10.550946,5.929248,31.963947,10.539071,5.922250
31.520773,19.780495,8.340740,47.197983,14.565021,10.551274
15.758904,10.083483,3.703402,35.234333,11.333200,7.115759
98.451149,41.173473,66.291817,412.673981,142.603836,270.936737
32.339256,16.286308,28.671389,205.150772,67.604858,84.556480
17.658628,11.302900,5.329453,52.929703,17.072889,21.399385
18.807121,12.541354,5.803198,44.511803,15.568842,12.536351
7.516826,5.240570,1.603323,16.809437,4.340234,4.624928
4.734044,3.218273,2.340994,15.963040,5.137832,1.926284
19.680716,12.725016,4.898546,30.895916,10.963593,4.098499
9.049108,5.722598,6.053084,38.381676,10.782982,5.959041
12.626387,8.746422,2.681464,22.184639,7.570606,6.652493
34.606861,19.555141,31.996328,185.555588,59.944881,110.939003
11.413464,7.880279,3.548218,32.206223,10.470908,9.010054
12.162517,7.832374,4.146695,28.630682,9.472862,8.493268
14.381427,9.215236,4.516558,22.708088,7.184207,4.657954
18.481485,8.428932,11.450729,38.118328,12.399773,14.569826
74.068176,42.873581,30.255430,204.106491,65.500786,92.935097
33.255665,20.775324,9.054136,50.997021,17.141052,42.141975
25.984182,16.013308,6.968547,47.852909,15.662709,22.982864
16.285284,10.432250,5.478311,73.555069,22.078850,40.527184
12.150187,8.151965,2.871072,23.756739,7.342214,3.978192
11.986876,7.907299,3.509336,31.227699,11.811002,3.905360
32.369076,20.470434,8.332069,56.254704,19.826664,13.709317
46.247826,26.564508,12.819498,78.023293,22.103544,15.652102
24.903816,15.669724,4.441924,62.321030,20.046654,39.415939
25.634186,15.824662,16.664398,103.535179,34.967766,21.723846
37.688667,22.879112,10.212900,59.099396,17.694365,27.141525
30.239676,18.620382,8.196150,55.689354,16.572521,6.775270
4.966972,3.534845,5.654064,34.238125,10.893754,8.055377
12.674849,8.313942,5.943654,48.720020,14.874809,11.508254
44.979939,26.420456,14.380232,86.921822,28.274544,14.723650
7.901425,5.416286,3.406271,17.497402,6.371540,6.853638
16.180851,10.546978,3.948478,6.548269,0.340789,7.369472
5.699236,3.723281,2.403534,15.692443,5.546158,4.013783
27.262358,17.389538,6.325101,41.929523,14.040012,21.653616
6.932675,4.523662,2.016153,20.110096,6.941238,9.301518
15.793713,9.814198,5.862027,32.456470,10.105062,16.630651
30.233728,19.278585,8.553337,40.660721,12.077266,9.938975
24.461123,15.367150,6.621852,39.231766,12.997425,20.828957
11.093026,7.558379,6.224953,23.338697,8.539937,7.272974
81.577240,41.217304,33.033504,178.310242,56.520348,70.477875
9.341725,6.248523,2.714172,18.661800,5.503728,6.123529
9.152982,6.112977,4.164718,15.129657,5.779564,3.527043
8.342504,5.342253,2.822707,22.262665,6.243910,6.836005
34.847721,21.031845,21.423292,126.058044,41.737549,76.025826
6.675179,4.799506,1.352355,17.260160,4.084086,5.498104
23.051203,14.754915,5.357335,33.330257,11.559119,32.639412
15.883139,10.647896,5.516779,24.153753,9.169227,6.994057
15.505824,10.310738,11.716977,44.638237,15.379642,4.959421
16.860880,10.511084,6.947937,68.778130,22.246031,44.974152
