"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
12.783485,8.122398,2.483590,6.841500,2.296147,2.024647
19.118587,11.746151,3.630280,15.638471,5.408805,2.003161
6.676813,4.114293,1.948944,3.780542,2.036073,0.462536
4.427319,3.113687,2.111848,6.206737,1.933187,1.566954
8.660753,5.848440,2.208752,8.056949,2.659574,0.549673
6.473177,4.309608,1.940780,6.159433,2.091174,2.335042
5.841888,3.650205,2.382203,6.295882,1.803533,3.252780
14.423645,9.217085,4.188905,7.519163,2.065575,1.159551
15.245070,9.417120,4.658879,15.722144,5.072570,2.243381
18.151869,11.101815,2.802414,11.879694,5.130456,4.714677
15.718331,9.668147,8.315981,17.081060,5.613752,2.604420
11.256252,6.991822,3.611318,10.822396,4.191194,15.804002
33.069576,20.034706,17.698248,34.832718,13.373349,12.988361
9.342452,6.013000,3.478592,9.591065,2.807492,1.348734
5.048693,3.618407,2.028589,8.391476,1.404478,2.027752
15.558982,9.843187,4.506172,15.017058,4.642625,2.376783
12.298254,7.984718,1.998714,9.465795,3.340907,1.383547
6.555317,4.128766,2.679811,5.626034,2.517588,1.157363
10.081013,6.751742,3.197438,9.391817,3.369254,3.528800
7.951825,5.269492,2.981095,6.717587,2.725177,2.194122
8.187920,5.303538,3.044589,9.911545,2.468225,0.432269
10.909814,6.848864,4.437544,9.757701,3.211487,1.796311
13.400632,8.604774,2.513125,8.865285,3.200109,1.363316
15.044997,9.631474,4.634561,12.167805,4.380741,3.340317
7.941425,5.172609,1.815253,10.907971,4.131671,3.452807
15.470330,9.733609,3.894871,13.228202,3.266202,2.304370
6.019960,4.145496,2.529600,1.975510,0.690375,1.906187
8.666000,5.533692,2.266388,3.835778,1.152541,1.832434
6.360044,4.076827,2.593897,7.688293,4.496548,1.567997
13.127833,8.550392,3.011688,6.451055,2.743174,3.184870
12.376260,7.679819,4.084331,5.630500,2.431242,6.924789
12.688115,8.285113,5.087366,7.410251,3.574942,2.713895
7.839291,4.771605,1.974124,6.250677,2.506406,2.982656
11.479109,6.974131,4.265729,9.147773,2.095198,-0.170559
12.203940,8.096508,4.507631,10.509877,3.011686,3.329075
14.865169,9.697739,4.759337,13.605696,5.424611,3.371005
17.730644,11.372098,4.228334,13.735695,5.276310,2.101171
9.366103,5.793318,2.567544,5.529121,1.927561,1.229875
12.353232,7.998776,3.288092,21.424967,8.682357,3.511417
6.169531,3.844157,2.437891,5.180225,2.549883,0.198169
7.028984,4.288032,2.901108,12.832367,2.984981,4.245668
19.854040,12.888569,5.173341,14.537536,4.215146,15.860170
21.142620,13.316796,6.498935,18.811447,6.551482,11.882564
9.855739,6.144482,3.014014,8.083503,3.164399,3.295918
6.621312,4.365031,2.668571,6.526941,2.595995,0.893078
6.279272,4.050776,2.232155,7.461347,2.984805,1.342324
6.790421,4.390145,2.133351,3.796487,1.442759,1.974073
15.790295,9.978971,5.021942,11.066385,3.128359,6.094361
11.204899,7.113650,3.965882,9.528049,4.022386,3.909851
5.624875,4.050204,2.515477,7.372582,2.172912,3.741707
20.717426,13.167159,3.957698,20.807796,8.278984,7.677046
5.923518,3.749689,1.622374,6.712317,1.660544,1.125350
9.390440,5.859380,2.098002,11.924728,4.090298,2.118126
11.466232,7.339557,3.758862,9.439930,4.483999,10.316393
5.009555,3.271109,1.832792,6.996335,2.210065,0.416714
15.686764,10.072020,4.179163,12.371570,4.122192,0.153804
19.943615,13.139216,9.048850,30.472355,16.133072,36.716541
9.898438,6.727430,2.909782,6.233549,2.018875,2.107754
10.359156,6.900283,2.980240,7.626026,2.478972,0.798799
