"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
8.594701,6.158467,3.409995,6.176523,1.288725,-0.176884
17.653248,12.362899,6.035232,17.117970,4.386121,1.583974
4.635878,3.378999,2.438384,3.581148,1.503050,0.773150
11.958532,8.023630,4.332317,6.212943,1.658106,0.659970
7.892469,5.902120,2.893091,5.826632,1.569353,2.434936
7.939099,5.552761,4.466743,9.592773,2.666498,0.876493
7.622767,5.397274,3.025708,5.489387,1.991931,0.241238
5.193376,3.625342,2.780786,5.638482,1.444633,-0.113446
5.390374,3.782513,2.647318,2.374406,1.067312,-0.046722
6.509167,4.660882,2.534129,4.374552,1.524231,0.710074
10.954541,6.317864,5.090910,11.147511,3.475607,0.535137
10.001518,7.052572,4.317410,17.783159,3.300336,1.055663
10.672318,7.388061,8.329779,18.102606,4.119483,0.798899
20.726816,14.457081,7.907579,18.151611,4.648800,1.333339
8.531285,5.956535,2.095154,7.568053,2.063879,0.301712
9.438801,6.970908,2.912813,8.512572,2.088996,0.140326
10.117852,6.888035,4.715348,8.927311,2.197019,0.585341
7.313777,5.051383,4.108571,6.549214,1.460163,0.125637
10.020579,6.695163,4.681161,5.616131,1.516072,0.380749
12.050330,8.013695,4.513607,7.024925,1.416739,0.171791
13.765657,9.750335,3.975223,10.437482,3.802412,0.955148
7.550120,5.437513,3.665906,4.850734,0.999662,0.685781
6.051491,4.283710,2.984724,6.315399,0.968963,-0.115650
14.352711,9.969442,5.771465,11.980865,3.088703,1.666856
11.355108,7.698162,3.954281,13.941620,4.679347,1.779270
11.911197,8.207305,6.626890,16.937672,3.640398,1.123068
11.142412,7.367952,5.970286,11.183571,4.003720,2.033599
6.364635,4.568571,2.757565,9.276093,2.895478,1.014748
11.454347,7.835243,4.230485,9.334845,1.716795,0.997755
6.429772,4.629959,2.423168,8.106923,1.499041,0.655857
7.806758,5.347286,4.995617,11.875446,2.921823,0.696220
5.550352,3.973540,3.193676,13.003528,4.597256,4.948466
12.068026,8.389998,4.164603,6.996226,2.017781,1.375011
7.651126,5.329135,2.309131,6.650088,0.877382,-0.055077
13.165462,9.227160,4.555938,8.032041,2.672604,0.299684
7.066332,4.923945,4.613284,14.452522,2.983082,1.475257
5.664033,4.407754,2.996994,4.018879,2.565304,0.569323
16.153292,11.341532,5.899866,10.141680,2.995482,0.552055
11.271864,7.685679,8.169202,17.247255,4.520578,1.144298
5.715061,3.614140,4.084964,8.534849,1.590667,0.298910
4.313712,3.086516,1.929089,4.798939,1.723943,0.796222
20.411295,12.047005,9.698877,20.175190,4.580877,0.797380
6.406169,4.302653,2.042471,7.091852,1.968611,0.315181
4.258606,3.412494,2.682180,13.165232,3.025774,-0.001035
4.709610,3.418676,2.534331,5.085872,0.809604,-0.820371
6.658616,4.850302,2.361136,9.253388,2.894801,1.974722
34.159779,22.842316,13.387642,25.107979,5.261524,1.911134
11.828090,8.334834,4.156136,6.182900,0.769701,1.372030
13.746956,9.708858,3.709033,12.247101,3.451413,1.114727
6.767526,4.741400,2.218307,4.889064,0.592915,0.780406
8.055094,5.725859,3.760795,6.691386,2.316042,2.091653
17.720270,11.854772,5.296644,18.188511,4.707883,1.098054
9.788527,6.783053,3.591693,8.726646,1.824367,0.244625
11.697661,7.731338,8.078890,16.032679,3.986739,1.150054
11.131662,7.502074,4.041492,10.405069,2.704128,0.492079
15.313198,9.841954,6.960821,28.333876,8.919828,10.620401
5.599766,4.125908,2.761979,8.205432,2.149490,0.732850
8.587294,6.079312,3.040188,6.220018,1.816249,0.856265
9.940851,6.763816,6.645153,20.048983,5.864607,1.509186
12.389939,8.596246,6.022524,16.839672,5.288349,1.282565
11.249829,7.982276,4.275350,9.215034,3.261419,0.542515
5.452257,3.814624,1.435705,5.564804,1.420760,1.395225
7.954424,5.492502,3.480266,4.394358,1.650180,0.255170
6.334674,4.553313,4.459190,14.736252,4.436205,0.937313
7.905807,5.383886,2.217371,10.640212,2.503543,0.171526
15.571435,11.251288,4.008221,11.899302,3.872141,1.069050
5.226643,3.838438,3.016588,3.191417,1.438161,-0.192988
14.079861,10.246489,6.268490,20.482838,5.388028,2.526487
5.295992,3.625944,1.795322,3.897941,1.627501,-0.454837
4.631635,3.435179,2.169643,5.460376,1.816552,1.457412
4.249335,3.010614,1.384783,3.926173,1.126707,0.839802
6.544667,4.294046,2.801258,6.539449,1.808980,-0.331653
14.571353,9.806002,9.049472,27.841898,6.710238,1.304330
25.655018,17.372034,8.862977,15.266014,3.711181,1.259819
4.986812,3.595556,1.861007,5.829824,1.421159,0.457973
7.437914,5.260927,3.024792,11.812091,1.955444,0.890263
10.218722,6.859466,2.428579,7.241194,2.220045,2.127357
16.791250,11.157213,7.708570,25.093084,6.901785,0.907203
8.872627,6.366791,3.920951,14.117167,3.926563,1.058619
10.489727,6.863557,2.754047,4.939016,1.575125,0.056879
11.849272,8.230461,3.691550,7.853840,0.992868,-0.446335
9.496541,6.294375,3.602451,8.422491,1.693730,0.356108
24.074749,15.136127,11.439917,29.666142,8.179645,1.644352
12.097881,8.192075,3.792322,11.670452,2.165134,2.868003
4.462369,3.444594,2.892303,6.544736,1.338358,1.429116
9.646594,6.693230,3.699226,14.587571,4.027370,1.691769
4.849452,3.341299,2.463629,2.706012,1.732639,0.806097
5.420496,3.977013,3.013056,9.156169,1.620898,0.388563
6.078483,4.511656,2.665516,10.192780,2.838601,2.113630
17.047836,8.708673,8.286538,16.494263,3.658785,1.561419
23.643757,7.952096,10.261825,27.782967,7.362435,2.237484
19.439644,7.813156,7.737103,23.073927,6.436201,1.997607
8.075642,5.673551,3.810330,9.099775,3.064599,1.148766
5.654395,3.894497,1.927461,1.015536,0.838977,1.161082
7.314466,4.939603,2.708372,6.244516,1.962229,-0.065622
10.968817,7.763440,5.164853,12.164528,3.148519,0.780144
5.023207,3.734684,2.170665,6.549335,0.543679,-0.251373
8.953829,6.224701,5.612457,12.885187,3.656528,0.281963
9.725386,6.508395,4.849473,8.126053,0.999772,0.489845
4.534951,3.087134,2.545855,9.208283,1.861426,0.099617
5.358889,4.023378,3.200028,2.915687,1.109570,0.724141
9.214719,6.399643,4.648191,6.822144,1.400100,0.351368
13.506784,9.356107,5.380055,17.576666,3.784430,2.256776
4.313840,3.343098,1.320552,1.920418,0.766931,0.843571
8.396959,5.591894,4.746511,6.017193,1.498309,0.970724
5.567427,3.908102,2.758583,3.453528,0.673991,0.181062
4.873603,3.871559,5.156870,12.608568,3.950791,1.097471
8.991926,6.145133,3.503553,8.960430,1.786822,0.711590
7.155385,4.922120,2.986000,3.407848,1.043549,0.329976
13.912124,9.853669,4.078448,9.448817,2.168412,0.144658
9.009718,6.301553,4.278415,7.643776,0.985523,1.341333
6.947723,4.424424,4.291530,6.869425,1.134109,0.610058
7.846167,5.410167,5.224708,14.067294,4.715858,1.406694
12.068902,8.150095,5.204416,6.049450,3.250789,0.233211
7.907234,5.281359,3.136237,3.542953,1.477469,0.871812
7.870621,5.407820,2.598827,7.148587,0.609044,0.013894
10.285197,6.992339,3.596864,5.043877,1.624434,0.698457
9.033061,5.929679,4.076781,9.481025,2.670276,0.760096
11.905653,8.489058,4.537521,10.202454,3.619358,1.519239
10.059141,7.011851,6.004993,15.149350,4.488955,0.530697
6.292195,4.299719,2.794840,5.423642,1.920426,1.110204
8.388609,5.675683,3.693151,8.341045,2.149176,0.623556
14.346000,7.648706,18.802689,41.952572,11.689106,4.185918
8.745141,6.054163,2.741154,6.388056,0.954428,0.228774
16.270102,11.805899,8.939842,22.132034,6.201059,1.905929
