"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
27.414570,17.979420,7.956235,59.338291,15.599075,28.301626
27.359402,18.077681,10.306910,39.389328,10.775095,53.152748
22.157707,14.719265,8.540190,66.694664,18.133541,23.907076
39.273876,26.234440,13.107063,56.092812,14.423022,45.280773
9.336214,6.305732,4.271233,4.890631,1.567510,6.347775
8.840280,6.372929,4.129088,39.971363,7.959048,17.669710
5.790638,4.303578,2.121242,26.973619,8.850147,18.945074
18.208063,13.044910,8.118235,9.337447,6.477082,381.914978
26.484325,17.657698,10.130057,72.517883,18.979248,33.893482
14.454139,10.080997,5.257461,23.822140,6.313485,14.292549
37.460026,22.163294,39.092285,244.228378,70.609436,184.477905
22.467300,14.669149,13.087555,88.797470,24.888945,66.498772
17.025726,11.956634,6.286014,22.051424,7.226734,11.509023
8.332438,5.850588,7.770347,13.038760,4.088985,10.476287
47.457767,27.430656,22.705839,156.564392,45.640301,87.180031
14.566784,10.262340,4.234738,11.093132,8.958994,735.063171
14.046145,9.780850,5.648100,48.840954,15.393041,18.462458
15.764453,10.703855,4.923537,35.176842,9.977383,43.064137
10.909533,7.449579,4.444228,17.080225,5.481882,15.686829
8.400526,5.774827,4.647404,40.235210,13.784302,18.458092
9.486156,6.626873,3.547278,4.444915,2.139242,3.049609
15.769036,11.085943,5.011654,26.320494,7.138900,13.257648
17.133072,11.657958,4.941211,27.735600,8.639842,24.187870
7.415245,5.559565,3.803996,23.422564,5.352586,5.389139
32.298267,21.139902,12.201202,14.155021,13.670977,1077.452026
7.456780,5.051488,3.134465,2.918308,0.920293,6.442368
23.146898,15.853663,7.501908,34.760433,10.766315,21.474499
13.166664,8.967818,4.342303,13.086855,4.385044,13.357023
6.791258,5.069097,6.411067,137.795807,23.360899,58.750057
27.560612,18.347000,7.691696,51.929317,13.538352,24.337383
11.625951,7.945461,4.613983,19.443596,4.805212,17.916296
5.018123,3.286925,16.356375,33.774399,6.681504,19.936291
10.927824,7.877840,4.002848,7.433727,4.363479,15.396078
10.249516,6.889317,5.183765,27.393530,7.969383,12.274995
11.130719,7.559940,3.972088,21.990032,5.755682,20.100893
24.029316,16.442524,10.379690,92.003960,25.417355,52.748215
