"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.808897,14.073169,7.141250,30.366989,7.867438,64.293243
16.571568,11.058637,7.036244,26.438921,7.583069,28.788975
22.697456,14.490383,37.046806,96.588188,31.126841,334.791840
19.142307,13.020329,13.961369,55.106247,16.113760,132.337662
33.653519,22.342720,18.501307,87.229179,25.741837,268.504974
73.610168,31.275272,37.850899,134.666946,39.117943,480.677917
27.223324,18.768909,11.114677,45.936329,14.855303,212.725723
29.160322,19.056873,10.212890,39.334629,10.659244,91.844521
17.215654,11.813581,7.921018,24.408728,6.747317,70.871658
7.798424,5.686467,6.043850,26.549480,7.653921,64.213982
22.475735,14.961145,17.838322,70.182518,20.230473,208.048141
12.512324,8.580893,5.452428,19.466518,4.592947,31.776108
13.937361,9.362639,9.703233,35.777493,12.481244,166.456345
14.173168,9.756838,3.659674,37.112999,10.158482,85.715881
11.312447,7.746819,6.999498,30.606262,7.679139,78.719200
82.042572,45.403332,29.892483,139.943054,38.327065,213.969345
5.513820,3.631558,2.549010,2.136570,0.494536,36.585159
18.059280,12.229733,7.711645,48.434654,13.308814,140.079575
6.820307,4.550409,3.003705,15.746938,4.881366,30.156393
14.870366,10.535570,5.405198,17.755196,6.860500,34.832867
18.615423,12.974528,5.352399,16.526716,4.073045,71.318932
28.966082,18.715338,12.596738,70.286812,19.288616,298.087891
39.566616,22.644285,51.123714,78.665039,129.007477,4905.864746
32.122169,21.154047,11.306866,64.783073,18.142138,112.688400
6.161542,4.202648,4.333734,14.487450,4.834819,11.454754
12.189414,8.164281,5.890402,16.580036,5.202541,39.946133
11.265267,7.339260,3.734388,15.050655,3.595872,25.370701
12.273040,8.449019,8.324293,39.545288,10.733352,171.921722
12.603391,8.609136,6.168002,35.350712,11.708037,127.051544
5.169960,3.545975,1.550710,14.439989,3.804996,21.377699
6.142672,4.283352,2.619413,15.847651,5.734581,64.320419
9.607777,6.796447,3.774143,13.985980,3.221391,41.597748
25.526072,16.972078,32.899086,71.335014,23.487041,376.052155
20.515474,13.969395,7.264122,32.794594,8.930923,91.628838
17.779285,11.771366,7.249902,28.238255,9.583969,73.761246
20.526310,13.543355,4.381683,26.612101,6.461793,97.658203
86.631073,48.459770,42.853348,175.273148,48.733181,328.408844
10.788711,7.460704,4.219065,17.842953,4.922009,27.393217
12.802895,8.653083,4.051056,35.989948,11.019787,69.280785
63.422241,36.437435,21.818712,73.811295,21.558329,233.843185
4.255859,3.231313,4.119443,15.316454,4.977035,53.963017
33.313911,21.841066,15.712228,59.853989,20.058968,219.887192
22.042049,15.144320,11.067424,37.803288,13.326493,207.116547
5.118690,3.735308,2.768551,15.801465,4.661757,45.585735
7.267485,5.013402,3.105704,27.604996,7.458482,40.959232
