"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
30.431446,18.894947,9.171564,51.392181,13.983402,153.341110
18.601883,12.645551,6.610879,30.245762,8.759079,83.278610
23.176439,16.138332,6.038041,22.277956,8.039161,69.778603
9.283843,6.428532,10.183125,27.786367,9.039828,106.558380
27.498236,18.863716,7.223767,35.316753,9.835322,139.848099
21.122253,14.215946,28.907503,102.607277,27.450783,368.978485
11.431195,7.111196,2.535884,11.113575,3.552742,45.839592
61.931316,37.611561,45.786289,222.348892,70.446289,1388.286133
5.519898,3.695906,2.723699,9.824779,2.643794,37.185593
8.599112,6.357854,3.084167,13.702737,3.100011,27.632574
43.708248,26.954554,15.614984,45.153885,13.853569,177.028656
31.321331,20.208088,12.601423,60.644726,17.697056,103.687843
14.888177,10.308684,5.127876,23.874418,6.340258,69.029839
19.306145,13.510500,15.369728,66.545410,17.907991,63.940048
8.888937,6.373528,4.068410,15.757799,5.241332,32.618904
12.354170,8.416026,4.906744,31.628620,8.172605,109.905014
5.628204,4.150357,2.470371,8.938838,3.468518,14.262422
11.903996,7.957272,3.457993,15.116763,4.501253,61.551437
12.968442,8.517694,4.383461,33.351337,11.093842,145.841431
44.574440,27.228685,24.493015,100.108040,29.751581,325.439514
15.298290,10.502604,5.817084,22.356722,6.196296,57.356949
19.808220,13.832525,5.576425,20.211676,6.727833,89.526695
15.009821,10.010009,10.553172,20.182688,6.709614,123.026299
22.499622,15.203120,6.910234,37.084293,8.905636,122.364563
5.732603,3.866955,2.174737,14.676898,4.105621,34.721157
30.340712,19.272680,10.422865,71.645172,24.318953,272.377808
22.482040,15.090725,10.454443,47.635777,12.471349,97.418274
10.929029,7.625045,4.063492,10.663346,2.193878,34.539494
11.287976,7.571538,2.493419,26.114208,5.499135,12.403122
14.663826,10.046220,4.467499,18.929558,6.089099,89.371788
25.108955,16.032619,8.088395,45.165680,11.578885,94.146027
25.221182,16.745178,7.856219,23.665718,5.963030,81.296120
14.473725,10.014071,5.332561,29.677826,7.534058,128.139297
16.183182,10.612461,5.648449,23.164898,6.618223,61.903316
14.712366,9.574100,5.069459,25.621721,5.648447,71.087524
12.315689,8.584249,5.475480,23.209181,5.807661,42.046165
21.249941,14.508965,17.617395,52.978867,15.107885,120.337349
18.956438,13.030163,8.258246,46.585484,12.045982,68.203255
13.928862,9.187140,6.345883,32.755028,8.220956,49.599602
56.748653,34.041805,33.650299,152.139252,39.405796,346.046692
23.869125,15.575672,6.592996,45.867683,12.969611,138.428391
9.890228,6.658571,3.944982,14.733109,4.209645,36.679897
11.886901,7.865877,3.482341,16.610092,5.526939,39.840794
15.720649,10.449175,7.015055,37.766750,11.717815,79.518440
