"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
14.767998,10.350024,12.145546,67.924232,17.121813,42.871277
14.998790,9.563275,16.962624,115.837105,30.127424,62.778870
37.638855,22.547024,26.098122,159.313477,42.340038,83.386711
17.369356,11.463933,6.615776,38.584923,10.026390,8.234680
34.189693,18.405952,10.326431,84.662689,24.247696,57.974243
6.152257,4.328251,3.364146,26.702829,7.826791,22.920647
15.756337,10.285024,3.794107,72.187439,20.138411,52.892075
32.899246,18.507557,36.842899,322.492035,86.688805,141.676590
19.095840,12.515486,6.948755,47.678707,11.765911,17.003981
4.652867,3.214543,1.554282,21.738207,5.645053,28.905096
21.653601,14.655970,10.853752,143.345322,37.266525,33.855732
7.651008,5.742758,3.171899,23.577188,6.272961,5.160399
38.143860,24.285736,12.684364,58.000145,16.091486,32.126724
12.986435,8.658205,3.859846,26.822023,5.940575,12.874775
6.779984,4.542474,2.538526,20.901501,5.541589,7.318609
72.498665,39.360851,63.063816,504.974304,136.132462,183.604004
35.657558,22.354092,21.715466,119.422981,32.815144,98.334602
5.952457,3.974728,2.600114,18.537558,5.280493,11.122427
4.285988,3.161860,1.209307,21.823584,6.139589,6.543263
7.281708,5.362840,3.281946,16.511271,4.701504,20.863729
8.288700,5.604534,3.136210,37.416077,9.742198,13.169011
73.986877,40.214970,24.893007,181.482269,45.539726,79.167809
4.954760,3.463988,1.409607,31.617504,9.054483,5.218013
10.557228,7.375361,4.086381,23.597713,7.447241,13.356694
19.991274,13.586803,6.378346,60.355404,15.458225,13.660218
6.337963,4.090185,1.994200,31.264071,7.375835,4.211882
28.969753,19.378445,25.124182,122.846771,34.729744,89.297012
22.135077,14.232100,9.625410,92.229805,24.859766,41.037933
24.910387,16.803104,5.617529,41.652550,10.535602,16.041960
30.652554,19.918655,12.088328,116.095116,30.613726,87.119858
10.056747,6.709500,4.378067,42.023697,10.217002,17.716124
5.486381,4.034606,2.437281,16.098509,5.194514,10.156466
7.978864,5.604280,3.109223,23.004238,6.275835,10.888637
53.969196,33.393833,16.607859,130.031647,35.450119,31.141191
9.354195,6.446049,3.561021,15.852621,4.633289,6.346228
12.265646,8.584249,3.087715,25.214474,6.779924,21.607193
12.185016,8.222344,4.062901,20.168554,5.435296,20.051249
9.762830,6.926647,4.068936,29.195557,8.571570,8.834426
14.493632,8.210578,3.379051,48.672268,12.353075,8.768118
8.092597,5.324764,3.174133,15.961625,4.926193,2.355169
25.341818,16.918447,8.137178,26.483183,8.194082,24.462688
21.564537,13.860720,13.960724,79.113388,24.019510,45.369503
23.218058,14.976473,8.493786,41.527916,12.711679,8.817732
7.520752,5.200151,5.177763,31.772320,9.022645,18.419554
36.807133,23.323950,30.086010,138.925568,38.102650,51.982983
34.124901,22.317492,12.868811,94.771286,23.909893,34.111828
25.297878,16.425409,6.571001,6.885748,1.514448,20.104422
7.902393,5.736478,4.042734,32.098034,10.264967,12.228354
36.717937,23.096827,18.568253,134.026672,32.924603,94.611938
18.358032,12.186055,7.310539,48.533775,14.829806,15.028641
24.337467,15.617223,7.558268,41.636181,11.249541,10.233823
9.514789,6.426228,4.099147,14.057753,4.102776,7.338559
17.457159,11.293544,3.998483,50.912285,12.975332,10.587082
32.820034,20.908638,14.156639,108.785622,30.699379,37.053860
27.324707,17.531864,6.709394,50.023243,12.327342,16.545584
11.647504,8.259542,4.257213,30.401150,9.772317,15.509868
25.870956,17.322643,7.765720,67.674721,17.390524,39.509472
27.767147,18.325754,12.507049,78.344795,21.288216,29.065687
9.488204,6.621891,3.641882,18.923025,4.675260,6.583983
38.051865,23.617043,24.841423,212.187744,55.162968,67.957581
7.122772,5.232229,3.381931,19.220074,5.222518,4.771856
18.956184,12.672984,5.765238,30.639009,10.271249,17.652128
13.855552,9.880863,5.377285,38.893147,8.942316,9.318357
9.821833,6.583820,2.974901,25.973810,7.969021,18.980078
14.483998,9.899052,6.429055,58.941391,16.135477,21.888659
6.398848,4.344737,2.550600,11.728580,4.368423,6.217648
16.983572,11.447518,7.960433,61.805614,16.592409,35.695572
7.064795,5.002600,3.051905,18.545746,5.110261,6.045928
11.054228,7.754181,2.099738,24.691574,6.802946,12.691979
8.953053,6.265639,5.939143,31.630774,9.862142,20.845221
