"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.242684,6.901538,3.037727,12.962759,4.410899,40.426323
11.924723,7.976362,2.693230,22.671402,5.113091,31.502020
13.303677,9.516018,5.080076,24.022310,5.958803,41.715225
11.932546,8.152776,8.546005,57.998020,15.187963,50.971375
14.983920,10.150947,4.950387,18.130569,3.958849,27.784037
40.599689,25.492191,10.713313,28.229139,8.284327,130.377182
57.345615,33.280018,138.838623,863.291626,247.376373,1143.156616
19.741522,13.304310,7.667848,17.355045,5.247455,24.690435
28.536087,17.840803,18.601616,79.881355,22.861151,151.458710
8.423962,5.701726,2.705270,15.879607,5.359094,46.112728
19.991457,13.297937,5.141706,28.435963,6.289932,35.800259
23.096413,15.004843,15.746981,73.852493,20.828314,147.060791
22.155130,14.840545,16.015797,47.097927,14.811816,91.799385
11.531614,7.910524,7.548728,21.074230,6.441005,27.716087
83.170570,46.366814,32.099621,213.924362,60.667488,348.904724
8.325712,5.959361,2.719151,6.324753,1.767105,9.912022
5.517395,3.768887,2.041432,3.137429,1.688418,10.930990
33.175831,20.179562,12.508620,21.447199,5.931051,27.586563
10.748680,7.617426,2.510424,8.733773,2.815306,28.404890
28.299753,18.424364,7.700026,36.213902,9.620011,81.544403
13.829172,9.510783,4.394433,8.584183,2.657544,13.647994
17.802925,12.260870,7.842656,20.787170,5.648335,21.897207
15.456634,10.818725,18.760218,56.145706,14.687892,84.679092
34.549255,22.390009,7.639432,64.933205,18.092094,71.928413
56.536934,36.719128,15.450420,31.566401,8.666680,106.825920
54.286270,31.159277,16.899855,84.087997,22.088467,134.809723
40.944321,24.871609,12.220244,55.202984,15.348820,108.013077
12.841385,8.464278,4.857031,26.895140,7.866605,24.330730
9.654430,6.671269,5.617529,10.518677,3.465245,18.354660
8.140368,5.727982,2.537271,6.365199,1.281400,13.474484
14.117376,9.913845,6.058080,6.250126,1.516674,21.565859
22.851290,15.051452,8.299457,17.371029,5.151619,48.728867
31.377523,20.374788,11.916784,16.520100,4.234797,55.194534
14.127847,9.529087,6.013048,13.788992,3.705008,38.393848
38.186092,24.481937,31.506441,128.549377,37.815350,241.844849
5.878019,4.266012,2.530094,6.426915,2.251035,15.419737
21.439390,14.219049,7.301396,5.248602,1.692796,62.484108
16.186201,11.275402,9.316298,59.106949,19.091316,100.938499
8.756564,6.181159,3.693606,18.982491,4.049517,19.488035
11.735010,8.147640,3.910480,17.048271,5.187131,36.345066
10.368249,6.923940,3.676206,7.130855,1.963734,19.576351
23.291019,15.432375,11.858919,46.521114,13.835767,114.775513
12.383757,8.460970,2.624461,41.527916,12.901127,59.214569
5.608396,4.147295,3.833752,3.011914,0.876365,20.975319
