"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.363943,12.638843,3.059174,36.329250,9.547452,129.706543
9.658491,6.236860,3.358086,19.457930,6.596508,33.728931
11.959665,8.142727,7.689459,45.147591,13.404481,66.583000
11.357051,7.862858,3.048428,31.346567,8.907573,48.429905
37.349552,23.380318,6.930659,51.516376,17.409683,196.482452
9.862586,6.800175,5.330119,29.372978,10.368258,84.834518
36.302547,22.369984,9.699176,59.537292,18.769379,139.898911
11.144856,7.673817,4.214883,22.030487,5.301072,47.835304
9.351759,5.832137,9.393711,53.501564,15.665688,194.999649
10.515042,7.609075,4.671244,14.028016,3.353801,29.555655
8.864047,5.927943,5.556348,41.404240,10.597201,52.385925
50.130337,31.285971,14.145606,54.571659,16.485300,214.225601
13.637103,9.179534,4.327188,18.766460,6.386727,34.864792
5.229775,3.561770,2.208428,6.776241,2.584122,9.529045
12.792289,8.662347,4.147049,28.572372,8.404761,71.445091
6.813699,4.845469,2.583320,15.682787,5.223643,26.790798
13.341969,8.972135,5.201288,25.685358,5.959942,25.107447
73.113686,40.977291,30.252426,131.077042,35.853168,270.838257
15.813742,10.684443,5.277086,24.375774,8.938420,94.254288
15.385094,10.413500,9.944810,52.563652,14.477754,103.177254
56.748161,34.703045,24.232895,84.334930,23.814995,242.251404
8.855959,6.294683,3.281598,19.185795,4.708241,58.314190
31.202293,20.233397,8.358430,30.645243,7.642558,48.512325
17.573965,11.876704,5.330307,29.974617,8.959254,30.700155
17.542742,10.916515,24.915689,131.080399,35.843586,232.233582
29.783091,19.394751,14.190385,53.518890,13.634781,121.319572
56.811516,33.706448,17.088709,86.000854,23.423611,287.345612
55.524456,31.642378,20.713501,91.593544,26.557652,358.296051
38.783009,24.386723,10.943531,57.837875,18.689032,195.059937
23.607218,15.295243,18.829830,62.427616,16.462290,125.102463
23.693455,15.574856,5.278840,33.323368,9.734445,108.108017
11.445068,7.376281,4.102997,15.326417,4.383102,34.670368
22.337620,14.347567,6.183291,56.561619,14.675904,50.765732
34.677631,22.056553,12.675911,60.164524,17.863592,212.968719
42.021526,24.771854,20.103796,107.524178,34.108593,320.301483
66.648048,37.484398,37.181274,137.468002,39.808281,288.236115
66.310059,38.312675,16.831007,84.495209,21.877983,201.828751
23.510347,15.990367,5.141285,45.130665,13.461483,127.371910
8.431285,5.708136,4.244079,21.370255,3.731387,52.112476
8.285620,5.782528,2.802385,18.892714,4.933342,28.420404
47.417915,28.301504,14.728552,106.573372,29.734005,235.908508
31.730410,20.727175,8.749106,51.461071,13.624871,108.395042
13.466829,9.269686,7.871823,41.499317,10.645619,74.638527
94.974403,51.037552,66.508995,323.808746,97.963287,1169.157471
12.707870,8.339819,7.709657,34.907696,9.939183,99.387962
16.820759,10.614000,14.034096,88.187057,29.046446,200.304504
17.744967,12.229241,5.398566,25.194324,7.437390,90.307549
4.424407,3.035672,2.005270,10.515216,3.812999,16.868052
6.102366,4.038598,2.733230,13.158624,4.589563,53.419430
64.837227,35.852436,40.210213,273.226685,82.920410,638.706970
24.991600,16.151281,14.092449,68.645081,18.509346,116.596573
13.142903,8.974445,4.377958,33.131271,9.053454,39.065796
19.140747,12.956752,5.228111,37.765282,9.618879,53.995781
17.782122,11.310862,4.998777,33.306534,8.605412,82.349892
10.084905,6.835454,4.764867,19.732950,6.962021,18.440067
5.824647,4.093892,1.812257,17.218403,5.064703,35.126709
9.038648,5.954845,6.214389,51.625229,15.985746,75.833511
8.954568,6.225533,4.500175,30.189163,8.101895,45.143776
41.090336,26.320988,20.449169,96.611153,26.090075,190.591965
7.836639,5.169166,3.065583,17.963850,4.658894,19.322971
20.066029,13.212576,6.999322,34.068535,9.679916,59.139965
21.948040,14.031016,10.476426,72.231857,20.476439,125.258804
6.874557,4.952275,2.760754,17.660633,5.128328,47.279518
24.445101,16.364704,8.029241,52.046196,15.693510,119.094604
5.622819,3.841313,2.983239,9.391706,2.427279,32.848068
19.392145,13.240611,6.232333,29.697578,8.825822,67.856285
19.010313,12.713998,6.537784,36.830601,11.570241,59.394489
34.613445,20.734411,22.282701,88.623772,27.239975,105.181038
16.219378,11.095857,10.857257,64.011047,19.167133,202.097443
37.738480,21.631239,30.045553,175.132538,54.296722,286.966553
25.947590,16.959856,11.060641,41.891693,14.025108,70.701141
29.947496,19.212358,7.253710,38.450214,10.668789,96.063705
10.218152,7.033911,4.846147,43.502602,13.470814,104.006821
19.692574,12.962751,5.282981,25.872408,8.068160,44.586079
7.708947,5.424331,2.575783,16.841328,3.499999,36.544510
14.301538,9.886189,6.354249,22.655273,8.109935,31.535019
5.452204,3.642522,1.906590,15.336236,3.996307,26.378925
12.139327,8.114493,3.477830,26.293629,6.385030,38.641548
24.984283,16.112114,9.958183,43.712738,12.996204,158.018280
17.018875,10.821679,9.167256,60.267063,16.575935,145.260941
31.539764,20.432878,21.943277,121.700638,35.792015,165.358612
20.990345,14.152275,5.938414,30.344339,9.561307,50.948719
22.333439,14.790857,7.792253,31.000219,10.135012,67.399620
13.564021,8.946591,8.280215,29.537682,7.849828,62.290901
23.093655,14.915142,5.526721,33.982044,9.531245,85.819687
55.399647,28.604942,40.445374,295.100952,83.606773,271.805695
36.987423,24.542200,14.031351,76.275795,24.214386,293.502930
