"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
7.000615,5.268848,3.259346,33.065731,11.406190,27.883411
35.205425,23.525068,20.376268,54.434383,15.650710,80.955193
7.230606,5.075710,3.003293,13.488268,4.135809,13.980698
10.931686,7.420353,9.171542,52.954403,12.735859,52.705006
12.839222,9.174384,4.510724,15.102970,5.095539,12.560251
12.375457,8.615971,4.390027,24.744003,5.374686,27.778389
15.588336,10.697011,4.641263,29.407854,7.985119,19.080904
16.217068,11.015491,15.363741,110.638710,28.181431,81.507072
9.591250,6.549300,2.959615,16.694963,4.238020,9.876433
9.889504,6.739324,3.205700,12.966391,5.044538,15.529326
16.424110,11.070154,6.335588,42.029778,10.615074,19.464806
4.562643,3.637044,2.750108,20.853422,7.431098,9.324689
30.544477,20.348969,6.092991,72.473289,17.842991,39.093418
9.411938,6.430422,3.252182,17.045773,4.424988,13.657590
5.328738,3.871087,2.438440,14.535322,4.569326,7.168480
18.938395,13.115733,6.829823,44.639793,9.759681,12.099613
19.983387,13.610806,11.134953,48.097458,13.441366,22.440870
6.006074,4.142575,2.342750,5.419152,1.255609,2.815295
9.007899,6.137323,7.607658,46.180206,14.353784,42.953094
14.498618,9.864183,15.378046,48.760387,12.615440,44.133709
22.365070,15.126018,7.682971,46.788414,10.900335,37.432701
14.650219,10.033087,4.025093,37.522968,10.216542,36.677757
11.317366,8.102660,4.383589,51.598946,14.409081,29.420935
9.845902,6.871821,3.650293,17.656900,4.001426,22.253618
7.998834,5.575939,2.646571,13.100545,5.063586,24.008389
9.801650,7.096166,3.295317,17.123360,4.366108,11.435941
26.228115,18.173000,5.979172,36.250999,10.544695,41.052021
15.532982,11.134566,5.100097,30.326656,7.158854,24.713202
8.857318,6.381352,2.093075,14.257602,3.765503,19.434160
44.389343,25.121902,30.268223,27.183073,55.813934,3528.899658
57.565392,36.509914,14.293722,97.035217,26.223600,115.135475
12.903464,8.841125,4.145891,21.553190,5.230258,27.435585
27.377661,18.589510,10.086642,61.151272,18.554234,59.630482
6.753658,4.661533,2.867490,16.934549,4.570036,10.752259
7.070091,4.752323,5.505548,31.358789,8.332894,46.180428
15.375459,11.025655,4.210107,19.699024,6.704859,19.255173
17.067780,11.213067,5.657127,23.825266,6.210961,19.447159
15.381941,11.016003,4.708771,17.603460,5.529673,21.398785
8.781585,5.860724,4.583656,28.873125,8.517639,33.171211
21.975945,14.357967,8.174855,26.542137,8.075326,58.807205
9.978629,7.305409,3.972889,21.621868,6.732113,16.988415
13.114426,9.008425,4.656306,31.165075,8.373935,24.783970
23.225206,16.014069,7.453608,27.498011,7.889682,26.104002
61.517113,36.816360,19.490049,139.539841,37.951054,103.020760
4.465079,3.182348,2.033355,10.014894,2.450611,9.596593
20.606152,13.894640,6.663483,43.384312,11.527835,39.430679
14.374214,10.230340,5.134053,23.407076,6.304274,12.991171
36.991653,23.711330,13.936942,73.412079,21.109991,70.063728
4.475970,3.290917,2.268546,16.675928,4.107006,10.818569
47.597420,30.160910,16.396912,85.722847,23.008257,45.604893
5.549908,4.081578,2.389544,14.312721,4.922681,13.214954
14.633469,10.179890,8.188373,37.367050,10.079335,28.585373
17.156900,11.293544,6.128884,29.711939,8.914702,18.272253
14.811715,10.258005,4.719966,32.916916,11.275561,20.711258
20.118519,13.808720,10.534107,65.868988,19.483486,54.592533
12.905727,8.686788,4.786239,25.182383,6.176372,37.028343
7.190632,5.176647,2.346782,20.956039,5.022763,18.841728
10.116280,7.217355,3.213355,25.220613,6.754310,11.214646
6.600010,4.729801,3.098558,15.277038,3.066736,7.785014
14.360096,9.426369,3.551715,19.457991,5.992181,13.267773
17.067024,12.251272,4.890369,6.080220,2.405814,20.324495
4.686791,3.151499,1.533034,52.900982,14.689327,25.498150
30.841562,21.080814,10.324390,32.716415,8.706400,19.101755
13.010283,9.208332,3.897121,23.321531,4.458865,26.472223
11.145417,7.549198,2.718726,41.555031,11.445737,22.810879
61.624832,41.209969,25.863472,94.714111,25.465107,128.694214
18.742226,12.576669,10.062238,8.988839,1.858332,30.326677
19.232384,13.669592,12.574367,60.531792,19.200930,57.311371
5.599545,4.061554,0.913005,11.984236,3.471514,25.696001
21.542431,14.719008,9.506492,59.544022,16.403473,50.020271
14.112429,10.047624,4.011732,23.450863,6.057553,13.223223
25.897591,17.396563,9.884540,56.197594,17.156502,52.705048
20.294661,14.281836,5.875603,23.524738,6.182414,27.591213
26.444799,17.403059,16.792862,90.481453,24.671701,99.804916
23.325926,15.815565,9.360179,71.927902,23.985443,54.531380
12.189010,8.772297,3.637631,28.220768,8.385170,22.362858
14.756620,10.066472,3.443624,20.365553,6.151729,28.344900
10.798890,7.458365,5.043459,23.802202,7.046312,19.067602
12.291244,8.528495,4.703672,30.219013,7.273433,18.305477
19.460257,13.614038,8.766912,33.276035,9.108811,47.670021
12.612801,9.095598,3.777680,22.644161,5.505297,17.885578
26.898989,17.890678,9.205504,45.593147,13.432487,29.819866
7.938937,5.742395,2.530592,16.516356,4.240665,15.172637
18.528997,12.471372,20.755211,128.133041,35.723763,82.451057
14.418348,10.261211,4.876162,28.799025,8.508940,35.090416
4.652503,3.473717,3.878264,30.952738,9.207181,42.451656
19.819115,13.845788,4.630423,58.839397,15.371078,50.844582
4.331089,3.190442,1.547372,12.768442,4.075930,6.560256
39.384373,26.148041,16.280188,96.796440,26.373640,80.590385
9.448839,6.378134,3.777289,20.718948,6.065262,45.419754
21.117292,14.023326,7.534025,38.593136,10.618484,20.746466
16.263512,11.571157,5.467815,22.647398,5.186568,21.496313
15.736521,10.913280,5.383511,24.512548,6.950296,21.701550
12.872389,9.171306,3.892845,15.812227,5.352020,26.362394
8.152102,5.600020,5.818769,7.477829,14.195111,1244.159058
7.826304,5.814603,6.397005,42.716831,10.505528,52.061607
22.711971,15.592988,3.491409,78.461403,22.659801,102.421509
17.666843,11.809566,6.257481,54.033165,14.167560,25.831802
7.637427,5.863755,2.152622,7.746157,3.076886,18.503115
6.878749,4.914178,2.453596,12.078480,2.982887,13.034396
17.827572,12.289050,9.872108,34.002193,8.586970,17.509993
10.439329,7.094186,4.321397,22.293686,6.337449,15.360551
6.098269,4.437458,1.983553,22.556744,5.808084,38.337460
37.930519,24.271204,11.115351,53.081062,13.650995,41.851452
11.287608,7.505918,1.560823,63.332817,17.772202,34.559242
8.534931,5.963157,3.122092,14.243302,4.191448,20.347458
13.374405,9.555803,4.887964,28.407427,7.014719,22.743095
34.730453,23.243454,12.132733,67.532578,17.689096,25.397861
64.071495,39.960262,18.588900,30.471943,7.692982,86.496437
9.450858,6.581445,3.102693,12.324131,3.802019,9.116055
23.637486,15.779669,8.599414,43.890308,12.929293,28.962751
25.037251,15.964127,15.001521,74.205009,23.496351,119.607887
15.202404,10.704855,3.969435,22.838114,6.854526,19.802202
19.653448,13.647396,4.807648,47.446041,12.256415,67.176903
23.748093,16.725164,17.803982,13.974214,43.553238,3014.319580
