"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
12.737684,8.518970,3.699009,4.669926,0.214439,2.858354
14.841513,10.509320,6.399983,5.599603,2.010427,7.745908
7.727460,5.579250,2.495714,6.517997,0.196713,2.710307
4.729933,3.376775,1.858120,1.553130,0.889974,2.107992
19.784472,11.966743,7.570494,13.201337,5.395797,23.022806
10.191440,5.243778,4.833264,15.114308,6.375546,17.487410
8.685981,5.921010,2.539458,4.014623,0.560888,3.578309
20.624424,14.235096,5.877025,5.090944,0.318223,14.288648
11.796716,8.059919,3.120468,2.375526,1.975363,5.140225
5.439256,4.130071,1.822369,3.508271,0.937440,3.972975
6.283260,4.585170,3.486714,3.039157,0.710141,6.006823
6.428530,4.583090,2.281849,0.578873,0.492998,2.540292
10.055456,6.982269,2.879517,4.207533,0.574594,1.732772
8.646995,5.636965,7.402173,10.368610,0.582403,4.499727
18.332760,12.477044,3.993346,4.748348,1.298661,6.592986
22.291273,15.343516,7.498254,11.861650,2.285407,13.282772
11.147228,7.720913,5.083329,4.592249,0.355131,6.316314
6.091863,3.989987,3.840465,5.672941,1.652378,12.891804
6.527198,4.428339,2.177996,3.604369,0.359627,5.474489
37.318211,24.665209,10.420218,18.087624,3.604133,23.383749
8.835599,6.108074,2.560716,6.929191,0.709443,2.370454
7.311776,5.135015,3.656920,1.838759,0.483186,7.917349
5.673234,3.662353,3.007408,1.802621,0.565053,3.848981
7.172178,4.888178,2.181174,5.085392,0.301821,7.784052
18.993988,12.808605,5.588382,10.101541,1.442620,10.696959
6.634645,4.685277,2.376671,4.344532,0.752291,6.681859
6.775699,4.928371,2.744252,3.590816,1.411854,3.984483
11.114902,7.502975,3.223485,5.916413,0.549609,7.448379
18.201056,12.210210,6.693453,6.240003,1.688720,26.490217
4.612339,3.515457,1.632923,-2.067041,0.005305,2.986909
8.580480,5.900784,2.487157,-0.073159,-0.109722,6.338498
12.874867,9.115783,3.570397,3.033720,0.615582,6.978738
10.820589,7.420075,3.670419,6.851085,1.264390,3.357171
7.011023,4.997227,2.113271,2.432813,0.920474,4.893658
6.741236,5.057499,3.979237,4.060353,0.722789,3.783314
7.197009,5.288351,3.234270,0.139374,0.588894,2.215543
5.615089,4.224542,2.207737,3.207564,0.781300,4.391376
5.680754,3.874889,1.563213,3.648623,0.164353,6.872027
12.584850,8.271613,3.454115,2.779293,1.143450,16.685629
7.620763,5.294247,2.248338,2.553685,0.922756,2.894918
6.539962,4.406240,2.285726,2.759244,0.215804,2.433061
6.201347,4.156129,1.996881,0.284991,-0.172689,3.340561
4.308967,3.166170,2.077563,2.962661,0.815752,3.741945
5.097243,3.735308,2.436123,2.801018,0.450999,2.012612
6.238030,4.464086,2.730382,2.762239,0.656213,3.176795
11.097988,7.394396,5.380239,5.569702,0.968769,3.828685
15.510904,10.260858,7.032111,6.853578,1.342872,32.279160
17.346216,11.595853,4.525291,8.967459,0.606674,18.948410
12.947529,8.723045,7.026202,9.201655,2.784442,8.359315
7.484410,5.319600,2.231178,4.428051,0.481773,3.761825
8.695465,6.187291,2.743419,2.942244,0.425963,6.244685
28.002089,18.907917,9.922004,13.832559,2.351272,31.587952
4.710501,3.206386,1.843062,5.240930,0.014204,6.698029
7.019311,4.734324,3.186507,4.785622,0.666453,2.681492
7.486245,5.202763,2.623744,2.014166,1.203506,4.921319
6.671803,4.719502,3.245630,3.760420,0.535815,4.693439
7.762552,5.695446,2.764998,7.011925,1.555500,7.610657
5.733946,4.165597,1.822876,2.590470,-0.123023,4.158588
17.266312,11.901432,4.388952,6.944884,-0.021629,6.719814
16.604881,11.562599,5.213857,10.947112,1.695635,10.622644
15.637224,8.650198,7.853627,14.133563,2.906244,14.172784
5.351648,3.853404,1.643843,2.647120,0.098229,2.918050
10.760036,7.775151,3.829529,5.575257,0.828207,6.730420
15.705455,10.398518,12.350808,17.205568,3.708220,41.184856
7.599516,5.229862,3.380008,6.278318,1.008204,6.611257
6.327358,3.246104,3.705163,6.348960,0.279199,5.152448
