"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.914690,7.023609,4.113650,22.109900,7.370582,12.945585
23.334518,15.514203,6.460750,23.908178,7.454387,5.576188
9.521858,6.006496,3.600234,31.975567,10.101645,6.145399
16.640158,10.884099,6.508541,11.922747,2.698670,3.762985
25.968351,16.574898,10.458688,54.747723,19.904682,40.330521
9.412199,5.884647,3.961087,14.824773,4.041399,3.096484
31.655703,19.745472,13.745507,75.922791,23.505587,52.684753
34.257557,20.308094,15.353018,85.016708,29.546888,57.193344
5.183896,3.451766,2.988212,8.520087,2.450771,5.529845
17.771273,11.881535,7.645225,73.450462,27.070591,21.570227
24.927839,16.029261,9.931533,72.616745,25.320557,17.920622
8.172885,5.651205,2.321169,6.920031,1.290111,3.198000
49.539352,28.253021,20.519663,80.626709,29.170572,23.958998
10.062496,6.399905,4.696279,33.910252,11.027084,18.808439
43.368542,23.402336,33.815376,309.009583,108.011711,105.803162
43.366512,26.909679,11.019135,99.211639,34.459457,33.836132
24.247763,15.609708,8.654252,31.118593,9.698867,21.604439
10.781603,7.163815,4.580386,6.966909,2.063445,5.403231
15.484889,9.982538,10.667427,52.167492,15.958734,23.518551
21.397398,14.472338,3.989697,47.537907,15.460741,9.375295
13.897086,9.465007,8.969790,47.417522,17.734774,10.284391
16.137211,10.673956,10.158931,51.885300,16.757872,14.519445
18.319805,12.115722,5.169979,31.792656,10.791690,14.844134
7.758396,5.040766,3.521610,23.401117,8.065630,4.338236
14.139821,9.421154,4.805567,31.065969,10.961508,5.481768
52.416809,30.014868,19.380556,117.137794,38.209450,77.242439
4.845470,3.341457,2.340334,10.997175,4.067706,4.009504
24.483522,15.162887,8.574508,58.443653,16.445398,13.192595
16.553209,10.638555,19.593815,113.807358,38.202209,36.824089
33.837429,21.307205,12.553013,63.185410,18.589117,20.802204
6.678847,4.405423,2.140431,12.877245,4.319081,3.507496
12.974954,8.688537,4.703513,34.592957,14.180799,19.947014
15.871353,10.883821,4.270935,24.416166,7.644867,15.249524
19.278698,12.199375,4.862060,21.981741,6.553882,12.889808
24.098995,15.586063,3.796938,28.356213,7.364205,22.817513
11.829557,7.790792,4.127894,24.156422,7.291077,3.470191
10.790962,6.849053,4.427501,45.172161,15.440314,7.054376
10.699348,6.957164,4.197618,44.497982,17.336239,5.985551
12.298890,8.241096,5.566643,50.230743,16.102722,9.282845
41.557041,24.733944,12.685871,79.769974,27.659998,17.318016
19.601175,12.707020,2.360791,18.690781,7.246841,15.390615
