"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
6.974590,4.558974,2.376605,3.225092,1.133339,1.900961
22.489592,16.077095,6.007711,7.387377,2.637607,1.738358
18.089939,12.392778,3.288844,8.372869,2.562266,82.487648
5.715754,3.927408,2.954856,7.006756,2.193657,1.159831
5.791932,3.899868,2.375458,4.729829,1.503638,-1.158828
9.037517,6.484869,2.316575,4.422623,0.890418,1.305543
9.369694,6.654923,2.711205,18.151674,6.139755,24.371550
7.014255,5.306181,1.968732,4.440320,0.889644,-0.025203
4.227781,3.232667,2.228578,5.074804,1.009069,0.799846
10.740480,7.364186,3.615235,5.754732,1.766513,0.517098
13.691675,9.770337,3.203105,9.919829,1.734090,4.471422
9.160824,6.324348,3.993179,5.444278,1.663332,0.683391
19.323547,13.671600,7.305829,13.041756,3.735625,2.858182
9.239091,6.366651,4.774654,7.568472,2.551551,3.398380
6.571711,4.713931,2.579528,3.456488,1.332925,0.995293
9.163757,6.492140,3.672132,6.954115,1.873270,0.848815
17.024759,11.941729,4.571303,14.532702,3.668278,0.456015
7.353985,5.519351,1.796540,5.510483,0.988780,0.385966
12.565383,8.826266,2.732898,6.732605,1.788931,1.517210
10.372674,7.373494,3.720177,7.755441,2.138821,-0.008783
7.020746,4.989021,2.933828,3.700671,1.389189,1.335009
5.060658,3.887776,1.969366,5.824309,1.490562,1.806026
8.723706,6.390935,3.941885,4.988681,1.007950,1.043409
5.944142,4.219144,2.116927,4.095813,1.159184,1.352736
5.629665,4.053302,2.503947,3.750289,1.286175,-0.640320
6.351923,4.654553,1.865467,4.403949,0.844175,0.237134
6.676364,4.809785,2.276418,3.890749,1.054219,0.880700
12.091777,8.250689,3.644850,7.593978,2.107592,0.691118
34.897377,24.118771,8.531491,22.426908,5.939424,5.271447
10.690169,7.968214,2.327411,12.506610,3.325408,1.062289
11.717228,8.195723,4.237217,6.182775,2.000079,1.129433
8.611440,5.763019,2.110950,6.894094,1.461085,0.264389
4.974844,3.522335,2.125571,3.587835,1.046964,1.369824
7.159654,5.068417,3.150444,4.326309,1.187136,0.084190
11.705710,8.038443,4.218783,6.383723,1.493956,1.233926
8.432126,6.049613,3.163299,6.338567,2.180701,0.864735
7.360799,5.100107,2.360885,3.297952,0.737795,-0.295821
6.454352,4.385751,2.501930,4.417272,1.421011,0.605269
16.803423,11.653090,7.419433,10.275199,3.198317,2.035285
24.612331,16.412172,9.035974,15.571507,3.990683,2.368824
7.503777,5.176512,2.698026,3.660110,0.722152,-0.033597
5.241141,3.635343,1.923070,4.343098,1.836445,1.112785
11.337078,8.108576,3.664817,8.669328,1.587514,1.991313
7.416827,5.454730,2.313867,5.373865,1.166199,0.580222
11.083781,7.692422,3.473052,6.957718,2.073601,1.384117
5.196513,3.812628,1.967821,3.790173,1.473642,0.439310
9.915446,7.097845,2.811192,4.977646,1.218273,1.842487
25.491533,17.842073,6.450538,10.076915,2.932259,3.309940
4.171280,3.089060,1.596549,3.476735,0.477812,0.281468
8.420691,5.651327,2.870991,6.254775,1.030583,1.430668
9.707344,6.757329,3.780390,8.666134,2.461532,1.401447
4.181619,3.147162,1.860176,3.276097,0.888900,0.888235
8.523973,5.872356,2.634493,5.252129,1.421864,0.724818
8.833706,6.006215,2.697293,6.788370,2.345196,1.757273
6.760825,4.795183,2.255818,4.686612,1.628557,1.239181
6.628234,4.856742,2.399063,4.755121,1.681654,-0.077021
6.779504,5.023699,2.195604,5.290268,0.939935,0.431793
14.273276,9.717332,4.723732,14.791077,4.651038,1.915677
12.810205,9.073793,2.774687,6.000010,1.369464,0.131483
7.668340,5.585065,2.629164,5.079407,1.582950,0.423089
7.714048,5.623154,2.723123,4.426852,0.919416,-0.062256
6.599240,4.677255,2.535675,4.976602,1.432132,1.072133
16.402632,11.895529,4.621979,7.661955,1.828151,0.540746
15.919685,11.148981,5.621854,5.790164,1.442768,1.887111
8.662333,6.132649,2.922569,7.908377,1.965963,0.474296
4.258272,3.162170,1.792860,2.716196,0.871344,0.786428
12.193481,8.508327,6.642716,14.939471,3.708519,2.134364
8.379847,5.695849,2.401397,4.752984,0.824140,1.087991
9.046126,6.468922,2.806326,6.947911,1.380186,1.437841
9.080417,6.158832,3.350020,7.270286,1.579394,1.224326
5.946647,4.620487,2.318645,5.443586,1.546827,0.838232
9.637467,7.101818,3.181571,7.455232,1.790481,0.428662
13.781355,9.754490,3.802298,5.800672,2.038244,1.286235
16.382282,11.403116,5.857038,10.533065,2.800669,1.542296
15.620447,11.242474,4.039637,4.163451,0.981887,1.766909
14.323063,10.008368,4.090442,8.630653,2.156671,0.912524
22.128204,15.248009,6.351977,11.402185,2.730805,2.993269
12.563174,9.034940,3.590784,8.649136,1.927364,0.667165
11.299772,7.718322,3.139792,5.714875,1.470151,-0.099163
11.734530,8.327845,3.269031,7.855853,1.433256,1.002961
7.912347,5.804327,2.684841,4.507751,1.247724,-0.082434
27.282726,18.498627,16.126444,45.492565,11.350328,5.236802
14.789798,10.644197,4.402822,8.994918,2.405591,2.307148
15.226905,10.794983,4.248297,6.808706,1.855419,1.134961
14.612589,10.704027,3.861870,11.695201,2.910620,2.461874
6.977721,4.690228,2.414689,4.209458,1.383539,2.568709
