"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
17.944723,12.752944,4.621389,13.469602,4.536261,119.158775
9.135270,6.555612,3.534159,8.877943,2.970035,19.828890
12.749640,8.639116,6.219932,32.300552,10.762163,19.465687
25.243233,17.126261,6.972591,17.308458,5.643047,90.761757
12.486966,8.614834,4.645263,13.047684,3.894977,9.711218
14.324199,10.436896,3.796417,17.269367,5.329943,32.471584
21.172684,14.772598,4.877350,38.640694,11.065413,38.719582
47.159435,27.568754,50.052872,162.257950,43.976635,170.417557
15.891366,11.579225,4.530554,6.132855,1.959885,101.572083
6.626234,4.754933,1.449089,10.769752,3.074779,19.243891
13.927592,9.892407,4.432732,36.421154,10.573822,43.762295
13.964950,9.650764,4.171904,8.182343,6.067112,420.772644
14.490826,10.528290,3.895758,20.909224,6.534457,39.200096
13.843042,9.509961,4.274224,15.049895,4.739143,16.513212
16.558855,10.970035,5.532063,15.720589,3.928010,25.216087
4.724231,3.562453,2.492548,9.706478,2.902725,4.426887
48.962894,32.953079,22.179277,52.533184,14.852881,58.652409
16.826403,12.050112,4.255795,9.260131,2.590155,51.361874
14.713656,10.458957,4.205592,15.579486,4.080184,15.854519
6.973327,4.825276,2.869447,14.200260,3.393470,13.635074
40.045525,26.946419,13.035357,30.016121,8.463120,178.919617
18.300596,13.043049,4.757474,13.809737,2.991851,22.309343
15.965639,10.785467,9.039118,34.506878,10.744881,32.531158
10.251411,7.011503,4.147242,15.970293,5.734540,34.291729
10.473109,7.303424,2.975781,12.221848,4.889268,25.053167
6.938141,4.807141,3.023604,10.312593,4.272118,9.273463
31.211716,21.167208,15.459165,82.508247,20.946299,50.112255
27.905354,19.542192,11.737513,44.304066,12.512954,87.640770
35.930405,23.523678,12.799441,39.809689,10.518355,35.851273
11.405069,8.273389,3.471250,23.866364,6.731904,34.062050
4.453849,3.251875,2.292690,7.351635,1.928589,6.537647
18.791609,12.721027,5.692596,28.602016,7.301814,16.667757
26.986599,18.201290,11.683778,59.489399,14.669374,95.025230
9.658228,6.640072,3.486447,11.911392,2.770638,9.678142
35.869316,23.999136,10.181046,26.808401,6.644806,55.005093
20.363798,13.221244,6.358900,21.848312,4.747190,28.023766
7.367948,5.008554,4.033750,5.567759,1.928102,26.516483
11.244179,7.681649,3.345512,16.424007,4.816783,21.326630
23.687904,16.566420,11.236997,46.931667,14.500877,31.178164
16.405287,11.407290,4.667938,26.091253,7.314966,32.569752
40.696560,24.707762,26.604265,113.454369,27.151987,170.791641
41.136242,27.469572,9.944242,50.203899,12.295424,41.408096
25.249023,17.935236,10.170402,33.022377,8.936681,38.090160
20.252848,13.496112,5.059081,25.058624,6.427859,41.940735
28.148432,18.343056,13.188537,44.650795,13.018712,56.535038
11.237413,7.718878,2.654124,11.053552,3.779193,24.602913
51.429661,32.488468,18.174381,70.262268,19.126505,105.913979
34.517139,23.686190,10.504018,27.520462,7.954428,38.529465
25.171453,17.752756,7.065530,33.370255,8.913627,26.464661
31.465479,20.406576,14.770492,47.161324,11.582500,56.277756
8.996019,6.131719,3.347876,17.530886,5.406919,25.382750
