"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
11.578543,8.465224,3.255931,2.388660,2.702543,147.240021
10.897498,7.791574,1.689718,4.349055,1.686791,71.727013
16.717331,11.477251,4.404087,34.870621,10.737142,53.855927
18.616114,12.853801,9.767848,11.653603,5.632324,259.696106
12.411901,8.721645,5.445951,5.308897,3.090715,118.962158
17.430435,12.252692,5.862476,13.866445,10.037557,628.147278
11.324944,7.646744,4.398367,2.938613,2.254276,136.953918
29.029585,20.244535,8.460020,9.219423,7.359484,469.799591
36.115875,24.396608,8.555438,12.395374,9.366244,656.126709
25.177876,17.450247,6.639259,7.581300,4.429513,343.150543
27.196127,18.071119,10.495080,12.529213,7.531925,420.439270
15.233895,10.764656,5.326466,5.748109,2.735681,207.031982
15.884880,10.802948,5.954669,9.292108,4.983125,321.306580
7.319585,5.466382,1.950801,2.778646,2.247719,141.420456
50.859734,32.820621,17.581694,22.251196,11.598882,657.230164
17.814041,12.382032,5.931214,26.978451,6.520117,23.643385
41.538662,25.888260,15.205433,18.879292,12.336434,819.727234
20.082769,13.926943,6.607814,6.840197,3.708973,243.080048
11.568098,8.566867,5.914201,5.317104,5.073895,291.576965
12.706820,8.639974,5.028443,3.576854,3.929644,250.223907
8.890208,6.133430,3.033914,5.062554,1.928938,152.289612
30.975765,17.986897,33.746647,39.406712,29.646879,2082.692627
18.600042,13.425238,5.493217,5.710731,5.483221,336.542145
35.537407,24.070829,13.884172,13.132142,11.246416,766.827759
56.380379,31.183430,41.966396,60.077221,33.406609,1847.746582
30.794338,20.615246,23.426834,44.012955,13.644450,74.593826
15.512523,11.187959,3.977879,4.090921,3.502750,256.235657
42.936115,23.433184,44.501358,53.647804,42.177708,3181.364746
16.138414,11.453975,4.914100,7.939470,3.669618,285.472717
17.431673,12.362744,6.402338,6.036769,5.259211,302.792755
11.177479,7.814253,5.709910,5.539366,3.497793,144.170090
17.647770,12.446369,5.778384,4.974589,4.481535,273.456055
7.369757,5.017696,3.233666,2.733530,1.736842,127.074181
49.681877,30.489559,23.889677,30.291458,25.189886,1662.129028
10.468935,7.611197,4.326018,4.517836,2.355410,187.072052
20.045668,13.785819,4.700333,9.033738,4.382592,230.751389
14.870818,10.913707,4.369752,5.185287,3.268539,216.072083
23.540451,16.348640,8.492788,9.700379,8.409154,548.479187
23.863054,15.055799,15.104602,22.718023,14.086236,865.894775
7.465468,5.563174,3.152351,3.436088,1.316959,149.741791
22.949179,16.147581,7.573640,8.357000,6.698712,418.700897
15.782334,10.852751,6.841578,8.367982,5.714774,317.956238
26.650227,18.087824,7.024845,7.436127,6.523895,401.334167
10.483746,7.438372,4.637290,5.234460,2.814042,153.304199
19.012014,12.666787,6.239713,5.774559,5.801803,341.204437
19.226416,13.166266,3.576345,9.852520,4.390432,324.553284
13.918882,10.027533,9.295330,13.627930,10.644222,530.356934
40.997704,27.210970,19.497454,18.662857,12.004333,764.102417
10.369458,7.331003,5.020918,7.794728,4.710017,288.210815
8.992612,6.048056,2.913884,1.622226,1.080625,97.409500
19.708788,13.501713,7.304845,9.695589,6.318415,406.295502
6.569383,4.245795,1.845878,9.667298,3.280239,12.298031
5.714418,4.193890,3.063433,0.980604,1.046542,105.421852
22.295263,14.673208,6.693581,5.887597,5.665905,375.635406
17.659466,12.470353,9.690772,7.467571,5.560505,342.689484
15.171283,10.594047,6.059349,6.563817,4.934447,274.222748
41.144722,27.087908,13.012033,9.586814,9.976264,698.116455
11.188486,7.535325,4.194707,4.417886,3.053237,194.252243
11.176659,8.051455,4.890790,5.392345,3.331863,238.829269
5.269853,3.738752,2.693505,3.145604,1.118265,92.469978
14.148144,9.834579,4.832077,4.194510,3.961313,220.902451
10.942255,7.988413,3.915431,3.178630,3.348063,158.725342
47.039650,29.366844,39.294605,43.485569,37.440868,2557.282227
13.213790,9.394220,3.856052,4.789305,2.350690,139.330124
15.257282,11.030721,5.303184,6.192618,4.600368,262.023834
7.578979,5.771423,2.557802,1.933381,2.272547,128.639053
17.065521,12.002589,7.707917,6.700255,4.845209,343.927795
40.189301,24.815111,35.472645,33.055855,28.376368,2030.705444
12.917307,8.925587,4.300465,4.853256,3.539182,314.781860
25.619617,17.374043,8.525892,7.020070,2.980597,180.152939
5.256769,3.689701,2.847671,2.079984,1.761296,105.002663
48.931919,26.678843,28.903654,39.196770,33.624954,2420.953369
13.670545,9.464573,4.853200,7.902476,4.268730,201.997849
24.928907,17.155680,8.945404,7.619849,6.532444,383.673950
58.421478,35.626015,26.573269,31.322483,24.487782,1620.056274
27.702408,18.904243,9.130484,9.091763,4.612351,318.002625
60.461117,37.007042,22.165554,23.090792,15.817040,1102.598022
15.093919,10.469266,6.836428,6.043327,3.907635,225.635300
14.666949,10.709044,6.492671,5.521852,5.981167,276.456116
13.700504,9.151819,3.883845,4.481527,2.705777,164.260986
10.736200,7.726935,2.634799,3.564083,3.492508,267.193481
18.139162,12.700288,5.660316,7.023823,3.386348,224.099716
17.056028,11.346101,14.790312,19.260874,11.227450,800.270813
31.247803,19.828186,17.395298,16.517042,15.202592,1123.427002
36.131065,24.009691,16.193886,16.388517,13.147981,901.036926
32.792744,22.115765,9.077552,12.144842,12.979210,939.187134
33.695385,23.081987,13.314609,19.389404,12.736010,741.650085
31.092958,20.655279,13.393522,16.451878,12.554948,771.606506
14.921990,10.449848,4.625728,4.736489,3.528935,254.410446
14.063956,9.700686,6.564407,6.856484,2.709391,247.608917
15.651718,10.843453,11.633600,9.698977,8.230289,531.419983
10.273315,7.346858,3.277485,3.634553,2.558565,171.349121
22.578129,16.233633,6.843071,6.858415,4.822935,290.893707
10.555275,7.715446,3.573732,3.815573,2.714468,162.186157
29.292904,20.359398,7.284177,9.378884,5.663503,383.266998
82.531624,40.153694,51.427986,62.570587,51.690289,3759.850098
25.663479,17.520050,7.308329,10.579272,8.861163,518.022583
9.311025,6.650233,3.556570,3.685198,2.610599,214.967484
17.760519,12.115746,8.240688,8.424960,8.644897,417.478271
20.806957,14.181168,5.648840,7.315122,5.275026,324.123077
7.644225,5.206087,4.330203,2.778420,2.676596,193.788406
11.590286,8.130448,3.788455,3.698789,1.579388,107.080391
30.507549,20.682940,13.322705,11.123898,6.436393,432.494720
