"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
39.473923,13.927871,3846.298340,1318.933228,8.285908,4.899964
82.105064,29.748970,5444.491211,1110.738281,15.409286,5.706051
41.066811,14.437456,3997.596680,1361.645508,6.858812,7.094351
82.199272,29.607950,5797.065430,1025.702881,15.233424,4.705733
9.391451,6.264980,3.923215,4.175782,1.914705,92.997009
18.048824,12.939338,4.840170,6.588768,15.835391,1256.694092
32.132092,21.608538,12.569669,29.582918,42.006260,3126.560059
9.180401,6.557402,5.743402,10.338242,20.034653,1587.015869
25.910683,17.911623,5.517115,47.464767,20.272036,1457.625610
24.648849,16.565237,6.421216,14.501527,26.162458,2163.291748
43.667408,29.881422,10.427164,23.724539,25.847649,2162.531494
44.952267,27.579842,20.711103,44.885281,65.668282,3988.571289
13.100347,9.048187,4.224611,5.499566,8.260940,556.780151
41.255867,27.072826,10.558190,17.870174,21.228300,1536.968628
31.024847,19.011417,15.294016,38.482990,47.347431,3090.329834
83.302406,44.166092,22.095091,51.285030,49.120979,3782.048584
111.230644,67.560020,53.148724,124.237602,167.326645,5111.025879
92.291191,44.734436,84.596199,158.016418,192.174347,6211.886719
34.015942,22.452364,18.943245,33.073074,45.183331,3149.591553
24.431173,16.452473,8.356300,10.007375,8.376319,617.639343
48.449169,32.576912,11.190916,18.070150,35.250404,2859.882080
42.314072,28.484943,11.441784,20.976603,13.393639,1041.966919
32.397602,19.528751,15.537555,26.421368,52.816715,3788.180664
31.390987,21.690458,9.680564,16.699492,40.206993,2968.746826
17.110950,12.293048,3.211698,6.588440,12.888994,1049.282593
12.114014,8.927013,3.452544,7.074098,7.989595,709.320923
34.907742,23.272921,7.648888,28.722784,34.339939,2525.959229
12.295524,8.601641,7.097815,16.823332,26.625069,2241.425537
6.387185,4.404415,1.629137,3.814500,1.081682,1.643332
52.919285,29.666212,45.721809,79.174561,82.904442,4318.797852
11.459864,8.043135,4.323005,6.951292,6.049984,378.893036
36.163666,24.805986,11.862179,22.646904,31.951546,2654.646973
51.300331,32.880245,11.712373,29.370684,29.567879,2014.083618
33.546593,22.219296,8.941130,16.887093,20.657423,1811.417847
26.311108,18.170279,7.157020,17.607647,30.915644,2400.047119
34.490211,22.223928,15.724083,69.038826,32.020607,2450.278320
20.729420,14.346934,11.254234,28.387348,23.021212,1546.993286
33.391766,21.475594,10.308633,22.321930,16.712709,1218.147095
36.330902,23.875380,8.842083,19.901320,17.696480,1103.169922
80.131424,41.161930,46.939941,90.839699,126.903358,5667.689941
65.203316,36.121334,21.464138,28.381334,34.179451,2984.049805
34.098061,23.273405,7.434945,15.988810,25.785578,2311.546387
73.090096,40.487724,18.892176,27.002926,51.358814,4145.233887
29.199814,19.767475,5.731086,11.243190,20.561420,1780.747925
69.941452,38.850868,33.169979,112.358917,81.956467,4600.754395
73.705330,37.626106,30.284990,103.125450,88.047974,4672.007324
25.793362,17.992619,6.628756,11.769192,11.798785,1053.709839
31.561031,21.443148,8.044764,15.388618,27.331779,2384.093262
157.374237,64.643021,140.944763,311.569824,397.961914,7215.919434
65.912910,38.366173,22.752344,41.867493,97.913765,4752.806152
50.907001,31.537603,11.529902,28.804852,50.184647,3306.746582
32.248573,19.809761,24.311594,51.803474,66.795486,4133.761230
7.390858,5.338299,5.872988,7.153761,2.765875,13.081856
40.721798,23.813221,29.091383,59.544376,76.755508,4194.689453
41.079575,27.271379,9.991030,24.299879,34.099293,2741.366699
45.468723,27.928030,14.409374,18.463320,17.595318,1383.900513
28.004869,19.305925,6.846025,12.346327,23.216204,1825.212769
67.390305,35.413132,25.148411,56.358906,74.761230,4286.994629
79.724792,33.121647,63.855701,186.655106,278.518097,6494.342773
44.121063,28.839460,10.535953,21.793756,36.484341,2966.995117
42.590420,27.580551,12.624481,20.494219,28.264322,2466.809326
52.256298,32.768684,16.032976,36.950481,69.293968,4236.051270
20.413218,13.207785,14.394655,24.397753,33.712666,2801.881592
68.396881,42.017513,15.844917,28.116476,53.401665,3812.973389
49.894161,31.172321,11.587151,20.740824,16.185314,1170.757690
51.670406,30.780579,27.414858,54.768028,71.006561,4013.228027
28.078548,19.067408,6.113691,12.544559,23.972345,2081.212402
35.109936,23.640184,8.735406,18.429010,20.973581,1904.390015
62.166733,38.436085,19.828083,42.710758,74.621643,4116.349121
27.031542,18.518452,7.296265,12.978758,17.314331,1250.475464
14.218034,10.113651,3.812785,6.086996,8.424160,698.955505
28.546558,19.156260,9.880178,22.628975,25.875446,2158.731689
10.775202,7.145236,4.846051,25.646282,21.522829,1333.408447
51.172867,30.034098,14.514471,36.970051,56.879242,3824.767578
18.562260,13.088787,4.447130,8.023908,7.533940,675.434570
46.053879,29.524361,25.880579,34.313419,28.157566,1929.393188
10.839942,7.496544,4.032128,5.654393,3.574386,201.263489
52.175758,30.458279,15.047049,27.454567,35.599133,2733.209717
86.221237,44.461487,36.200317,59.839916,51.602478,4190.248535
18.754843,12.295130,3.969633,8.077472,9.400811,652.537354
41.333900,27.532843,7.953650,18.591270,26.680273,2389.501221
19.747686,13.951509,4.148303,9.947762,13.684475,1173.275391
78.244278,40.307281,23.794470,43.117073,65.667046,4371.375977
54.303310,32.737122,13.570586,27.190489,32.989292,2818.435791
65.391899,38.261398,15.900778,21.939711,32.478863,3031.794678
16.557375,11.953412,1.563958,13.009871,4.729269,27.096910
35.647060,24.455278,7.359496,15.100007,29.554020,2460.254150
9.889039,7.044440,3.088246,4.513057,1.591964,17.165926
8.144743,5.719624,3.428271,4.715042,9.237408,875.011108
74.154831,38.158329,26.281334,137.683090,86.588547,4808.517578
10.890487,7.272896,6.439855,17.991812,29.055311,2346.617676
32.799801,21.629084,10.837546,25.088686,23.433630,1583.207764
25.852369,16.050528,9.506072,16.323685,17.029844,1344.419556
33.131802,21.051628,17.950361,25.823753,19.907801,1351.753906
22.680084,14.561058,11.823789,21.231918,31.356991,2442.778076
26.905296,17.784307,9.792242,20.877649,29.918024,2151.168945
50.291767,29.605011,16.759300,47.686131,61.427719,4046.423340
55.229019,33.231041,30.687006,179.954391,110.832077,4531.956055
87.488243,44.723778,29.265882,47.297619,39.356979,2968.747070
35.877037,24.831802,10.152707,35.324883,40.919914,2865.083252
30.449518,20.647982,6.782308,14.173918,11.845181,775.187561
56.364441,33.978836,16.735283,38.664524,40.895287,3167.025391
35.972958,24.604448,9.276374,15.195251,21.213366,1710.570557
95.414322,48.951534,47.240730,78.772423,120.704224,5600.141113
44.508675,16.301552,18.499901,25.965754,22.680876,1648.016602
41.417274,16.262043,18.265696,26.704250,21.620712,1298.147583
26.244766,17.678087,4.953316,18.408737,18.750710,1345.454956
89.704834,36.080715,19.117184,39.742813,59.860733,4884.569336
87.695221,36.068390,19.477205,40.831440,59.370171,4408.306641
23.713074,15.732423,12.274111,36.296356,39.804615,2814.700684
50.006874,32.948376,10.556918,17.973614,35.236622,3024.712646
34.484592,23.421619,10.568833,21.652115,32.511665,2668.823975
78.866821,40.965591,33.351841,60.374290,84.911201,4866.715332
46.854805,30.257431,11.900028,19.949341,32.704464,2813.989258
66.319939,36.721718,36.735973,74.141296,92.463638,4541.244629
11.698180,8.236784,5.125306,33.859680,59.775646,3460.759521
22.626144,15.465130,16.605806,34.670296,53.472473,3384.865723
18.869225,12.375421,4.276354,7.922018,8.309463,624.568054
63.620918,28.636295,77.770706,172.588760,239.946609,5918.833984
34.033421,22.694725,8.259600,18.799055,29.135317,2215.170654
33.263832,22.821991,8.517309,30.636862,40.438530,2772.938232
55.159416,36.171577,16.973372,41.570511,59.020927,2813.450439
60.555454,35.519592,13.443933,33.610882,46.544647,3540.396240
57.372303,36.589767,14.282418,15.730355,32.653675,2782.234619
71.790787,39.923092,18.231361,31.272438,43.723186,3636.895752
32.572880,21.989435,7.917089,9.614252,27.979208,2341.535645
16.432686,11.293718,4.027892,10.722938,16.471161,1215.202881
