"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
41.375557,26.684217,19.591385,19.471184,7.245729,373.452087
10.007448,6.982858,4.299101,6.808309,3.416848,117.409096
45.384804,26.034136,19.695787,25.880758,12.556561,678.245544
20.510599,14.318645,7.551660,12.750974,5.260577,273.583008
27.757219,18.349941,8.784532,16.121752,5.628608,251.147064
35.971355,23.101690,11.124137,18.952955,8.471927,354.548096
10.352680,6.975358,3.483296,3.306787,1.078267,60.624100
72.870796,39.150173,40.666241,47.523735,17.235821,882.064270
27.819464,19.559572,13.230881,11.458857,4.773015,181.065323
15.573201,10.538014,4.322985,4.128335,1.988132,113.078018
10.438883,7.176343,3.574853,4.429401,1.548216,64.537277
23.748350,15.800057,7.610570,8.761411,3.550666,156.277679
8.281924,5.599701,3.759927,4.756071,1.969824,112.026909
18.014481,12.546460,5.503852,8.190435,3.348664,113.038940
12.276608,8.040347,4.295287,6.544854,2.283741,120.883934
12.788298,8.750441,4.572905,3.972984,1.458629,102.482498
12.320720,8.767900,4.256747,3.444611,1.226897,71.549194
8.933913,6.495913,3.555193,3.948428,1.457039,69.842026
12.901385,8.917819,3.869588,4.183988,2.021274,63.852867
10.615740,7.159871,6.129388,5.174654,2.557037,92.574280
16.310865,11.382454,4.849759,3.918715,3.423078,144.790329
23.858940,16.750935,7.731456,8.580247,3.417217,139.084610
24.615921,17.102604,5.321641,8.681137,2.645070,147.058060
4.896813,3.501981,4.940780,9.432537,1.681060,85.464241
48.444992,30.328938,16.115633,16.250307,5.968767,267.929565
25.543400,16.480114,19.909529,30.122458,11.628434,574.733887
24.001955,16.726900,8.174339,7.232904,3.817305,192.370102
11.230324,7.930254,4.088088,5.102554,1.167499,67.859497
13.396774,9.302485,4.370777,5.194257,2.139733,85.826324
12.266523,8.288648,6.452381,6.240516,2.085057,85.520515
30.597725,21.531904,13.016183,19.140327,11.969352,873.632080
6.423847,4.450763,2.547039,1.550220,0.828399,39.916286
58.921158,32.941280,21.849649,28.477062,10.315636,480.970856
20.878576,14.467831,9.663178,8.436980,3.549879,195.938049
5.142934,3.491323,2.352895,2.523266,0.832674,49.671940
5.765551,4.096488,2.770104,1.909765,0.758051,44.648754
28.253736,18.604136,37.869942,48.336620,19.525352,996.745911
30.950382,19.751350,9.107602,11.551969,4.080437,177.046036
32.191635,22.288465,12.888413,14.657533,6.436812,317.981537
14.171225,10.201845,5.182666,4.862312,2.464373,110.472351
9.387537,6.748168,3.570203,5.232889,0.700705,57.283470
15.839526,11.554655,4.482410,5.865833,1.407505,103.329117
11.444313,8.383234,3.736307,2.846472,1.262235,79.028885
55.136368,31.852436,25.011925,25.101517,9.355372,425.044647
15.559052,10.500039,4.910000,6.961292,1.741173,78.464584
12.116739,8.390265,8.180298,7.464756,2.831951,152.802261
10.337236,7.525091,3.404559,5.020540,1.736575,50.477100
29.144669,20.161409,6.850882,7.274509,2.828599,131.427078
15.445246,10.565866,4.642021,6.286290,3.319538,147.683029
40.755596,26.677938,11.256762,15.183868,7.382464,427.417816
22.075106,14.081547,13.438682,23.550341,10.958113,690.510925
14.047232,9.586371,4.083514,7.665580,2.872746,107.483322
24.966661,17.224895,6.166097,6.560395,3.287752,144.680557
28.665018,18.945667,8.209167,10.198441,3.306736,125.828072
9.345186,6.519426,2.741949,3.742944,1.113830,57.551811
6.456658,4.978812,2.241785,3.968732,1.052543,66.816124
28.090658,18.481951,19.682047,10.852186,3.978257,206.344284
12.893520,9.259568,3.737171,7.034418,2.542084,88.347023
16.663511,11.728823,4.819299,5.310132,2.198748,114.358124
20.207678,12.909285,22.138771,33.510960,15.094550,767.781921
15.152578,10.002426,5.861531,6.164058,2.070404,137.791809
27.041792,18.639048,9.620329,8.022075,3.533937,171.568512
95.009407,49.203270,73.252327,82.236694,28.908543,1500.592896
10.475725,7.776788,3.934691,5.740122,2.207711,77.880928
4.712514,3.431844,2.314904,4.512604,1.551321,48.551289
52.510414,33.267761,15.104288,18.955137,10.079249,555.873718
36.510788,25.430323,13.784562,14.213849,5.667344,249.135712
8.490657,6.077319,5.010780,3.305312,1.088653,72.127548
9.478640,6.972462,3.163775,5.611049,1.855594,56.306377
41.722725,25.415424,24.768408,24.863962,11.827478,605.643250
12.023293,8.465702,4.120193,4.081703,0.906992,41.326565
33.515110,23.276133,12.804118,13.117236,6.851969,325.318298
52.178608,32.917332,16.162910,16.613525,8.711830,460.094421
8.740007,6.001505,3.118973,2.365338,1.778363,50.820316
5.937133,4.025066,8.221799,10.515332,4.016635,146.083664
40.048721,25.831734,11.146500,26.249352,8.501404,255.992233
37.655823,23.518272,14.559023,16.045456,6.233813,289.707275
20.062471,13.551541,6.164422,4.856594,2.720902,126.457306
22.194839,15.134093,7.100335,7.687997,3.307443,91.990616
13.407394,9.456995,4.184103,3.287645,2.062368,76.864517
15.072065,10.305670,5.104776,7.009899,1.833941,95.252991
14.343045,10.167329,4.251964,5.465342,2.871620,106.570229
8.370000,5.822419,3.223238,3.761854,0.793492,32.329350
47.161465,29.807434,44.940376,69.476799,32.628269,1683.361450
10.137319,6.980883,3.429356,4.717782,2.159976,77.937386
64.948921,39.693890,14.903983,22.217777,9.951611,559.450378
9.867785,6.907672,3.663466,7.207517,2.870396,98.101158
63.706673,34.815434,36.613457,66.369736,25.205095,970.663147
5.628297,3.949604,2.974310,2.781239,1.008915,54.774750
66.995117,31.856447,33.151520,46.583447,18.794630,1082.518555
30.707500,20.731148,6.550665,10.535410,4.784474,308.750244
22.566011,16.059626,6.137083,9.968563,5.075011,229.591980
36.021812,24.336050,10.975190,20.616655,6.074008,52.721371
19.212708,13.696891,10.229447,11.758106,3.508006,217.648071
7.645747,5.222679,1.665067,9.060754,3.375824,9.106462
68.247940,38.047981,21.688169,28.144604,12.796182,649.379456
65.755043,39.279083,34.538849,37.591747,14.426655,705.755249
15.201797,11.014246,5.794205,4.543077,1.892125,69.535484
7.537457,5.646020,2.528641,17.861633,6.056961,31.639849
17.961657,12.044937,5.920502,6.400050,1.886403,67.724380
34.603085,21.227816,21.945326,25.497927,10.233084,525.247986
11.186368,7.626908,4.267437,3.802449,1.686623,71.932358
46.878746,29.899248,9.748207,18.848387,8.727647,291.530853
16.335722,11.155511,10.530643,12.290348,4.440120,237.311661
71.413918,41.829506,45.952042,59.401600,24.239355,1344.702637
28.802872,19.145954,9.579668,9.353639,3.705331,165.099792
23.009846,15.557116,12.059418,10.827229,2.679770,131.140930
23.290670,16.702053,6.492059,5.903046,3.691082,219.338776
12.008809,8.144808,3.395542,2.691551,1.684930,78.381996
15.012749,10.147706,6.637128,3.553959,1.528896,85.146393
39.415634,23.411633,16.458414,24.271877,8.299210,367.677856
13.180588,9.505604,4.141887,3.507966,1.227666,53.525063
19.848301,13.270889,11.808345,13.687778,5.149870,287.809387
16.610983,11.443345,6.388154,7.181236,2.063875,88.774399
14.521896,10.125648,10.298992,16.295204,5.203003,276.872498
12.069927,8.572477,3.152183,4.941995,1.836618,58.363216
6.412224,4.631390,5.317542,11.457509,2.821844,123.894524
