"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.664915,14.324599,9.604239,14.391822,4.611325,209.043091
10.607964,7.806832,4.863872,4.216798,2.437435,137.722961
25.739365,17.214556,6.405806,12.229753,2.104730,55.014061
40.792297,25.396524,17.831915,26.166063,11.237136,560.404236
10.578184,7.607754,2.257499,6.420566,2.232835,93.436676
17.405415,12.390021,9.293994,11.675279,3.960911,133.022202
14.080881,9.889786,7.715501,9.151090,2.257851,101.612869
10.381432,7.381376,3.584405,5.884417,1.997738,74.256424
4.320717,3.202150,1.134781,2.243802,0.676641,27.472746
16.913637,12.079152,4.909203,4.257017,1.945238,77.279434
33.801796,21.275465,48.170284,48.953342,14.941858,540.045471
9.571891,6.980476,3.113852,1.776843,0.580259,31.645689
11.473950,8.239471,6.926931,9.109808,4.371886,116.244812
18.375507,12.805860,8.331279,4.001124,1.604309,52.780064
25.713144,16.875187,8.809876,7.645799,2.780596,62.826946
21.184793,14.045240,6.299387,5.795978,1.219137,36.954811
11.041050,7.852373,8.807083,5.989653,2.603078,56.940224
51.892223,31.123598,11.193893,12.019643,2.897562,53.367168
25.415701,16.928682,6.689867,6.407326,2.482384,91.587395
4.907267,3.329915,2.572763,5.063844,0.973535,39.114090
10.352178,7.399909,4.338605,5.430728,0.702885,8.366046
11.351773,7.671956,15.452371,18.342199,9.579650,421.080292
15.290058,10.800726,5.285896,7.848279,1.043695,9.972504
32.499081,21.354765,13.169272,8.989300,3.632736,105.652992
48.291290,31.229206,13.767188,26.048004,4.896417,75.786011
19.327349,13.260509,6.287120,7.442271,2.727936,111.811493
14.021956,10.043550,3.756260,4.770076,1.089964,13.595187
10.822831,7.564043,30.346346,22.235119,9.256586,332.994293
14.258228,9.561885,6.129429,6.345244,2.229096,30.936338
9.489139,6.778028,3.535591,1.443540,0.687429,34.090645
9.536784,6.822432,3.136272,2.390233,0.927730,30.329504
3.978891,2.985919,2.604231,2.318737,0.989251,27.627167
11.787836,8.008419,4.191631,6.193644,2.037100,108.343811
20.220869,13.033504,7.339755,8.243958,4.815250,225.130981
8.295640,5.993765,2.738941,1.072020,0.489522,14.888506
10.648314,7.483940,3.020319,4.233188,0.529283,7.977985
43.034283,27.408457,15.171884,34.399654,11.010900,143.373947
6.983377,4.751962,3.610024,4.621018,2.007228,78.740211
