"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.906538,7.671767,3.270229,10.520641,3.596168,25.181662
6.954827,4.694039,3.305391,8.009339,3.474040,19.811018
26.379200,17.473955,6.570232,16.579916,4.331642,22.993715
41.464302,27.166544,10.568535,23.506636,5.768155,49.833763
14.717452,10.171230,16.047911,43.320103,13.049265,127.912697
29.551558,19.897345,17.647594,32.082085,8.504097,47.495197
19.521267,13.673965,6.843324,12.836397,3.537521,17.222553
17.080038,11.196074,10.915699,37.432930,8.288853,87.871689
12.885214,9.000489,3.883570,9.378499,2.867808,27.029509
60.922852,33.838188,36.529205,74.949852,20.042919,264.804718
7.057408,5.009595,3.167360,8.028921,2.459713,17.493317
13.468094,9.391365,5.694639,15.038229,4.719527,42.179729
8.314095,6.011688,6.798250,13.763804,5.015296,41.698673
6.779836,4.688184,2.665701,6.092205,2.097590,19.866091
30.395735,19.591251,16.058958,63.579536,15.016101,99.973129
8.552518,5.683424,2.639102,10.785976,2.245018,15.672256
25.835894,16.839798,18.890739,51.493004,13.387338,98.779716
8.865997,6.694277,3.222765,6.811600,2.729561,17.918875
18.438282,12.717257,4.691723,19.661562,5.245471,43.338833
21.400000,14.407796,4.620951,14.357538,3.057467,35.146400
44.695946,27.999275,29.388683,91.812027,24.491165,226.825027
93.929810,42.980793,49.377926,134.313202,34.862072,586.947693
135.293076,61.429390,162.263535,421.499847,110.123062,507.703430
43.680111,29.075712,11.903901,30.536371,9.873808,66.455055
33.067505,21.295734,7.472498,22.652231,6.955328,86.491631
30.436886,19.638683,17.922110,48.084309,13.601557,164.424530
11.069422,7.998872,4.417542,14.160281,5.089827,75.101562
9.493118,6.892656,4.206046,14.868080,3.498071,8.319096
12.020593,7.913936,4.034773,10.144935,2.254117,12.756445
99.066040,49.502636,58.539955,144.069565,36.178616,326.570343
36.795902,24.461592,10.456842,30.403570,8.351961,64.251480
8.218246,5.732502,2.661423,8.974452,2.415476,19.141310
53.201962,30.255733,48.708420,94.937691,26.408022,330.927765
12.414165,8.242245,4.365773,8.036637,3.042300,23.843876
36.312550,23.846548,12.540213,29.389189,8.246181,83.390175
19.055532,12.793998,5.343742,12.558193,3.853566,26.308008
56.738907,35.281994,18.331739,54.981613,12.876788,134.848770
25.013144,16.745369,8.964622,19.884123,6.747012,60.649677
6.980704,4.939223,4.180938,17.635088,4.377902,40.396790
17.141632,12.139711,6.340803,12.400927,3.761915,38.331844
53.042873,30.750242,21.696480,65.849213,18.537447,300.996277
12.890565,9.097990,3.385040,8.360833,2.033042,16.622530
10.293325,7.345636,3.289495,5.706070,2.591948,28.185230
24.345648,15.830707,7.879359,22.299110,5.852365,19.575102
35.147297,22.920692,13.342239,29.341221,6.634661,26.269770
10.136468,6.986456,5.370743,23.414164,6.399300,39.308395
15.949197,11.675482,5.391979,18.067457,6.390571,44.983097
10.707412,7.801789,4.459543,9.104651,3.007324,46.164593
63.936874,34.552681,16.430714,39.200260,9.449801,166.949554
18.672350,12.792440,5.594758,13.918497,4.068905,48.538967
27.022209,18.018314,5.760662,15.164569,3.952098,76.637466
106.926971,53.806343,68.499535,153.751709,38.692783,614.379211
22.857708,15.302287,7.842536,15.085571,4.610316,70.406075
10.742486,7.684682,2.021712,9.483541,2.766987,18.850521
4.676892,3.131975,2.277265,7.714211,1.957411,5.796665
40.793282,24.601614,18.909666,39.924603,10.242576,96.559517
24.887909,16.803484,8.422379,17.540071,4.879031,88.675407
23.402544,16.064989,7.654820,19.548733,5.573258,52.677113
21.796492,14.750063,9.112270,25.355913,7.617686,62.663742
7.039229,4.730573,2.400396,6.430567,1.561503,14.306437
30.036785,20.103745,7.963336,25.158937,7.825345,26.696432
69.692696,41.954475,24.833391,63.794956,18.489635,138.365005
18.365030,13.345114,4.314572,9.792356,3.100672,32.571819
4.098822,3.199152,3.605838,15.123178,2.650948,28.770906
55.634804,33.461140,13.545975,43.185093,10.648417,106.082817
13.584135,9.525084,3.898239,10.315578,3.108980,24.288750
15.346189,10.980250,4.047631,7.958478,3.629880,31.927797
8.115334,5.360156,4.142177,19.740852,4.988430,25.144360
40.369446,26.717335,10.398559,16.377436,4.661574,103.175186
8.962458,6.204608,2.442097,5.561676,1.936844,19.590096
12.391466,9.030277,3.494655,11.523807,2.897987,40.583069
60.248775,35.528942,22.801989,46.177765,13.228873,121.135872
37.812702,24.814915,8.935276,20.080790,5.133758,48.909267
29.146814,19.566568,7.973141,24.512924,7.047172,90.079025
7.631445,5.398357,3.321163,10.450992,1.954150,17.576910
9.064978,6.758246,9.030397,24.519295,6.678411,20.725964
25.977938,17.063805,10.133796,17.821983,4.750396,20.783543
9.664257,6.944486,3.004566,9.364035,3.525164,28.323051
20.754318,13.501403,32.572201,57.773853,15.464309,210.978485
15.795158,10.555628,6.393142,25.699743,8.757401,146.853180
21.684885,15.188482,11.142102,29.489912,5.991082,75.260826
13.231377,8.870332,3.272551,15.159380,3.307709,51.276329
69.958588,40.368317,30.664654,75.891640,19.942076,295.376617
51.293587,32.248840,16.973509,52.372826,12.071333,41.265846
26.887413,18.180834,14.760513,26.750984,7.578914,68.189735
36.202812,23.885784,35.589600,65.512093,16.296343,99.355377
14.779144,10.478229,6.008337,20.225836,5.261735,62.113125
58.144756,31.366947,18.655182,42.838818,9.648882,139.531708
52.640087,32.483540,13.590568,27.863487,7.611011,117.768120
58.509258,35.304935,17.702539,41.872261,10.616179,142.597321
39.143318,22.653755,20.641335,50.144417,13.163095,113.400391
15.249016,10.490168,3.606339,14.190044,3.809639,36.672783
6.164037,4.423329,2.925422,7.866423,2.156360,22.527590
9.404286,5.945427,11.559159,23.039221,7.118248,38.758770
30.007803,20.298363,7.984779,21.700178,4.691239,46.681580
8.196376,5.638311,3.665553,9.428535,3.284444,12.493346
29.044954,17.855743,19.147064,54.206013,14.158567,99.952965
6.465724,4.391932,2.469922,5.769129,1.405993,15.203125
47.721954,28.137476,17.798895,52.634342,12.809186,93.721718
26.465385,18.011124,11.611101,30.163309,8.366966,57.415531
14.736028,10.119418,8.104872,11.653897,2.958981,23.753143
25.602316,17.072098,12.696102,32.877411,8.306593,76.357590
63.407227,35.514484,23.567215,77.402229,23.172190,161.011658
16.693171,11.857415,5.247536,14.134789,4.139862,29.165104
16.674063,11.342445,5.174175,9.680344,2.685136,44.461266
74.334824,36.693562,59.082886,138.829086,38.528084,319.121338
5.730725,4.082506,2.061548,6.948899,1.428696,14.011807
