"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
26.841648,17.498426,5.697313,15.535661,21.583040,1866.276611
146.689087,72.565132,73.751587,249.205704,255.504700,6010.361328
74.881554,33.571976,113.529922,192.688263,293.179626,6794.235840
74.378273,43.218792,19.140181,55.412601,76.879204,4407.210449
36.478992,24.300869,10.325139,23.170662,27.622492,2244.551514
33.805210,21.270636,14.527059,29.365467,33.657833,2776.026855
31.796091,21.425432,6.178467,14.484240,17.556700,1561.805786
66.976448,40.874416,18.114737,36.421349,45.477924,3832.382812
8.996160,6.528566,5.506392,29.753134,45.726032,3081.434082
24.362890,16.687307,5.634826,17.933044,4.786963,4.270320
31.807228,22.038404,6.034107,28.321342,31.802763,2215.576904
36.101810,22.910652,31.445320,86.020599,92.784416,4110.115234
26.626244,18.783295,6.658844,12.884478,31.856197,2314.475098
43.368393,28.369823,8.749496,20.719048,23.744747,1988.395508
35.514416,23.924747,8.077105,13.829679,21.139215,1821.301025
30.957468,19.385817,18.195314,38.770718,52.395218,3924.242188
87.027710,42.886551,40.101807,114.865273,132.121414,5322.947266
26.584782,18.092592,6.264662,11.379808,20.498388,1857.115723
37.904995,23.032198,10.636111,20.129822,40.032478,3319.612305
87.277985,47.488850,36.298149,81.919113,96.959518,4651.781738
44.088284,28.548592,5.857767,23.260321,16.369907,1185.319458
56.133076,33.306721,8.846700,39.871399,42.765285,2981.846680
19.843967,13.608343,9.736145,38.245804,54.289410,3372.655762
52.616356,33.165066,24.886477,39.311764,75.955544,4220.196289
57.899544,32.205769,16.301508,38.222740,57.362892,4030.660156
85.927383,31.052258,17.600405,42.193535,54.701126,4580.769531
78.795425,30.993868,17.825483,39.793003,54.932621,4092.972656
33.835445,22.334551,7.726926,12.433848,14.993654,1434.336304
30.579384,20.548214,8.002465,49.110531,46.820950,3298.341553
55.550114,29.513624,30.051212,64.472656,92.619926,4585.826660
19.924274,13.109053,7.976142,30.521528,63.177601,3620.880127
112.400543,45.710529,104.077065,254.781937,361.173492,6926.936035
43.944016,28.119503,9.882232,22.857950,44.055317,3349.068848
18.791069,13.094540,5.252249,13.426979,19.327709,1487.907959
35.111519,23.541372,10.481302,19.545023,28.856733,2190.549316
58.703857,36.628227,16.610559,35.588676,57.449577,3801.799561
37.000534,25.577402,11.261383,15.765800,27.489334,2321.358154
42.971416,26.419441,17.214561,54.249340,95.305191,4510.773438
6.880618,4.817153,4.288173,3.562293,6.172299,454.420105
35.443062,24.224672,10.508667,27.953566,45.118851,3089.637207
57.646828,35.877193,20.591959,23.845299,30.969549,2317.495361
58.115105,35.037930,13.368611,45.825138,61.995239,4011.677246
48.883598,28.677423,23.553322,37.865826,63.483513,4030.793213
163.543732,73.112198,58.976799,123.954247,174.400650,6142.103027
24.738361,16.695107,4.302335,7.265124,12.718455,1167.463745
29.099178,19.269781,5.420785,15.192820,21.480104,2011.494385
40.420208,25.499943,16.630199,46.202324,55.622124,3742.296631
40.197014,26.142855,14.793415,37.443264,45.218563,3216.104004
47.951725,29.852976,16.445011,27.139908,39.747242,2970.081055
95.348892,45.156334,37.500721,103.913620,119.703896,5544.092773
26.082117,18.064091,6.568499,10.199593,14.772101,1294.121948
34.772167,22.922554,7.650862,16.633993,19.354753,1642.150879
20.255474,14.264689,4.614765,9.652335,21.324667,1645.068726
55.423702,32.037708,21.663576,46.665462,43.870132,3109.739990
74.383171,37.967789,55.766045,127.406258,145.123184,5518.611816
18.524160,12.882865,4.486570,6.528072,17.334379,1583.189453
47.071239,30.811052,10.130988,21.986746,37.696491,3013.125488
49.246159,31.171190,7.518990,21.664835,38.651657,3322.244873
9.703966,6.495057,2.688899,23.565090,7.689176,46.328289
13.423281,9.338728,1.992903,10.291024,15.437702,1263.872192
48.895832,31.425766,16.499237,33.669815,56.059612,3685.308838
27.899672,19.737680,6.578432,13.215819,19.183086,1412.190796
24.613253,17.251366,6.291269,10.914748,17.795431,1327.079712
65.515839,39.881283,18.833199,38.132217,55.192486,3825.630615
67.452095,35.505817,20.602032,47.213551,54.268009,4004.708740
96.791290,56.796814,36.637062,61.859833,77.787376,4579.782227
9.998739,7.135036,6.220926,8.819932,4.802315,19.499271
50.916367,30.079393,19.412430,35.025402,46.642052,3743.611816
96.957321,47.942310,23.034407,44.548050,61.217274,4562.514160
44.457214,29.642109,10.813571,18.576422,41.488659,3199.974121
65.401260,40.219238,20.133940,43.429771,73.172607,4408.025879
7.939581,5.286022,5.376312,33.499020,28.631382,1977.336670
14.371146,10.074924,1.771984,7.344854,13.108462,1251.935059
57.678455,36.351238,15.415245,27.047243,49.880375,3697.583496
29.843372,20.229900,8.472014,20.720522,24.730848,1825.836548
30.976648,20.674263,12.490511,32.129398,19.092640,1156.965698
33.781067,22.572227,18.076328,52.816311,74.785522,3862.846436
31.701036,22.371120,11.547615,28.680618,30.212362,2302.979492
