"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
6.924548,4.925185,1.804685,15.589279,4.400429,6.801597
34.149605,23.157173,8.545605,8.767134,14.083148,1203.670288
22.772530,14.925737,5.683757,5.241610,14.165085,1276.523438
29.296713,18.652140,25.059547,30.223116,64.775955,3823.237549
24.890472,16.885098,5.717612,7.056827,10.518520,806.037781
28.114609,19.561651,7.299425,49.854488,13.040134,6.120391
14.459778,8.485977,9.281132,15.141947,7.340786,29.633209
25.816111,16.353544,6.722814,24.368143,9.525630,38.936821
29.427988,17.820070,15.482814,105.872055,27.696266,75.471092
26.032179,17.404470,8.104804,61.238079,16.268250,12.516685
10.117178,7.023755,3.431873,14.105566,4.078960,2.130126
8.063454,5.637702,2.720658,8.714942,1.691928,11.567735
18.873161,12.847626,4.374741,26.274546,6.798970,25.474028
27.140175,18.115917,8.156129,5.609648,17.328524,1285.545532
18.027975,12.602725,4.180902,4.035557,7.684807,556.457886
88.664154,40.687088,113.230484,146.044952,224.914764,6292.653809
30.454145,20.471390,9.404023,19.887299,5.677146,32.415600
55.727657,35.380798,10.639847,21.592148,36.233326,2794.177490
47.052135,28.693209,14.492995,67.356079,18.313833,200.634583
31.069014,20.526569,9.353585,12.684673,23.657295,2276.256348
15.292133,10.146492,5.936406,31.792648,8.616823,49.065273
22.021648,15.347126,6.208720,5.388220,11.810136,1038.817749
25.727591,17.850285,7.923875,23.411640,6.998807,8.324660
14.690936,10.307401,4.547585,17.825459,5.098280,8.287261
80.769173,46.671101,23.872293,25.597616,44.987980,3634.598389
30.004374,20.599987,6.783975,7.327888,25.533230,2393.609863
18.625910,13.064790,6.880371,4.884459,8.020914,683.034241
22.068201,15.712237,6.475852,3.368922,9.824932,769.254578
54.013790,33.914913,25.163628,100.300911,26.814489,111.401848
36.355061,24.600294,10.934801,32.044811,9.226903,88.380112
35.995216,23.698652,11.500596,22.843508,6.750586,19.398689
15.438730,10.767902,4.748930,5.457146,12.381175,1126.996094
20.195053,14.447628,6.479310,16.545389,3.538388,5.151642
18.791069,13.216610,6.546216,26.398830,9.737333,59.721104
13.543002,9.533804,3.990016,13.396887,3.842401,2.277679
9.311453,6.324272,5.307998,7.754068,30.172590,2543.490723
29.122339,19.534922,17.752670,16.441380,28.472321,2344.106201
15.340552,10.733407,2.123034,15.437448,5.696110,30.041256
4.928942,3.413344,1.750280,1.249593,4.585222,358.773712
21.109324,14.367495,13.647076,26.362915,5.806528,20.809656
27.049129,18.573729,7.973984,5.965661,14.380307,1309.787354
17.230005,11.722502,2.773800,27.091200,7.169595,25.569496
5.660777,3.744562,1.291351,18.116726,4.547198,11.456583
29.028238,19.096088,6.531774,6.020849,12.175652,1139.772583
12.392047,8.852090,3.644628,11.672480,2.445349,2.599447
44.065598,29.416876,7.315269,18.123907,25.812395,1800.917236
8.403434,5.678777,5.727982,10.439479,3.992083,16.544394
6.042693,4.399079,1.603519,15.431512,4.412101,12.063884
26.197332,18.500437,7.387235,8.094985,22.418077,1883.580566
56.844410,35.604332,33.733200,74.123756,75.959198,3874.566650
19.944706,13.318607,16.898796,15.300401,29.584820,2654.186035
34.414719,22.892036,12.354901,11.851316,22.707632,1911.735840
17.796221,12.372600,2.748877,17.240993,5.789900,97.944000
15.432227,10.736441,3.698152,2.095055,7.853497,755.418579
12.018910,8.380998,2.870631,4.775974,5.135139,424.745636
27.842876,18.299734,16.618414,57.682705,15.371980,46.555874
18.693304,13.675432,4.883626,3.249230,21.564785,1837.973755
34.851658,23.282396,7.890738,6.205134,14.834781,1327.067627
28.098330,18.732605,11.718080,39.979183,8.536331,17.996822
96.726944,56.534164,48.332687,69.902916,104.124557,4515.270508
8.779249,6.599716,2.615888,6.146185,1.880956,4.348674
22.226942,15.327890,5.538253,4.351066,6.161192,587.085938
24.716913,16.503685,10.026619,12.029991,32.304317,2695.797607
13.739242,9.928278,3.362772,2.322902,5.682122,472.133698
27.131762,19.392536,7.347796,3.558214,22.437111,1949.511841
8.383242,6.244445,3.158318,1.154141,2.815871,299.382050
16.193344,11.514308,5.677602,8.126479,22.085011,1739.508179
26.334547,18.101244,9.829203,23.440456,6.110822,40.736317
25.921328,18.477589,5.051110,6.754888,11.134990,1012.563110
32.289627,21.280293,19.606834,25.771885,26.786751,1692.919556
48.644016,30.972416,10.161094,9.800899,15.515963,1315.502686
27.542126,18.744272,18.158714,26.353600,43.419079,3112.822266
7.458068,5.466770,4.317026,19.587509,5.291036,1.393470
12.536124,8.564981,3.462125,3.516326,8.169564,720.956360
21.736412,15.255535,5.819736,5.332311,7.780581,631.882935
11.524232,7.948432,3.332649,2.657668,7.096626,531.993530
29.287924,19.718834,6.559298,7.884880,10.759127,931.215149
4.706429,3.602811,3.733764,4.313270,16.189610,1264.559448
55.802265,36.984680,32.965401,36.502022,51.041283,3453.580322
16.145460,11.135462,5.642498,25.235058,7.409816,7.572887
23.525753,16.577032,7.045729,4.511325,8.611188,625.779907
21.842340,16.026703,4.380645,6.412584,7.675745,700.354980
66.401962,37.698029,25.184950,28.919168,89.891418,4937.837402
14.894477,10.962830,4.091019,3.434380,5.969666,507.998718
8.839776,6.721483,4.948517,23.197933,7.067760,25.660362
37.418140,25.014935,8.720101,8.234342,28.370995,2469.111328
43.653934,29.917925,27.448172,23.528671,41.943230,3016.095703
34.510178,23.096685,15.223665,10.904259,20.207947,1765.474121
33.269886,22.611101,11.338634,8.554052,15.367671,1220.018066
38.949608,25.966555,20.504948,11.939420,34.836975,2928.778564
12.620544,9.103951,2.997614,3.307776,8.516250,708.572083
43.566185,16.227472,12.313814,33.242115,41.842293,2841.802490
38.370258,15.165516,12.462181,33.105949,41.304256,2479.487061
100.825630,41.712029,29.703308,65.007393,79.358841,5076.201660
31.044407,19.779564,8.106312,38.804146,30.981667,2065.375244
25.732862,17.753790,5.745911,6.215062,12.881969,939.374817
101.882484,44.482330,33.502247,72.972130,90.995964,5527.219727
25.492775,17.865444,5.879993,5.161465,9.437889,767.699158
18.589802,12.054711,5.488325,4.425097,9.416988,770.881653
84.247131,46.011002,21.155008,30.081095,93.729538,5223.464844
13.041716,9.173373,3.229257,13.226676,22.929699,13.172631
102.282433,44.598953,52.044170,81.633553,163.700714,6537.261719
5.321641,4.081378,1.691290,3.621027,0.931667,5.020584
29.561361,19.853020,6.634441,7.017964,10.598979,904.373657
10.290009,7.344643,2.650580,2.799436,0.865716,2.882711
14.333307,9.868610,5.111546,18.926142,7.029614,32.071301
34.233768,23.918932,10.050550,11.996090,13.281729,1083.726685
31.697887,22.042629,8.157775,12.455099,23.114901,1774.895630
49.258644,32.391022,9.693806,9.282925,33.387146,2935.774658
48.945454,30.884399,10.347457,26.766745,24.816748,1877.739014
42.457531,27.729870,10.138702,10.470743,27.143959,2472.824463
35.424683,20.629261,12.041526,10.860706,18.749853,1550.585449
14.983408,10.356461,4.294752,4.497745,5.610981,381.657776
