"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.128742,13.866836,4.349728,11.746695,2.984928,42.324951
57.197964,31.335886,25.374338,44.901730,10.008221,137.197510
34.739948,23.257036,10.309157,13.080483,3.227123,71.724838
26.980440,18.621622,12.198506,17.837484,4.188227,90.386436
10.235033,7.180508,3.526445,8.440157,2.082706,31.419140
10.549529,7.537726,3.492585,5.645101,1.079866,21.651583
26.770348,17.641253,16.819746,28.060181,6.718824,96.579971
28.296814,18.794950,7.155328,11.478505,2.648296,63.239826
6.351032,4.728029,2.775476,4.156158,1.173496,10.132858
22.110956,14.459523,6.735771,10.044128,2.728053,25.002405
10.524671,7.481519,3.628470,6.885081,1.576812,16.299435
41.163300,25.413094,13.551385,19.274008,4.919699,89.495354
18.580051,12.481415,4.925213,9.610238,1.691013,32.973324
13.964576,9.693067,3.966818,6.996553,1.039539,21.703381
7.619038,5.186954,1.221219,6.401874,0.614451,20.143875
6.214797,4.645826,1.734754,5.402783,1.422884,22.020563
6.515736,4.525956,2.648223,2.508093,0.604934,17.888840
9.838261,6.694277,5.935808,19.490343,4.902855,60.019306
29.204668,19.400606,5.914201,13.245339,3.579754,57.668991
13.264441,9.189290,2.812255,3.351660,1.134387,12.033699
8.400501,5.721443,4.142008,4.898128,2.515155,60.239151
7.219655,5.261067,5.307947,9.223657,2.738062,26.184099
6.196537,4.422552,2.497788,2.397171,0.993652,13.368276
6.298017,4.417509,1.637944,3.999301,0.923267,12.619553
42.947418,27.551838,11.433042,21.998098,4.639054,81.626732
14.941441,10.132458,4.296125,7.245674,1.576947,16.890718
14.050552,9.372163,4.549798,7.411629,1.379498,19.464512
6.490540,4.207109,2.215051,3.175900,1.160350,18.284794
23.923670,16.153683,4.356478,9.776762,4.491753,45.741909
7.873466,5.374220,2.448944,4.367479,1.077049,9.977085
30.447596,21.226728,6.796557,17.217249,2.997364,32.402710
9.540810,6.556476,4.484416,8.020061,1.772066,18.219090
13.117549,9.625851,4.055800,5.564532,1.497351,22.999107
24.159964,16.543026,9.384368,11.696922,2.666977,62.362659
19.247900,12.646597,5.398367,10.344266,2.030130,24.582542
31.316057,21.033743,8.728791,14.838721,5.783795,130.554642
8.397403,5.985117,3.057912,4.852859,1.245373,25.208218
9.106629,6.399911,2.655634,9.546676,1.506799,18.559971
8.918081,6.281996,3.394549,7.104620,1.196599,13.977681
51.871449,30.785952,22.004250,35.098984,8.122802,55.367897
6.867517,4.901854,2.948241,4.039007,1.201135,21.660028
40.550026,23.288664,29.596830,50.089516,12.745811,182.211136
64.261086,35.818535,57.046360,99.608116,27.681345,589.188293
13.715091,9.483050,3.736516,7.808098,2.674637,29.801739
27.183317,17.091835,19.701271,25.491488,6.234317,133.229446
51.793659,31.125860,20.848316,24.179106,5.773763,79.403534
22.040142,15.123968,6.557265,8.073161,2.201259,45.951782
71.495316,42.439240,28.133438,50.061245,13.566390,210.652237
36.806442,24.146189,15.851645,20.705812,4.706443,81.208084
9.871939,6.963583,2.520690,4.592633,1.802674,25.411970
43.500645,26.135990,17.863911,40.082390,8.974267,116.628944
13.918550,9.525336,3.911938,8.605673,1.660991,27.922159
9.717855,7.001507,2.563004,2.131593,0.674794,12.449169
6.538878,4.754994,2.268353,2.137949,0.472160,3.719672
50.551991,27.454485,23.209522,30.262140,7.551500,113.596359
26.609674,17.857229,6.087945,17.462460,3.279455,38.034271
23.744068,16.284685,7.264241,14.301577,4.282090,54.056404
17.093555,12.112962,4.730882,8.582175,2.477743,36.352386
50.274509,28.009949,30.148188,71.266754,16.575377,264.905243
16.458029,11.795393,3.980324,8.224965,3.170027,36.436153
23.384645,16.121201,5.446890,12.190660,3.414415,34.485260
31.441998,20.607431,8.633767,12.458026,3.176487,58.782394
18.014730,12.582174,9.926534,15.468657,3.236503,44.167488
29.277582,20.075371,6.840758,8.814190,2.064730,57.667145
56.489109,36.528156,23.661804,54.244591,12.632264,165.383743
8.697798,6.427551,2.904529,4.796554,1.007175,18.283592
30.441292,20.516993,9.952701,23.396732,6.067687,76.995056
9.784624,6.870776,5.647041,12.309471,3.204756,37.983955
30.603920,20.735889,8.118029,16.641949,3.303265,64.549171
19.786036,12.826923,3.886194,8.714382,2.644594,48.193222
13.163557,8.877689,3.576869,5.625886,1.032099,27.193003
20.028532,13.953014,6.334277,9.782230,1.904865,34.568687
15.400601,10.776829,4.031066,8.170564,1.455601,19.183744
14.662951,10.777506,6.336021,2.658447,1.517424,34.738651
5.379512,3.872478,3.739379,10.225798,1.864787,15.560894
7.606583,5.201850,2.960901,3.419036,1.116492,11.303589
13.041833,9.022423,4.614771,6.076184,1.740669,15.929375
28.741350,18.831081,9.996284,14.425524,3.986274,62.645374
10.556277,7.474182,3.082600,8.002553,1.370066,17.190680
26.454311,18.093468,5.170664,11.358860,2.870204,16.119511
13.824566,9.252813,2.534713,5.619419,1.290618,16.807066
10.625568,7.695405,2.650589,7.527827,1.384629,10.652165
13.367147,9.484529,5.689641,5.802892,1.755032,10.539215
10.251204,7.193909,3.004372,5.003584,0.861709,19.032469
11.073837,7.743822,3.311397,6.858906,1.538013,21.878544
6.527334,4.415569,8.677208,11.304835,2.377250,29.266632
27.375673,18.901079,9.547089,9.152042,2.402137,56.236652
5.571046,3.992682,2.376921,4.541653,0.419529,5.952727
9.002623,6.329975,3.471165,5.744497,2.828334,26.546942
9.974731,6.770999,15.575715,49.614624,13.675949,191.460693
13.742936,9.409127,4.466733,6.703548,1.717555,11.813174
10.995364,8.018244,3.752893,4.256516,0.614039,12.101687
32.122040,20.567129,10.510505,15.537294,3.014239,48.850189
12.642781,8.814078,5.003531,5.656439,1.399053,26.001389
6.180203,4.612327,2.151199,4.721313,1.724406,30.850132
16.217548,10.521124,4.401900,11.884214,1.154043,23.971056
64.954353,37.753204,25.809927,46.195564,9.769085,199.685028
68.583336,39.426109,19.992109,38.529400,11.425309,210.735275
8.173717,5.768090,3.050518,2.090950,1.192070,13.395612
13.300512,9.511978,6.363739,9.102370,1.514655,25.423777
10.196416,7.494905,1.778011,5.359207,1.740077,24.503788
16.651773,11.823075,6.304901,12.563542,3.334467,23.555109
42.889610,24.833330,30.465994,37.028278,9.528334,182.351395
35.008896,23.545647,6.380651,13.402017,3.228365,65.171021
14.736684,10.335365,4.995450,13.937571,2.946074,25.377024
31.912685,21.129597,12.968291,16.034374,4.881341,80.019608
22.423628,15.160387,4.138331,6.927452,2.529641,82.098831
21.982403,13.772365,9.791319,19.221622,4.548961,64.820404
12.566430,8.938265,3.274009,7.845976,1.227395,45.357208
7.316855,5.432740,2.587223,2.853358,1.035615,15.747523
71.575386,38.197399,42.963310,82.764954,20.824247,268.503418
15.218051,10.604237,6.365224,12.329825,2.707508,27.327574
48.773132,28.712786,11.350810,23.081556,5.278553,52.564537
11.084811,7.811753,3.617918,7.016809,1.241740,18.285309
36.737396,23.995888,8.154293,15.097747,4.734744,82.755814
9.689312,7.107633,3.466739,5.535362,1.597126,20.966824
15.512895,10.795940,4.695580,7.693564,1.456386,21.488745
11.723804,8.514947,3.164686,5.695107,1.660897,31.573244
18.528633,12.324649,5.966202,10.020623,2.256814,36.930836
14.559560,10.121484,2.132912,7.471473,1.254237,22.995638
