"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
26.312622,17.620497,5.268373,7.346488,7.177814,485.301697
7.394491,5.014474,6.136393,10.482892,2.991482,44.217686
9.875745,6.472368,3.467569,4.644669,2.194093,152.758698
18.012024,12.441813,5.381939,8.086255,2.143615,44.965298
52.950279,31.686123,21.188038,34.805653,13.546120,673.699158
16.983625,12.023810,4.918809,6.520853,4.522107,261.804199
13.337386,9.218399,4.813009,8.035847,5.206811,391.669037
15.078321,10.402617,4.774713,5.215986,3.306004,190.088013
13.242662,9.366700,3.958635,5.367913,3.135895,192.042603
27.837301,19.128714,7.897482,11.920740,6.645702,383.599548
16.351103,11.387769,5.719551,5.927115,4.507900,276.033142
36.780964,24.772224,14.394966,10.448574,8.304748,547.331299
18.379881,13.213837,5.454238,8.780954,3.424644,177.561752
50.960621,28.125683,29.753242,45.851337,28.259336,1640.564697
24.776627,16.753117,7.365780,10.855698,5.272021,294.701019
17.274292,12.305738,5.334273,8.069359,3.481794,245.748352
6.512162,4.724320,2.862693,0.692248,1.691581,87.806007
28.511435,18.321474,11.890921,20.641331,14.310933,959.405762
16.172050,11.038791,7.508427,9.531437,7.747619,469.744202
57.609657,34.976643,31.250957,66.101959,36.711361,2232.200684
35.555958,23.894661,13.099698,18.066576,12.073361,787.513550
11.884374,8.663776,3.799509,6.485591,2.988277,219.839645
16.469643,11.441595,5.357386,5.274642,4.221423,266.546356
17.972326,12.626737,4.644096,9.092960,4.819469,289.539459
31.162300,19.754597,14.342683,15.303065,14.754881,846.708618
38.665379,25.192883,14.008034,19.170197,11.678477,738.313660
22.729433,15.506196,9.647032,8.769938,8.599982,484.374359
9.107072,6.404375,3.065781,5.542217,2.200529,115.368141
10.497857,7.059444,3.126851,5.201406,2.061094,135.883591
23.944407,16.146925,8.361162,8.660451,5.012571,279.301178
51.462067,31.038130,32.404255,41.695408,29.248472,2073.819580
11.381676,7.792438,4.523736,7.977166,3.434207,270.264069
6.955116,4.682003,2.490170,3.491324,2.441018,125.594330
7.359826,4.976864,3.686619,3.668601,2.438210,166.637894
41.688595,25.036734,24.164478,42.836445,23.030304,1497.036011
10.026352,6.843071,2.848743,4.197443,2.066318,141.764267
