"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
64.330978,37.975719,17.889925,65.153267,17.597475,146.299927
5.760945,3.992135,1.682569,8.406109,2.601862,32.293163
7.302106,5.343217,2.752669,9.455942,2.455031,19.894627
18.594667,12.670695,6.550800,18.280720,4.552826,47.424553
96.730721,47.433193,39.711082,94.578392,23.136497,125.596420
14.645904,10.162238,5.090385,13.230185,3.882272,18.752665
8.061428,5.647843,2.868483,15.885443,3.623309,8.179075
27.274506,18.001493,12.942439,34.576908,9.454140,32.845875
30.114292,18.766115,17.162828,85.694023,23.900150,141.384827
30.954264,14.306935,7.883184,28.935349,9.348022,92.892830
64.049194,37.419262,17.722713,59.969944,16.325190,131.394684
39.397495,25.352058,8.111000,35.198395,9.548674,98.360107
35.801979,22.613251,8.299539,26.253099,7.399485,81.750916
33.831635,22.357861,11.108664,27.835873,7.026822,37.002232
56.771954,35.048405,18.128593,49.982147,13.800772,175.051865
48.640507,29.593946,49.204082,129.537918,33.214466,299.022675
41.660194,26.346024,12.571029,50.106102,14.616964,89.578964
26.977976,18.672426,6.822284,33.881268,8.177095,20.127914
61.464508,35.681736,21.649139,89.328522,23.268087,253.487106
31.555145,20.923298,7.637826,21.603045,6.703454,65.293716
8.232500,5.950325,2.940977,8.308198,2.922648,15.572232
12.467016,9.045246,3.735168,15.757838,2.966830,15.192519
15.125631,10.770208,6.729993,26.953970,8.979079,76.676201
43.944622,28.343290,17.787523,57.552422,16.422289,178.215302
11.949376,8.417315,5.113330,15.807068,3.395128,23.294514
38.440186,24.048473,10.286983,48.273758,12.143162,183.365799
44.212162,29.879976,13.643320,70.379982,20.109863,255.227631
21.474833,14.064287,5.889635,18.878666,4.963615,16.304523
28.470430,18.503536,7.623569,23.191851,5.413973,22.936613
12.198607,8.548047,7.596220,46.171227,13.516300,189.309631
7.327745,5.266035,3.129123,8.134451,2.082293,14.487329
26.398140,17.024004,10.489572,34.124615,9.335703,71.950935
27.408390,18.903194,6.407819,31.776320,7.913574,59.358894
7.131058,5.190487,2.482013,6.867776,1.819822,11.418921
29.885605,19.757193,10.949561,39.279823,11.377440,163.458908
22.058111,15.113334,5.475999,30.630852,7.592490,101.808540
82.232224,47.550060,28.915827,71.349236,18.531643,211.518173
34.070919,21.292488,10.791190,31.726431,8.891710,107.232529
16.610401,11.469984,4.198811,29.756208,8.359891,94.621918
25.505957,17.480288,5.450753,32.371643,9.266641,81.086403
18.305908,12.287108,4.210038,18.319124,5.397595,20.047930
9.923733,7.297452,9.711900,28.088484,7.241085,39.048923
17.520958,11.526545,8.529708,43.513531,13.422675,85.345024
14.708802,9.910296,4.512182,15.117945,3.343068,11.536057
5.536161,3.816689,4.034248,15.879663,3.335399,23.828388
14.597441,10.038215,4.108945,25.719715,6.470789,49.556480
5.390132,3.740911,2.850512,0.634632,0.685673,23.518240
23.747179,16.224642,7.390630,28.875196,7.282423,29.718327
14.523025,10.321726,6.826039,29.245287,9.510568,103.977638
9.264274,6.688925,5.190839,24.441818,7.067909,69.153091
20.180622,13.654301,4.127116,24.694180,5.446238,48.416813
8.957148,6.412543,3.436530,13.660012,3.187302,11.558110
17.145662,12.097941,4.289485,21.655499,6.086583,54.267216
13.094506,8.874868,6.432642,19.978266,6.119865,52.597351
17.866789,11.890519,3.753532,18.648598,5.270970,33.170166
51.745541,26.768362,39.684647,123.199669,33.312386,326.342529
17.267080,11.646013,5.480567,20.896524,6.248064,34.450287
9.526344,6.665574,2.775631,10.194274,3.410687,20.263571
24.284340,16.275940,12.357914,67.502815,19.524336,197.554565
37.815651,24.719587,12.019369,31.612904,9.114415,103.350746
10.212623,6.920151,4.313775,14.174507,4.054250,29.416624
38.422989,24.742563,27.081749,80.144714,21.124039,105.393845
14.354445,9.164206,8.200050,30.881891,8.623270,64.727997
14.922400,10.706476,3.344899,15.720118,3.169250,15.788332
6.807170,4.866170,2.304180,10.260397,2.176858,13.374658
8.393965,5.679870,4.370072,13.117984,4.270691,39.798496
30.512779,17.922998,17.891661,83.755692,22.378119,180.194382
11.729151,8.427172,4.156476,12.895689,3.501439,29.151371
38.510712,24.428516,11.738996,49.362900,14.516463,174.461395
18.206108,13.071064,3.918365,17.271729,4.278140,42.906540
13.006279,9.518559,3.065716,21.074863,5.653924,51.410221
35.155804,22.436899,7.624671,36.140575,10.194124,91.042175
23.200155,15.903782,7.780714,26.400501,7.031816,86.552299
19.159668,12.730631,12.959565,53.280479,12.383897,80.245575
14.716099,9.945477,4.893942,14.929836,4.131019,29.004580
16.421293,11.213813,5.280749,16.008417,3.990388,31.674650
7.072421,4.933067,4.532558,10.680137,3.113276,16.812277
17.581768,12.330838,5.152839,23.983730,6.413358,73.179413
56.188313,33.688782,13.387877,70.191658,19.131744,277.710754
14.872938,10.036829,10.779050,48.111839,11.888661,54.134289
39.289284,25.640753,8.700721,37.071423,9.519112,49.345718
11.326170,7.603852,3.383361,15.109336,4.251376,16.224808
55.099407,33.150909,26.411003,73.135704,20.070757,277.958099
9.075195,6.598816,3.508376,12.120409,4.507696,47.217381
41.331959,24.726854,14.260082,63.561157,16.815414,164.661835
13.086537,9.435712,3.712231,19.830011,5.115315,34.038586
9.170757,6.648273,4.024490,31.421162,9.493940,46.067204
12.001568,8.585578,3.910380,12.963169,2.349758,8.158192
57.347698,33.597431,26.333651,141.854218,37.815514,285.194000
22.403259,15.178592,10.807335,47.169666,12.760879,53.517269
23.047352,16.199287,9.628307,35.764214,9.938898,112.971458
15.395570,10.383356,5.189841,13.600251,4.159940,32.247555
8.033499,5.537221,3.493767,9.267627,2.799769,21.083492
12.403290,8.432609,3.212708,5.366905,1.213179,29.761759
26.211687,17.460228,23.809078,74.574142,18.252884,122.879143
35.462643,23.216436,14.521301,36.094284,8.360230,47.076611
6.196766,4.672150,4.066260,16.684513,4.128528,49.098591
12.928416,9.213709,9.064870,22.201096,7.250297,65.381920
6.107658,4.516870,1.338334,7.402654,2.167907,18.743061
26.683432,18.026382,6.789104,21.398642,5.182090,64.357208
8.881001,6.243685,3.440153,14.559964,3.041194,9.590984
86.261543,38.220779,109.890259,301.661774,79.292534,795.546448
14.679676,10.673176,5.205022,15.466911,3.980713,37.691490
85.094757,52.720455,36.956902,150.433960,41.757874,471.444824
34.646633,23.091713,13.520626,25.762009,7.610793,84.402702
11.759668,7.884968,7.660163,28.109028,6.915230,18.677660
11.328388,8.232897,3.455602,20.878716,7.262276,46.818546
12.066748,8.370753,4.100720,16.562197,4.069978,21.812050
25.305941,17.788364,10.859093,33.571636,8.648051,119.792542
30.075680,20.218506,7.652286,31.002525,7.809288,105.024178
23.001545,15.629651,9.044906,5.073252,1.311066,54.955807
34.448849,23.207996,7.051528,27.446375,7.600995,28.289114
35.518894,22.944963,10.757443,51.981369,14.840333,96.874008
39.759426,27.617661,14.970521,61.467129,14.978534,86.751228
31.454290,21.157753,8.307997,21.732014,5.535431,65.819847
12.377335,8.999723,3.284440,12.737974,2.891094,15.083202
9.028756,6.126751,2.625945,8.672976,2.446522,8.137997
16.116861,10.666436,9.130522,35.670841,9.639174,89.869720
8.048205,5.824405,2.145064,14.703215,3.132566,23.662300
19.971348,13.112206,7.047846,53.364445,14.004469,56.485104
11.523738,8.082002,3.244925,12.335435,4.311081,24.986183
34.127075,23.140574,8.155087,38.474998,10.168274,94.587425
10.884239,7.382386,3.996537,11.273844,2.857141,28.220095
9.767146,6.835131,3.841312,18.253950,4.329356,33.296036
25.293718,17.370600,7.811703,15.201496,3.989074,15.307687
22.714417,14.695734,14.104545,46.649620,11.053964,95.507294
13.651727,9.554216,6.769531,15.280422,3.985440,33.238102
15.199005,10.521695,4.935686,11.593379,2.430867,28.043066
8.195865,5.915566,2.542384,8.643004,2.439796,18.588228
5.522958,3.837708,1.976948,12.235724,3.695232,16.255816
17.868578,12.011919,5.263823,4.635186,1.237301,37.690948
36.857601,25.298323,9.451889,30.108940,7.254619,83.182213
52.408646,30.033287,21.803350,56.334991,15.922947,193.290939
18.665062,12.719963,6.779326,32.878902,8.149244,45.612602
20.206179,13.708349,6.714026,18.565355,5.952829,63.502529
22.756666,15.285633,6.428268,17.803022,4.441041,52.066837
24.212440,15.970130,10.107860,42.297707,9.309077,84.283234
6.830841,4.544974,2.365587,9.876819,2.118692,15.366711
10.348419,7.186862,7.560338,34.573364,9.910842,46.980778
13.769564,9.892169,4.497392,15.531488,4.422599,26.397032
28.182478,18.813091,7.806715,29.193857,8.121218,106.447716
10.017552,6.954084,1.882524,9.071035,2.406758,33.767017
37.636032,24.687082,11.287821,31.215288,8.444161,39.048405
29.408251,19.392179,12.176709,48.017704,12.125338,126.516563
14.938507,10.286887,5.335582,17.316566,3.271842,36.609974
8.765796,6.603215,4.282263,17.071018,4.718884,28.387167
7.550783,5.357577,2.358338,8.690759,1.746398,4.813498
45.951485,22.452868,12.305995,44.578316,14.154872,104.367874
21.953342,14.465386,13.576869,50.925198,14.965758,142.196701
5.097363,3.880844,2.765296,6.969089,2.331084,18.010769
14.167830,10.104348,5.607553,11.800878,3.171267,19.820154
5.269145,4.122333,1.918882,7.868555,1.574952,18.547482
14.528945,10.096351,4.893285,14.871862,3.989986,40.017654
71.751625,32.768768,42.179077,116.360390,29.129395,362.504700
36.751095,23.497314,12.229637,30.803846,8.292621,57.985836
31.585958,19.805447,5.872013,33.627094,7.923287,19.239332
24.418867,16.474041,5.665173,26.009687,8.032552,69.689331
19.317854,13.449782,5.403755,23.562475,7.173831,60.068245
15.229445,10.528505,4.261200,15.461292,3.157088,7.842632
14.269404,10.042620,7.453380,36.899296,10.998447,83.958344
11.675580,8.277318,3.482589,13.310910,3.234706,25.343544
10.299001,7.177378,3.036778,7.777984,2.115323,20.341381
8.891935,6.385107,2.105527,18.375233,4.861915,31.374720
21.676212,14.840422,7.459760,26.159601,6.706811,42.055012
16.040907,11.575434,3.345441,23.826057,4.907701,65.539383
24.010489,15.363489,11.333502,58.178207,14.510324,52.075787
70.769539,40.926815,26.872852,102.431244,26.133932,215.968658
5.252676,3.391565,1.382324,10.423876,1.829448,27.792133
4.634785,3.409099,1.657047,0.768122,-0.079959,9.911195
32.904980,21.213068,10.347558,66.820557,17.469337,183.172241
43.187695,26.584188,11.237230,39.585133,9.502547,29.953917
11.244681,7.937136,3.522472,19.332037,6.147851,36.942326
14.680710,10.267979,4.288501,12.096623,3.359828,14.192780
16.559933,11.415737,10.084269,37.895767,11.333731,68.060463
19.793837,9.195519,4.920259,24.390123,5.668574,76.115707
17.588726,8.867211,5.184287,23.568092,5.214188,58.865513
18.755999,12.430503,5.048378,35.934223,9.379976,38.873589
5.406011,3.869191,2.952839,8.249529,2.762684,17.277052
12.286281,8.457433,3.510267,26.935215,5.847832,61.655521
17.999624,12.365115,3.709225,25.864859,6.401186,11.838716
47.473839,31.237871,21.904305,50.743969,15.344984,234.411926
13.529668,9.521491,5.101642,6.391935,0.963548,20.296276
15.017491,10.773332,4.189336,24.129004,8.324194,54.518913
10.446319,7.628301,5.817496,10.227063,2.794068,15.215025
19.739010,13.354113,6.184963,15.467007,3.353440,15.232786
44.777786,24.196180,20.526001,103.619408,27.344023,176.055939
8.681351,5.620005,1.898966,7.458002,2.618020,17.799894
11.726791,8.199293,4.075444,9.616048,2.859331,30.269691
23.790365,16.267097,7.460271,22.826773,5.210312,40.287609
48.937794,28.950747,14.958687,70.522911,21.196077,114.533264
34.649021,23.384113,9.550901,29.813993,7.211638,49.718220
10.965466,7.794450,2.907913,10.908309,2.540382,29.650869
16.516844,11.465633,6.565154,21.936258,5.934771,61.820885
59.087456,33.552811,15.194702,67.243690,18.379622,200.208817
6.975802,4.552149,1.987914,14.194588,4.106645,18.796417
20.775085,14.148463,5.523844,27.365540,7.751215,61.863365
5.777456,4.041680,2.317794,15.403702,4.949308,41.567097
25.887499,16.288197,23.856787,59.960552,17.570377,113.345238
6.643203,4.824117,3.926769,20.937767,6.034352,39.871834
25.203190,15.529529,11.041937,43.284836,12.035670,117.509727
23.813383,15.991822,5.368743,33.930016,10.935792,118.872955
7.865023,5.880804,4.005496,16.269802,2.911449,31.289778
31.856857,20.958374,14.017198,60.707775,17.252621,110.821175
22.304283,14.935279,14.918620,63.064152,18.231579,123.883286
51.582104,31.685106,15.095057,47.964966,14.220547,75.088623
28.395594,19.488281,19.426458,48.490749,11.677891,95.732155
9.405098,6.889754,5.305218,30.727976,8.956896,44.117081
12.158077,8.938364,3.201895,19.813894,5.893538,69.166893
6.149674,4.375765,2.345501,10.540048,2.313946,19.884672
11.296084,8.076042,2.872691,7.244441,2.739060,27.929712
6.033636,4.304708,2.733763,10.569615,2.881823,26.704710
9.669155,6.822121,3.365952,14.146427,3.995583,15.354753
31.044106,20.736980,6.496053,19.042072,7.899608,246.804077
9.864693,6.903154,2.920153,6.692904,1.711945,7.322065
88.912552,52.927719,80.977875,254.828094,70.671890,911.796326
11.032517,7.752422,2.664201,12.967497,4.266415,42.705627
5.449061,3.959213,6.946700,32.253391,8.531132,60.057861
38.388496,24.377045,10.459992,41.057957,12.467766,95.114693
5.551542,3.811470,2.237832,9.926246,3.187017,12.359087
6.966231,4.984517,2.520882,7.216250,2.179778,11.342749
5.033482,3.608085,1.349883,15.206861,5.028875,19.818615
42.232117,26.539452,22.674314,125.359833,29.040438,160.440125
20.222370,13.839482,4.774993,13.380580,3.739676,23.158758
10.047565,6.800074,3.407409,9.667778,3.269894,23.892605
123.657669,54.776653,106.074654,415.856659,113.779793,1234.125854
6.472674,4.643437,2.072454,10.155076,3.083791,5.237356
22.787567,15.404409,9.844945,35.174141,10.996040,133.790268
19.489195,13.233449,10.724570,30.290640,7.110188,34.685539
4.475358,3.248779,1.885872,7.208109,1.537127,6.384097
22.759274,15.616924,4.777164,14.439704,3.491046,19.833105
9.950668,6.787830,2.631905,8.749938,2.949898,22.489956
8.031992,5.691801,1.983732,25.051020,6.646444,34.634193
26.844589,17.836575,8.336788,27.357704,7.369743,55.141327
6.365690,4.134117,2.011114,12.439853,2.444036,18.781565
10.593560,6.922379,2.969270,10.784854,2.280813,16.296659
10.804768,7.707868,3.004029,5.821632,2.759254,9.460335
9.851309,6.984767,3.325112,6.550026,2.252073,7.811915
7.759889,5.412029,2.728062,8.620660,1.790917,17.698238
15.999950,10.967291,3.538213,20.195667,4.820372,20.144480
18.988047,13.108781,3.583567,15.357210,4.840261,44.651936
8.409111,5.705371,2.162457,16.434597,3.543287,7.659909
11.545125,7.530618,3.761805,26.257385,8.334651,41.267246
5.887958,4.262483,4.966220,24.335918,6.015313,65.708511
23.645090,15.072389,9.826015,35.628170,12.051827,81.916283
13.484789,9.481936,8.191320,35.320221,9.524390,13.631033
31.311382,20.785038,9.457889,41.251171,10.719068,72.064941
24.268559,16.191742,4.375285,20.291039,5.579783,9.762918
14.621533,10.169183,2.590233,22.728067,7.104620,37.452831
14.211856,10.041828,3.559267,16.496544,4.819068,9.985126
46.070675,30.084002,15.093744,60.873917,16.335468,158.339508
30.814396,19.703379,13.912027,51.004879,14.053402,90.459396
20.806688,13.939750,6.930539,22.987423,6.950752,49.413616
32.933270,18.307785,8.070598,53.336170,13.807358,148.224258
13.779255,9.438987,4.041606,16.126532,6.096451,30.964573
13.117084,8.788123,4.584593,13.556189,4.232297,39.232075
9.244963,6.460901,4.345650,12.633744,3.775490,21.979536
14.627442,10.440922,3.445695,12.027272,4.606870,25.789543
14.109496,9.697685,4.811217,16.064108,5.073689,47.492146
30.940569,20.888647,11.817743,58.527061,14.627192,109.814049
7.875150,5.693814,2.759753,0.985217,0.678368,26.683474
6.023929,4.476023,1.896942,8.965620,1.914838,13.102862
21.204931,14.948715,7.467226,30.679510,7.829397,77.217354
8.347807,5.961059,2.362047,16.491165,3.812433,24.482597
5.575894,4.070045,2.175851,10.282716,1.957890,16.712189
10.954948,7.792680,3.182056,14.022853,4.204967,31.330425
4.296987,3.477463,1.889081,6.954893,1.571779,12.454336
38.946346,25.238966,18.111006,61.082035,16.596766,227.814972
22.083857,15.305326,4.166540,19.386440,5.462955,42.074596
33.195545,21.114666,9.219609,30.498026,9.643014,30.501421
22.506895,14.848450,6.036401,23.581024,7.882589,64.747757
10.509945,7.337060,2.441798,13.305937,3.913445,19.570421
36.839806,22.192709,30.019930,153.757095,41.533134,363.303436
10.655722,7.342273,2.440581,12.194556,5.110422,86.581474
8.808849,6.102987,2.937406,1.257858,0.626474,16.611355
43.885918,27.166338,12.890096,42.971977,13.181288,123.466621
11.293599,7.836052,3.432969,10.738450,4.034540,8.676787
6.723995,4.650291,5.662336,10.830735,2.437734,13.716239
12.529378,8.779136,4.521279,13.809232,4.085337,12.816097
23.528530,15.570746,6.635466,19.793074,5.673786,33.360741
11.293536,8.273209,4.084699,15.008250,4.056396,28.870464
26.984438,18.362946,8.074574,46.557129,10.860920,85.415390
6.287436,4.265850,1.652228,14.750371,4.591663,15.135805
7.445764,5.310678,2.620152,3.992127,0.984696,9.433766
22.391603,15.332624,5.975296,17.078674,5.089236,76.901718
9.071347,6.646773,3.531511,25.409914,6.367994,56.002495
13.616907,9.418942,5.328634,4.256542,0.453408,30.467772
27.087080,18.030228,7.797222,25.624662,6.640912,28.102556
43.426392,25.918112,22.063261,50.926624,14.021923,182.393387
17.827286,12.257172,6.507918,28.417143,7.005857,15.061239
35.776535,21.054495,25.923216,69.801193,19.878136,200.114670
4.790579,3.551652,1.794551,18.082478,5.862844,41.307007
19.703751,13.908227,5.753692,26.687643,6.252453,39.328701
33.188705,23.095552,11.762856,38.813393,10.967251,95.831543
4.073554,3.022741,1.899045,5.058712,1.749570,15.336380
101.661446,50.282700,88.262039,358.638947,93.041855,842.965027
6.098685,4.472054,1.380387,3.438120,1.529321,13.154387
29.005842,20.021553,7.402400,22.690588,5.835942,52.429596
11.552653,7.899065,3.350243,13.380977,3.153433,17.543901
15.018355,10.404062,13.793035,57.717766,12.548716,48.677731
9.329941,6.163327,3.547403,9.717496,2.240317,27.650917
5.245233,3.607564,1.645141,10.965586,1.939618,13.355450
21.474888,14.635606,4.208018,21.738571,5.139508,59.238983
7.050000,5.010473,2.673219,10.977859,2.348815,14.054365
18.633680,12.953857,5.084220,28.839148,9.552594,45.767277
42.618835,26.782381,16.822943,98.030884,25.262447,211.092773
28.437405,18.540613,9.101044,29.082663,7.170143,68.983337
22.794157,15.892455,5.557876,15.935622,5.152326,41.164032
74.791550,45.823875,24.942106,90.394264,21.903616,102.532913
41.389561,27.029331,9.877882,34.627266,9.739931,102.905075
7.519720,5.408742,2.547011,7.194654,2.165181,11.282701
25.238352,17.283588,9.523399,53.500694,16.191368,114.137741
44.118141,29.389774,8.472386,33.338326,8.429285,50.032696
9.749524,6.961263,3.301022,8.851675,2.848879,28.435837
12.908526,8.677388,2.935796,12.907666,2.861466,17.011463
22.260469,15.323215,5.645813,23.004656,5.475522,26.860065
44.676727,27.002369,21.952215,90.571365,25.980219,445.943848
9.611183,6.783211,4.643219,10.778100,1.847538,17.917406
4.332407,3.444620,2.834732,16.285646,4.562927,4.690655
8.965400,6.643286,1.868442,10.151525,2.043702,9.584141
14.553494,9.723714,5.238448,16.877476,4.965191,30.667461
11.800159,8.107247,4.050559,12.701438,3.189655,19.171623
13.243314,9.094660,8.918732,30.044277,8.497619,58.083633
38.208546,22.058706,48.094929,145.240616,39.340965,355.161469
16.572418,11.269796,5.212919,18.080471,4.534871,24.038679
11.036814,7.886803,4.227627,10.847914,3.073644,21.991749
25.442371,16.983627,7.163273,25.510725,6.285514,60.231953
8.667842,6.031461,3.616923,17.893522,4.919153,21.378469
13.541579,9.668553,4.523307,15.746871,3.608154,18.677200
11.974116,8.441623,4.337042,18.125216,5.593370,6.927086
64.886841,39.479027,23.195717,67.289230,18.346691,178.739807
25.548269,17.735607,11.482457,35.569427,9.963276,24.106571
33.583702,22.174685,16.618292,67.948128,20.608139,154.103271
14.307151,9.970183,2.701459,15.647544,4.751881,64.557945
18.130678,12.610302,10.289866,54.378021,15.203669,87.457138
17.223547,12.310837,13.602603,37.350029,10.631575,90.381310
26.390547,18.280769,10.047144,24.492626,7.224794,70.161201
71.710533,39.216064,19.282421,59.536697,15.111971,119.810722
7.372102,5.440305,6.237462,17.596062,5.303067,55.308239
31.006372,21.171976,12.151855,27.489372,7.436111,95.671967
8.515439,6.098650,2.631379,13.389324,4.122002,31.800516
15.283157,10.497001,7.901945,34.123138,10.701140,163.967957
4.810599,3.703741,2.451099,25.595652,7.833386,108.879189
13.269543,9.341273,2.611968,11.601178,4.588723,27.251743
17.723583,11.949686,5.383830,21.585279,5.859767,16.611929
40.255306,24.537310,31.730234,133.846710,34.691753,325.819550
21.888615,13.987817,16.410938,53.614399,14.896195,105.892853
34.701340,19.243200,14.359733,52.619381,14.265302,68.078629
22.555620,14.994058,15.003105,84.841415,22.371136,161.158569
6.934982,5.030724,3.951315,9.723577,2.897095,9.274130
32.454132,22.393265,10.205832,47.212509,14.748222,108.947243
22.063587,14.890452,4.670485,36.936661,10.446771,75.246330
5.871648,4.467193,4.648008,13.903833,3.626230,22.649799
12.912876,9.174904,3.603231,18.500551,5.292471,71.141884
15.259904,10.712115,6.846192,14.301426,4.769842,47.103432
23.762007,16.347305,10.502217,22.769083,6.356095,77.331734
7.967823,5.700718,7.525691,15.659778,4.665751,19.048885
13.543188,9.556645,4.038582,11.248431,2.997965,33.563343
27.699297,18.229271,25.579874,84.751335,24.521864,124.681229
24.128328,16.157324,8.821353,32.782143,8.348168,77.460762
28.328217,18.422459,10.228181,32.527145,11.019668,129.730850
7.590256,5.396653,1.721366,12.147871,3.753278,23.340099
13.438363,9.077605,3.938999,29.602737,7.410661,23.983397
7.353639,5.054381,2.514809,8.364637,1.986725,28.830633
44.221924,27.002651,15.529738,66.865746,18.284916,203.689194
11.309147,7.490573,10.599948,30.707170,10.439253,75.069855
45.204208,27.828535,18.216686,77.770668,21.136829,180.665115
16.476543,11.347925,4.357173,13.944198,3.785734,28.530142
14.554492,10.390652,5.120234,22.644646,5.715607,29.203846
30.212154,19.246469,8.535776,35.073383,7.988284,30.173138
12.379744,8.785565,2.747746,14.860243,4.838905,32.704132
34.253304,21.557989,10.857252,48.135284,13.121438,204.144836
9.227185,6.658344,2.559470,15.382740,3.693625,6.870584
34.569168,22.395922,12.576781,56.156101,16.035662,74.640999
31.915806,20.145641,7.242305,29.667431,8.749923,123.036232
22.281078,15.033216,9.279486,26.139933,6.944822,64.366592
20.348177,13.764606,5.270832,22.335054,5.645689,61.487793
22.152716,14.700321,5.847793,27.865524,6.497209,72.196548
34.174606,23.087339,21.043152,131.820343,35.479221,233.926300
10.330112,7.382892,2.153794,9.230316,2.473976,7.716110
45.227364,28.133921,42.493748,195.416504,47.141396,406.301117
18.516977,12.422626,15.188971,73.160645,20.648832,192.852158
5.178270,3.748117,3.658609,19.365484,5.934289,35.666569
15.984824,11.036763,6.423239,15.232514,3.823682,10.408295
29.835493,19.069332,10.393458,40.428955,8.888412,39.614441
11.323647,7.957638,3.695785,15.768189,5.206395,27.104746
35.814392,23.743544,10.071163,36.575600,10.658492,122.664894
27.546741,18.225834,5.630815,26.417566,7.332914,56.628098
