"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
8.626008,5.810194,2.726906,10.452726,2.563138,14.433149
18.450411,12.598092,11.012008,10.672340,3.709957,37.272438
11.798824,7.906694,3.374632,18.499420,3.734701,26.707617
20.918091,14.715373,6.679482,17.791014,6.854802,52.671913
13.859572,9.591396,4.144834,12.261294,3.555399,26.518505
18.188231,11.764411,6.384353,17.537455,4.261168,32.228519
11.635924,7.845109,3.933683,13.154527,3.659054,26.609184
10.924755,7.717070,2.547801,13.490948,5.000316,20.567476
5.514600,4.331300,2.328664,9.199774,2.910702,19.834045
6.926491,4.877004,2.357012,7.320362,2.642265,45.848877
8.086863,6.016675,2.409566,8.407817,3.238954,17.353910
10.858711,7.407722,2.906531,9.118860,2.128016,12.768766
18.251198,13.061249,4.589210,16.115824,4.868741,59.127918
9.421390,6.534497,2.579913,2.292514,0.825069,4.853200
8.662791,5.949893,2.636720,7.560011,2.412423,17.738239
8.430984,5.897047,3.093063,11.822580,3.660519,16.855415
10.043765,7.135209,3.498954,7.398005,2.435077,22.289045
5.931335,4.207095,2.239778,5.792868,1.793042,14.430166
17.337337,12.076388,5.524581,13.313254,4.291080,38.438194
14.326068,10.150594,2.722893,13.456764,3.815260,41.416069
31.906397,21.590584,12.867355,25.833960,8.187882,112.258812
11.512626,8.144978,3.420612,7.786708,2.505720,53.514709
9.381413,6.787664,2.569278,11.333414,2.319790,25.532290
5.443712,3.822416,2.181267,4.049344,1.470165,27.149883
27.462694,18.549152,8.201696,23.842539,6.787327,97.426018
17.683079,12.436535,4.982429,21.718815,5.694768,51.188023
10.801334,7.739473,5.629297,15.665144,4.725228,36.321842
8.070468,5.671953,3.455402,6.814738,1.978910,27.578487
10.261940,6.998409,2.629996,10.634641,2.347054,24.280624
11.519453,8.487012,3.682145,13.932835,3.664985,52.685181
26.472754,17.503584,10.149436,27.190096,8.895285,137.235565
6.195079,4.511798,2.375463,4.263264,1.772066,14.916253
6.962265,5.078731,2.618852,9.625161,3.359663,11.642929
28.306381,17.794247,13.738106,36.782745,10.734618,162.151901
13.435768,9.381216,3.739800,13.257483,2.333963,29.640457
7.860206,5.347709,2.941680,5.748775,0.961798,10.769667
10.820912,8.060313,3.454681,9.485408,2.135423,15.760822
19.458374,13.632577,5.261442,11.534096,3.798052,46.551857
17.582663,12.202406,12.144918,24.355143,7.083796,76.095299
15.833366,10.339174,4.546405,14.302560,4.112216,47.210896
48.539009,30.200926,15.530472,29.678877,6.977523,87.627380
16.708128,11.722502,4.818413,11.831670,3.194754,24.997578
44.965950,28.036554,13.544728,36.196533,10.516609,126.183662
4.492888,2.952288,2.178035,1.652813,0.437001,12.433256
9.096361,6.380166,3.708969,6.203499,2.381008,21.136791
12.366954,8.329230,3.376173,8.401275,3.221572,25.596622
7.684959,5.541448,2.600297,5.892718,2.111897,7.050529
12.973644,8.808869,4.388052,9.926785,2.503320,46.536339
6.887898,4.614939,3.694779,10.629304,2.872726,13.167531
10.433135,7.497641,4.919178,11.587924,2.631957,34.398258
9.124701,6.345342,3.315706,10.081634,2.339999,25.393475
15.334051,10.166205,4.312282,14.718063,3.884329,19.275450
18.364565,12.693034,8.053432,31.885710,8.249154,86.591393
14.363453,10.049795,3.891175,8.375446,2.820605,36.858837
6.117415,4.184832,3.192336,6.974290,2.808141,18.518301
8.708591,6.321586,2.906642,7.771997,2.743280,22.628187
13.628242,8.990984,6.170445,9.368770,3.452806,42.475033
14.523491,10.236131,5.331397,11.148664,3.085408,45.774761
11.151637,7.944643,6.041777,19.325737,5.666010,52.655148
27.113607,17.792097,8.505638,22.054695,5.958134,36.432575
12.021318,7.927230,4.231561,9.788598,2.470748,9.041989
13.408658,9.697397,3.893984,13.916421,3.762704,30.586760
9.700449,6.844870,2.941965,5.410022,1.563638,9.573501
7.734086,5.228570,2.726511,9.479046,3.301507,27.316086
11.457591,8.390950,3.594574,11.307724,3.410060,26.282167
15.235554,10.806823,3.708791,9.457698,2.983872,57.996258
16.457857,11.483790,5.270110,14.085166,3.776434,29.582930
8.240441,5.558520,2.372801,10.193369,1.917937,19.496653
16.885000,11.550098,5.480050,21.145815,5.505156,49.761471
5.552387,4.068378,3.221338,6.569684,2.165612,13.774386
6.357714,4.635746,2.697542,4.600005,1.439592,14.871709
17.047400,11.359020,9.615666,42.406666,11.484518,133.214081
12.791219,9.006809,2.915823,9.103508,2.159776,17.643135
8.843669,6.627115,2.947397,8.409813,2.571901,25.452108
7.917405,5.550945,6.305868,14.261406,3.698504,52.056515
13.883400,9.352241,12.368978,30.846155,6.939349,44.760883
44.483109,28.279015,13.636803,46.342899,13.121869,257.794159
7.601772,5.433866,2.904480,9.113820,2.642263,26.417845
8.290046,6.131408,2.839534,2.633658,0.798146,11.128333
12.377939,8.480433,3.651502,13.832413,3.935405,50.960140
17.048763,11.480597,4.354132,14.216085,4.450473,49.896187
34.345932,22.526947,11.197212,37.778797,11.743523,199.875336
14.725456,10.400056,4.095415,5.756423,2.427037,33.705532
56.705376,33.225403,48.135979,169.090897,43.512611,389.364685
13.318622,9.422289,3.365015,6.497882,1.952655,15.036957
18.265985,12.991010,4.384237,12.802549,2.706104,22.303511
13.771136,9.623736,3.752828,12.390538,2.902567,25.488821
13.463537,9.302741,3.674464,11.383241,3.000316,34.105469
12.491331,8.679829,3.617719,10.802411,3.393104,36.755707
21.756275,13.606936,16.894705,35.048546,9.472341,108.689636
8.967407,6.326851,3.290723,6.646357,2.203686,21.199804
10.259017,7.529963,3.134505,9.360898,2.758737,19.207788
