"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
4.072099,2.972060,4.771519,7.997046,4.664942,48.126362
7.969985,5.823190,5.821837,5.149742,19.502087,1919.013062
20.692173,14.620562,4.554216,3.922620,13.593165,1081.584717
10.780816,7.421671,4.770700,3.067660,8.928010,763.696655
28.064625,19.540127,6.804260,13.401560,10.833076,578.585327
35.227859,23.834112,8.271688,11.464383,15.299217,1180.131958
7.053420,4.732316,2.060646,14.391303,5.910987,46.744328
21.877014,14.583525,9.217813,15.288920,22.179350,1523.350586
19.555225,14.005372,4.223147,4.688758,5.648767,389.208313
18.607950,13.086232,4.287240,5.236430,9.519598,850.861450
35.338829,25.090162,9.058132,6.488312,23.488482,1908.080811
101.958351,37.314949,89.974144,126.469612,172.488571,6692.782227
14.405038,10.009491,4.396188,1.975112,3.067194,220.201920
4.106112,3.131787,4.921208,7.682856,5.625619,19.161913
32.404602,21.544376,7.001181,19.849133,13.686388,868.086182
45.427032,27.961256,46.762699,66.741158,73.756409,3686.052002
66.091888,37.225540,29.338995,73.812164,65.210403,3809.250977
54.069092,33.793884,13.431529,10.689930,28.337261,2594.237793
26.652477,18.668184,8.234050,25.716761,15.418490,777.494141
12.814055,8.701009,3.580772,2.647484,5.974257,567.271118
33.715092,22.902840,9.014048,20.804642,20.509176,1267.236084
82.226913,42.736652,34.936958,68.953506,86.610069,4687.307129
36.951511,20.413761,37.116795,111.619514,48.713192,894.850098
53.266914,34.080593,13.969960,12.874779,35.638786,2834.459961
21.482561,14.780231,5.999805,3.414286,17.314222,1467.084106
37.214134,21.042492,34.143181,60.702282,47.680813,2452.213867
36.094479,23.181368,17.110582,27.253666,27.930864,1953.314087
38.307140,26.317095,7.541052,10.396384,12.806063,1052.572754
27.001312,18.152584,5.872065,6.452479,19.311621,1818.578247
39.890240,24.768141,38.279705,87.238625,73.882416,3272.528076
43.490936,29.725874,15.682758,33.230999,32.887310,2181.025879
14.884684,10.600056,13.356318,22.096432,19.251360,1016.233093
9.575222,6.986080,1.532205,9.582267,4.524950,74.647026
36.284660,24.050350,12.873076,26.302319,23.202465,1242.279297
14.576033,9.976309,4.733511,2.269477,3.048862,267.559021
70.238762,40.000420,18.147591,46.437279,42.072090,2942.150635
21.054699,14.850474,6.485855,3.555316,9.080671,662.616211
50.860332,31.897346,12.803632,24.062710,28.437063,1891.632324
29.210505,19.786024,7.919863,9.302936,27.254686,2112.336426
28.276192,18.899355,7.613324,8.411788,17.902628,1431.871216
12.139899,8.914916,4.134974,4.417904,8.621792,753.209534
26.634508,16.651091,20.682034,72.365784,54.238575,2888.069824
23.819223,16.714533,4.679974,6.092116,8.675743,687.565613
53.799507,33.744526,12.858634,31.764381,32.468075,2196.701172
20.305984,13.979043,5.610601,2.393085,9.018850,696.037659
40.809231,26.624517,15.407931,13.305485,22.699007,1828.716187
110.416016,51.287296,44.411194,113.535133,153.927948,5631.815430
55.903355,36.488312,8.709620,23.631409,48.249737,3366.436768
59.861950,36.505806,9.896533,23.300898,52.029213,3549.932373
9.528786,6.627890,2.599329,2.930492,3.832989,407.854584
29.299164,19.651005,4.659717,4.734186,13.306559,1210.889771
33.095730,21.747627,12.583669,21.280840,18.711344,1168.826660
60.196911,36.115276,21.457796,13.598581,26.550581,2273.418945
39.388508,26.452991,12.620097,10.355719,29.536398,2775.310059
10.606984,7.480730,1.305001,11.692626,4.388069,24.115965
45.565231,30.506765,12.314719,10.274145,25.366274,2024.432617
22.946955,15.842180,10.738653,8.736084,25.811289,1997.875244
20.310602,14.066087,5.081182,4.228437,12.046673,1056.424561
38.500114,21.753845,23.971457,46.588428,73.878143,3892.705566
53.954510,32.883041,7.855079,25.961620,18.022064,1377.330200
31.827610,21.278671,8.756874,7.815475,21.554989,1813.977417
31.763702,21.400888,15.889997,14.284594,32.011955,2615.427490
15.080069,10.430685,4.128698,3.404729,10.617840,933.112854
40.991211,26.835014,9.031924,31.401440,12.155537,41.228031
26.220266,17.302082,6.382682,20.008051,15.752800,1068.920166
14.109587,9.998107,4.316455,5.536475,15.769851,1365.811890
6.510030,4.785182,2.975282,16.094034,6.153475,45.932682
