"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
7.878939,5.611830,2.598224,8.275857,2.741863,17.106873
22.039207,14.825875,5.778943,13.528364,4.539240,36.150047
17.167719,11.782427,2.666881,21.952385,5.722122,84.353539
35.409103,23.046671,8.995756,17.487183,4.699380,62.151482
23.768080,15.908536,5.603229,16.958185,6.078994,120.291870
14.510072,10.375861,3.832162,10.517140,3.617759,61.975487
6.581586,4.793351,2.825589,6.899157,2.014785,5.984334
8.830099,6.160673,3.784577,8.089882,2.205059,21.865019
10.168595,7.474611,2.929179,9.299860,2.331633,19.780428
13.596504,9.607228,3.736768,5.811924,1.333999,13.982230
11.296762,7.969800,3.667789,8.550797,2.163030,15.327170
11.058883,7.712898,3.049511,2.330890,1.155753,50.268818
16.656973,11.718475,5.547176,14.829004,3.889328,21.685061
22.543369,15.186231,6.747777,17.494852,4.975060,17.478325
8.262448,5.736270,2.651018,7.713715,2.755575,17.384363
11.948290,8.338453,5.559466,13.409657,3.774903,24.150965
11.916802,8.477983,3.877851,6.440040,1.927498,30.564007
12.018703,8.189638,4.620393,12.398540,2.979775,20.328087
4.515615,3.394137,2.432641,5.849704,1.992678,4.512639
14.222407,9.524983,3.777369,6.600878,2.142395,10.675389
8.575652,5.950325,2.862338,6.824781,2.079067,25.680910
41.795769,25.875690,34.961975,69.307388,18.909090,261.160858
18.435616,12.357122,3.970481,15.540598,4.818364,69.434273
25.121321,17.631620,8.079189,27.952007,6.806890,59.034401
8.539306,6.311603,2.496798,5.569708,2.315630,11.033989
12.675209,9.186413,4.024463,8.543217,2.892362,16.543989
11.441170,8.059907,3.277277,8.630533,2.230229,27.128235
12.266929,8.662676,3.730638,7.765554,2.668788,13.455649
16.746078,11.362422,7.216076,23.216873,5.692784,65.676872
25.317013,17.550734,7.131536,16.871071,4.515716,17.798084
13.633158,9.263838,3.314997,8.731391,2.811490,13.136169
17.604876,12.080158,4.370033,14.132451,3.409186,40.252289
12.595673,8.740841,4.398952,11.469602,3.738560,12.554427
9.790483,7.387753,3.443553,7.707784,1.662544,11.222324
18.490108,12.249868,3.303712,17.929350,4.979091,25.844341
17.132452,12.153129,4.550204,11.317842,3.710586,76.168671
38.895016,26.431894,11.661727,32.147720,9.488165,142.047821
25.699446,17.416756,7.642058,18.200533,5.506661,27.106592
35.762554,23.127699,8.706252,14.743320,5.124971,35.149429
11.315202,7.562075,4.560703,9.451966,2.149817,15.365697
9.276728,7.129637,2.683728,8.378447,2.048291,7.537189
9.827221,6.641325,2.630821,6.888140,2.315427,27.478277
