"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
34.862820,22.503309,471.014679,115.850357,9.590600,0.803590
288.532288,72.382027,342.961273,47.868561,3.545530,0.658860
390.874268,82.033890,312.196899,31.503443,2.705246,0.077612
412.204041,84.783730,317.074524,28.732552,2.029231,0.648678
437.730652,90.066246,270.301910,26.169664,1.782449,-0.912188
452.243042,92.773315,252.674377,23.732059,1.487359,-0.156427
457.575928,94.270889,259.517395,24.614367,1.242694,-1.028830
461.418671,95.088898,265.173279,24.882872,1.518755,-0.904530
465.137787,95.975586,267.763702,26.242979,1.244986,-0.394036
468.908844,96.246628,271.631073,22.951639,1.727194,-1.338066
470.498138,97.050606,274.321594,22.866659,1.955709,-1.490840
472.176208,97.037849,277.363586,23.273870,1.641885,-0.932282
471.840607,96.770966,277.816650,19.797556,1.644544,-0.991552
472.129364,97.156441,275.349823,17.512724,1.336222,-0.051010
473.240234,97.533142,272.747192,18.683847,1.604587,0.351884
474.910065,98.060135,271.237549,20.337034,1.301351,-0.534515
474.521088,98.321739,268.076080,23.361712,1.498559,-0.648504
478.126007,99.345650,264.400574,25.145197,1.421295,-0.933024
478.461792,99.265106,261.783875,25.845442,1.399311,-0.573871
481.130432,99.734947,260.426270,23.150803,1.255920,-0.705810
479.640808,98.525398,263.050018,24.768759,1.328422,-0.798966
480.697571,99.621414,262.979187,25.476894,1.100942,-0.907017
484.807434,99.667915,261.420074,23.404491,1.301059,-0.911841
481.370178,98.991486,262.847931,20.645737,1.409399,-1.174433
486.313782,100.641434,257.172577,21.923033,1.243281,-1.112154
483.236328,99.823624,256.055115,22.376522,1.155157,-1.521519
484.604523,100.222992,257.295380,21.227062,0.771834,-1.943153
488.926178,100.795250,256.812225,21.577412,1.546395,-0.724383
484.297485,99.680290,260.462067,18.062447,1.696496,-0.776603
487.042023,100.589066,259.526794,17.071243,1.856290,-0.717811
492.765930,100.511391,255.824661,16.852652,1.503224,-0.682837
485.692474,100.611649,257.916260,17.299456,1.400319,-0.647108
485.208557,99.652710,256.615479,19.333496,1.572415,-1.014366
494.435120,102.633110,249.969498,20.626019,1.226455,-0.319728
490.831360,102.337753,252.038681,18.565611,1.318805,-0.653409
485.141388,100.257378,249.424728,15.385620,1.573037,-1.730351
488.538208,101.901863,243.682358,18.207182,1.281118,-1.764939
494.294617,102.530281,243.587479,15.065700,1.556842,-0.942489
488.458374,101.191666,244.415756,16.998827,1.625538,-0.763547
483.499176,100.823799,246.947372,17.969994,0.680698,-0.737414
495.987457,101.612061,238.514771,16.656984,1.208284,-0.973690
497.706787,101.901947,237.246521,17.347120,1.100098,-0.781698
487.588837,101.919617,248.768112,15.014061,1.044191,-0.796795
481.295105,99.631973,249.690536,16.100931,1.244838,-1.257070
488.307770,100.557411,246.474533,15.711661,0.901166,-0.467472
502.945312,103.238899,240.851486,18.631487,0.740870,-0.468613
505.219269,103.350288,241.072891,18.632225,0.889419,-0.942047
505.482208,103.443878,240.680206,18.083788,0.787561,-1.426270
503.185394,103.461380,240.916290,17.667490,1.021136,-1.873954
487.853729,100.225296,249.296844,15.469829,0.751772,-0.710456
484.021698,99.713867,251.199966,16.594370,1.124670,-1.465300
482.170563,99.338570,247.385269,17.363190,1.296393,-0.934759
490.166077,101.300819,248.495575,17.709253,1.421864,-1.326943
499.597900,102.380730,248.715652,16.089212,1.219230,-1.445477
495.591217,101.215477,257.067444,13.923113,0.792125,-0.783985
507.193695,103.947319,241.275574,14.520648,0.716540,-0.684686
504.957214,103.320816,243.309753,16.314018,0.904190,-0.576215
500.898193,102.673874,242.942535,16.735603,1.812886,-1.022560
497.697906,102.366028,241.915710,17.073803,1.748361,-1.098144
478.393921,98.083847,249.083603,17.636616,1.032477,-1.042455
481.424316,98.686508,249.492126,17.370106,1.284015,-1.391969
489.831970,100.670303,244.986679,19.842937,1.289152,-1.022522
498.791779,101.937645,231.681198,16.912754,1.041761,-1.060629
487.084930,99.970390,247.350815,15.112454,0.956636,-1.580151
486.211639,99.470657,248.040161,15.093117,0.957955,-1.584615
485.475006,99.399353,247.846954,15.648728,1.014324,-1.068736
486.039581,99.465965,246.105453,17.241447,1.263563,-0.635872
486.207947,99.400070,244.087479,16.362951,1.024312,-0.499086
487.667755,99.593315,236.714294,13.524987,1.423080,-0.949923
489.939697,100.229263,234.491318,15.577416,0.900240,-1.342163
491.324066,100.674561,233.981812,16.892702,1.217973,-0.716674
492.934540,101.080704,233.679459,14.900910,1.533117,-0.482834
494.576263,101.017303,234.457458,14.318699,1.416281,-0.454545
498.135193,101.902992,238.113586,13.710793,1.120655,-0.391507
499.153442,101.925453,239.456039,12.220367,1.174909,-0.695920
500.429688,102.339302,242.209167,12.762773,1.370282,-0.892597
501.525513,102.467247,243.419800,13.554032,1.301006,-1.056637
502.412323,102.632355,244.147308,12.931383,1.333997,-1.252341
503.372253,102.963684,245.040329,13.450087,1.520194,-1.167938
503.842773,102.871300,245.920212,15.426639,1.511895,-0.830756
504.081177,103.002815,246.151016,16.317888,1.376406,-0.379117
504.556763,103.306976,245.902283,17.868849,1.070073,-0.557458
504.803345,103.265045,245.281052,15.686378,0.968643,-0.513131
505.233276,103.202209,244.211472,15.523331,1.140519,-0.562925
505.569824,103.141769,243.281708,14.440415,1.366437,-0.762323
505.505737,103.384079,241.906021,15.011589,1.362092,-0.937873
505.700653,103.434769,237.292618,18.181223,0.743570,-0.812330
505.414490,103.449471,236.170502,16.594858,0.805575,-0.631497
506.329590,103.497948,234.923447,16.024752,1.141171,-1.083923
514.943970,105.861572,238.906738,16.579117,0.829206,-0.911602
518.626404,106.424507,240.551559,17.956066,0.766738,-1.062166
519.968018,106.467949,240.981567,16.702917,0.678380,-0.845143
520.884521,106.504623,241.351547,15.773211,0.926732,-1.128434
522.201721,106.775505,241.828278,15.686479,1.084497,-1.086154
523.059692,106.632591,242.514694,15.948810,0.694951,-0.877109
523.002625,106.743042,243.278412,15.923396,1.046808,-0.700124
523.512329,107.150177,243.503967,14.943733,0.804245,-0.758497
523.695557,107.236168,244.491989,15.584700,0.952032,-1.425437
523.580505,106.964378,244.865265,15.999321,1.074111,-1.488595
524.961243,107.534439,246.848770,14.882333,1.114312,-1.363507
525.553162,107.653595,248.890167,15.585844,1.239648,-1.075316
525.245544,107.373611,251.215164,16.749279,1.254109,-0.730027
525.818542,107.597000,252.449417,15.720701,1.500012,-0.898785
526.502319,107.774162,253.925323,16.150805,1.423244,-0.782036
526.719116,107.686440,254.788483,16.815041,1.140953,-0.856214
526.980591,107.585892,255.161942,14.965599,1.310418,-0.831948
527.028259,107.903313,256.440674,16.113911,0.913968,-1.244147
526.801514,107.644440,257.157257,18.946386,0.774292,-1.386438
526.836487,107.510048,257.331390,18.648108,0.827051,-0.825298
527.416931,107.620850,257.806335,15.778741,0.885487,-0.923932
527.691956,108.311531,258.112305,15.106866,0.978638,-0.706268
527.550781,107.955307,257.820404,15.253764,1.334901,-0.767977
527.026611,107.844864,257.630096,14.931703,1.611118,-0.784838
527.442383,108.000961,257.403687,15.738583,1.320379,-1.113489
526.750977,108.041290,256.953613,16.095032,1.306801,-0.554997
527.419495,108.059776,255.983536,13.606577,1.221804,-0.698204
526.923401,107.872360,255.103409,14.059744,1.063192,-1.123527
525.790161,107.590263,254.001465,15.778763,0.763698,-0.625830
525.399536,107.508972,253.114105,13.806015,0.969995,-1.048200
523.918274,107.106346,252.133255,13.383692,0.803850,-0.960644
522.419495,106.714813,251.075562,14.483708,1.069012,-1.125520
522.010193,106.697701,283.873932,14.550886,1.085476,-0.955317
520.636169,108.914368,356.238251,15.645453,1.302234,-0.633249
516.759583,105.864677,277.158112,21.217211,1.165926,-0.475814
510.210022,104.315186,243.667770,18.414968,1.233136,-0.620273
505.250092,103.684990,241.131607,15.279831,1.006051,-1.197160
502.235474,103.090591,240.295029,15.058804,0.957841,-1.119967
499.271759,102.288055,239.233276,15.618263,1.197666,-1.260665
494.813660,101.282997,236.818527,12.310439,1.035018,-1.450404
494.650024,101.402405,236.653427,13.501097,1.253850,-1.016156
493.190948,100.970665,235.851074,14.886845,1.219428,-0.999412
493.621185,100.737778,235.442337,16.111208,0.995674,-0.639746
493.487335,100.956131,235.168686,16.944031,0.520437,-0.990148
492.829285,100.854729,235.329117,16.772217,0.989525,-1.349145
493.062134,100.652931,235.442551,17.328579,0.852021,-1.095790
492.381287,100.551750,235.399857,17.109570,1.399144,-1.386199
492.750397,100.473305,235.011673,15.967957,1.291480,-1.240196
492.554993,100.492241,234.561371,15.234990,1.132131,-1.426278
492.490936,100.540131,235.309433,15.860870,0.874512,-0.846000
491.994446,100.865067,235.549332,17.293716,1.319935,-0.340208
491.222900,100.478127,235.970474,16.486521,1.193842,-1.266189
491.480927,100.551491,236.544708,14.493548,0.962661,-1.227310
490.775085,100.523262,236.963715,13.903996,0.916270,-1.100351
489.975098,100.111168,237.559494,16.000929,0.829926,-1.314612
490.546844,100.710472,238.260559,19.343307,0.712501,-0.464715
490.550842,100.658394,238.958740,17.088892,0.987108,-0.408984
489.571747,99.931557,239.308197,15.278558,0.809879,-0.462460
490.554626,100.272690,240.755707,15.646337,1.200893,-0.565069
491.091858,100.280815,241.819244,14.014937,1.332625,-1.054853
491.121765,100.407944,243.661407,13.417482,0.901285,-0.748193
491.313202,100.466896,243.229416,13.523787,1.162399,-0.625971
491.558075,100.557877,243.494141,13.809370,1.131715,-0.837018
491.845886,100.397865,243.172852,15.804807,0.873024,-1.328558
493.099091,100.792450,242.769150,14.705257,0.990952,-1.268329
493.178680,100.920410,243.002777,13.435364,1.243712,-1.061287
493.218018,100.768578,242.936249,14.771619,1.553533,-1.160325
493.478729,100.733070,243.065414,16.598036,1.119474,-1.260870
493.710846,101.004715,243.190048,16.595781,1.190123,-1.223663
493.918976,101.013123,242.984009,16.837475,1.169668,-0.553863
494.067047,100.832420,242.980591,15.620312,1.347304,-0.524902
493.610779,101.081276,243.013229,15.444885,1.140051,-0.796755
493.714020,101.018929,243.153641,15.023490,1.135911,-1.102029
494.215759,101.020119,242.894394,14.096559,1.022905,-0.920867
494.567932,101.052582,242.422195,14.896359,1.094850,-1.057002
495.445343,101.327629,241.639313,16.995192,0.875668,-0.549499
496.516174,101.209442,240.054871,16.874893,1.220343,-0.472900
498.243683,101.748344,238.350845,15.810447,1.005215,-1.535942
499.112396,101.902306,238.253555,16.361116,1.157442,-1.429383
499.145050,102.133469,237.784775,15.784586,1.013838,-1.709496
500.399170,102.176201,236.595383,15.430003,1.083841,-1.089524
500.466003,102.481400,235.183075,15.017612,1.281202,-0.897571
500.128693,102.602661,234.767441,14.903234,1.029170,-0.900878
500.319061,102.461586,234.010727,14.784646,0.786190,-0.687852
502.391327,103.304161,231.706680,16.505976,1.060626,-0.723590
502.930054,103.189659,230.517517,17.734409,1.057472,-0.875393
502.833893,102.983421,229.094391,17.284124,1.189304,-0.195907
502.571411,102.793053,228.522385,16.331680,1.037099,-0.356521
502.668610,102.837700,228.121155,16.385084,1.111266,-1.131609
503.486572,103.214508,227.527603,16.940920,0.886430,-1.541595
504.617401,103.063362,226.811478,17.364702,1.039439,-1.565650
504.173096,103.472977,226.540710,13.876601,0.982653,-1.540652
503.965027,103.027351,226.488144,14.105700,0.963548,-1.479562
503.579803,102.966934,226.548096,14.241942,1.032219,-1.121714
503.469574,102.904175,227.082458,16.103537,0.799498,-0.877362
503.075409,102.648552,227.614365,15.881648,0.865590,-1.331435
502.871094,102.717903,227.464371,14.950418,1.050018,-1.296324
501.418640,102.482796,228.068146,14.971596,1.152476,-0.716003
501.390045,102.498604,228.478821,15.853546,1.043487,-0.771245
501.486176,103.059090,229.568817,14.680493,1.399898,-0.311530
500.918701,102.467598,230.365051,14.871561,1.386213,-0.050827
499.791229,102.058434,231.784546,16.763502,0.927671,-1.204070
499.284729,101.971695,232.061783,16.323673,0.824623,-1.061213
499.002502,101.980766,233.345566,17.414518,0.901878,-0.904397
497.706879,101.759598,234.640259,17.304380,0.950371,-1.321348
497.103760,102.025291,235.953064,14.534165,1.168408,-0.941957
497.205566,101.428741,236.336288,14.486625,1.360013,-1.190769
496.663177,101.514824,236.883469,14.013223,1.396258,-0.712058
496.262756,101.462761,237.618881,15.415166,1.363605,-0.738428
495.963318,101.442772,238.120697,15.061293,1.130142,-0.727307
494.777771,101.070297,239.302185,15.275073,1.190645,-1.113543
493.616730,101.196899,240.856628,14.570538,1.098775,-0.972795
492.781342,100.820992,242.717575,13.224329,1.081306,-1.152359
492.116302,100.822876,244.157639,14.132072,0.852826,-0.688850
490.327545,100.140358,246.431671,16.231083,1.066841,-0.301903
488.625214,99.968185,247.916367,13.027827,0.955587,-0.848006
