"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.820477,13.164931,5.311267,5.620006,1.640917,2.269134
8.305987,6.128366,3.051602,4.509907,0.735975,4.519318
9.232335,6.960649,2.531050,6.288938,2.197667,33.885212
14.698465,10.076701,5.735815,4.526055,1.307182,5.888891
14.531579,10.323818,3.958960,8.683224,1.946876,-0.318822
7.496908,5.889777,3.374626,3.486105,0.901141,2.924790
5.687962,3.786271,2.982867,3.521256,0.291877,1.780725
10.327814,7.793364,3.941855,2.410006,1.354328,2.770054
7.298274,5.475709,2.929179,4.656588,1.087708,11.394656
4.713878,3.427419,2.542886,3.610034,0.504716,3.483931
10.542542,7.801953,3.646343,5.383792,1.619706,5.854753
15.201725,10.718880,4.422118,10.466446,2.900108,14.119926
5.411602,3.905975,2.037019,5.506715,0.936794,9.992879
16.595406,11.951367,5.732620,9.498701,2.623041,15.365797
8.219554,5.949893,4.838611,10.584036,2.262294,2.457263
5.778708,4.249098,4.015283,6.217769,1.630204,0.956050
5.468409,4.113969,3.305931,3.287333,0.719318,4.323622
5.577459,4.100283,2.125394,3.204932,0.835077,7.277597
14.677911,10.581027,4.134101,25.416502,5.259768,8.172924
4.249560,3.055257,1.854289,2.089863,0.362296,1.170801
10.187751,7.430427,4.821162,5.041108,1.657276,0.827430
5.732664,4.223469,2.491243,3.668887,1.065197,3.314464
4.802483,3.598577,3.019665,3.144241,0.582585,1.790479
16.860657,12.092679,5.841553,3.724065,1.012629,10.414087
12.188868,8.798785,4.841669,4.429443,1.218260,5.607901
5.494044,4.288342,1.279249,12.610995,2.924533,9.623764
10.529673,7.281709,5.457721,6.543027,2.391081,23.242756
5.943642,4.252885,2.093518,3.047218,0.870815,4.430043
18.565498,13.117183,5.242954,7.374700,1.728666,18.947475
9.657140,6.915358,3.557038,4.774971,1.430924,2.692259
20.599854,13.948286,7.876055,11.305030,3.923159,26.200958
4.647322,3.519977,2.018013,9.800160,2.504838,0.764818
9.103389,6.192623,4.398952,3.369791,1.225689,1.963191
5.504662,4.076595,2.921676,3.818730,0.643812,0.841984
4.081308,3.109854,2.310002,1.618918,0.596757,0.744220
22.079557,10.077933,12.263969,15.374897,3.925056,19.770252
9.641328,7.266855,6.214193,6.543596,2.160445,22.913391
6.690269,4.782479,2.887976,7.105294,2.486211,0.015476
19.448551,14.186049,6.911854,10.546861,2.812272,3.482956
13.288323,9.423647,3.967336,9.523457,2.746758,1.049834
17.641050,12.744872,5.107237,11.470387,3.002682,19.515329
22.584602,16.300138,6.426937,12.460781,2.708622,4.887455
6.304186,4.782160,2.420892,1.749101,0.443675,0.618706
4.721656,3.471087,2.042205,5.666974,0.958878,0.265666
13.264224,9.553994,6.161074,10.760983,3.210292,5.737855
9.414419,6.864386,3.512004,3.400553,0.905297,7.062853
5.039831,3.679876,2.696808,0.627483,0.510522,0.634307
5.031110,3.834504,2.332717,8.457667,2.295999,2.416315
4.864733,3.546824,2.068383,2.322172,0.642239,0.624620
9.514488,6.536337,3.199844,4.027863,1.516714,10.116696
14.790278,10.541508,3.458685,8.176427,1.131819,0.954635
8.034926,5.649603,3.411508,3.726484,0.552897,1.470878
8.538271,6.421673,3.277903,3.757989,0.849945,10.915710
5.959809,4.510854,3.154828,2.066459,0.368499,2.636599
11.897378,8.594621,4.371920,9.208351,2.264818,5.342704
12.211598,8.915580,3.836011,6.142026,1.031096,7.000484
7.480106,5.115252,2.345733,3.410083,0.489548,8.138410
10.677332,7.672654,4.759478,8.321237,2.377657,8.935989
5.797040,4.068910,1.730933,3.597948,0.768949,1.046555
7.139315,5.035749,3.551384,1.858785,0.339024,2.081656
18.555500,12.810043,5.997363,11.193376,3.092710,8.044703
10.077227,7.042367,11.139490,21.858953,4.649179,25.543142
11.158844,8.065573,5.025897,6.796927,1.134698,8.090084
18.596983,13.239435,4.574527,12.674647,3.902022,5.475907
8.072542,5.873250,3.390827,11.568663,2.001708,11.812602
6.949868,5.222106,2.786570,3.431096,1.078665,3.320747
7.350038,5.044581,2.003019,2.986352,0.298448,1.265761
7.911587,5.405932,3.259276,4.502769,0.852736,3.232690
5.482352,3.920704,2.684793,2.018679,0.765372,0.415535
17.162355,12.155537,6.102383,7.252413,1.597267,2.146546
13.571050,9.701664,4.170235,5.400692,1.385974,8.455486
12.343362,9.039684,3.996556,5.049596,1.454478,2.097953
17.116360,12.546848,6.308021,6.826552,2.960464,27.233511
4.246864,3.239664,2.193178,1.257244,0.741758,1.653105
9.118436,6.496990,2.777839,3.598680,1.289293,4.908892
7.241984,5.079780,2.835793,3.183119,0.912746,0.887503
11.526246,8.290001,5.111626,4.338978,0.686193,3.104078
8.137947,6.135770,4.137682,6.318563,2.463538,39.146629
6.316923,4.575012,2.171103,3.734603,1.076957,6.295612
9.318170,6.618860,3.744439,5.360853,0.811294,1.163813
10.335856,7.604865,5.297799,4.722220,1.376406,1.686943
18.553802,12.974946,4.948990,5.636919,0.877050,3.224360
7.862422,5.547761,3.012342,5.163057,1.619201,11.311307
11.580918,8.658752,5.867545,8.696040,2.134230,2.539738
13.876243,9.910570,3.465101,5.561363,2.074188,1.196502
6.105544,4.507122,2.918693,1.514287,0.554256,2.086152
9.267270,6.755084,2.830608,2.675054,0.757868,3.527110
5.167129,3.580695,3.002458,2.861639,1.416814,10.785448
6.296728,4.758320,2.613286,1.905487,0.858786,2.612108
3.980299,3.063113,1.967603,2.302574,0.425287,1.747825
7.962974,5.701241,5.142313,12.215424,4.380555,15.494906
19.956629,14.198053,4.156811,17.653732,4.921308,2.436246
10.135304,7.368276,5.992341,4.756610,2.088444,7.328827
12.517673,8.585196,3.866841,6.435680,2.339145,15.313641
10.980753,7.862450,3.580998,6.715883,1.899557,3.219265
8.728976,5.867193,2.707588,2.972992,0.732253,0.751122
7.737374,5.328278,3.562256,6.472174,2.041021,14.490309
4.342474,3.323817,1.794343,2.759403,1.030671,5.015807
24.816576,17.761499,6.735825,11.981586,3.168767,7.797949
7.130930,4.964859,3.457673,12.394483,4.302763,23.507847
11.997962,8.837680,2.918276,6.013340,1.611395,0.840615
9.717249,7.245438,3.784880,6.683494,1.711645,27.201096
4.549550,3.440509,2.123805,2.445018,0.799411,2.668564
