"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
11.200641,7.788023,6.015878,21.312641,7.044437,16.472696
14.667204,9.862713,4.411297,6.701963,7.459233,526.325012
18.829081,12.788486,6.172888,7.696939,6.164804,438.737396
24.977409,17.240322,5.833858,7.751889,8.239192,622.110046
5.950972,4.369112,2.771789,4.398876,3.001191,198.410202
13.088408,9.332758,4.200286,26.808556,7.256988,10.889519
10.175965,7.371979,3.530112,6.254526,4.552579,334.844269
19.892645,14.143806,6.819643,13.810006,16.853888,1350.199463
19.301592,13.170791,4.944753,6.202721,6.129143,419.409149
12.106014,8.713399,4.064741,4.799296,4.313655,278.326263
17.887627,12.900996,4.353791,6.115817,6.644027,521.078247
9.493981,6.524601,3.194134,21.980984,7.730349,26.070919
19.476877,13.267330,5.653120,6.602519,7.910890,623.265930
49.665428,30.540857,14.102037,19.575680,14.658126,1079.662354
13.564550,9.413892,3.293656,30.826672,15.506728,611.859497
7.050381,5.127172,3.036130,2.720187,3.738629,219.327362
8.670866,6.368265,2.218763,4.721688,3.413120,240.114838
16.827438,11.156913,4.040999,6.968210,7.830043,511.462524
26.901529,18.090359,10.090415,13.776353,7.036082,323.660004
21.113556,14.569935,15.308397,10.539798,12.348372,949.311584
13.475561,9.084414,3.904580,4.539162,4.626117,308.518341
37.565685,24.620031,8.662396,13.749264,14.271764,1071.162476
9.884877,7.020515,3.977832,4.824688,3.050174,166.286148
15.166540,10.618037,6.714657,9.320982,9.186119,679.754822
13.540782,9.231177,3.646967,4.111578,6.587777,415.797882
14.315364,9.398523,12.372334,14.113157,12.467417,782.428223
34.662418,21.372555,12.532073,14.614434,16.234106,1107.325928
11.146341,8.027375,3.477162,4.562591,3.468168,232.220001
9.010858,6.164852,2.454792,4.164757,4.251069,275.102142
29.107391,18.930790,5.423388,11.083312,13.951307,983.133423
31.895597,21.200579,12.164055,14.377788,14.275340,929.549866
10.414349,7.342603,3.902276,4.730350,3.887321,247.747543
51.393845,31.707045,19.017921,139.458115,38.444580,99.697601
26.404488,17.049793,11.563810,14.681327,16.358372,971.232727
26.469122,17.265795,10.960148,16.049740,22.359308,1558.297607
9.853401,7.025726,2.760695,4.196756,4.663143,329.454041
11.915860,8.434152,3.885267,24.101913,6.059451,15.896369
15.628713,11.236642,4.228296,29.956715,7.957632,13.150385
28.322626,18.862976,8.478224,87.621880,23.340454,61.939423
46.840141,27.001659,34.052673,255.471527,71.382317,196.063202
10.282489,7.434871,3.576489,25.838804,6.773321,12.635209
19.645660,13.194275,4.377218,40.611916,11.032983,20.863434
15.395693,10.614058,6.719985,41.406101,13.022393,24.862810
26.680187,18.672718,8.318397,47.177570,14.802890,50.304661
10.889470,7.300104,3.150311,29.004026,6.150507,12.851376
26.542704,16.438385,14.700872,94.124725,26.911779,68.141640
19.436636,12.963593,4.427746,41.210800,10.912992,10.920426
12.024966,8.756502,3.289474,22.792959,6.750949,9.406683
25.970240,17.912363,7.036616,9.880239,10.594768,648.159790
13.755177,9.986757,3.769850,35.320869,9.131362,20.713976
35.054005,23.140160,8.699341,75.591484,21.559734,78.398026
27.397152,18.718107,6.604125,71.682449,20.045883,74.118713
12.956681,9.192264,3.777190,26.095705,6.549964,12.805854
15.097842,10.737881,2.126984,43.416393,12.095393,28.158096
41.112049,21.982746,33.191154,49.249641,46.927505,3161.238281
5.741422,3.806199,2.303056,21.660669,6.743879,12.556941
7.870450,5.982697,2.942309,14.234365,3.543963,15.384418
55.766602,32.517841,25.182117,112.242157,31.827654,110.133751
31.772249,21.492031,10.166751,78.918983,23.324722,35.652363
16.410358,11.407674,5.655957,51.094517,12.529241,16.584055
4.866783,3.268563,2.280050,18.930002,4.921460,5.891032
18.483402,12.989370,4.571089,26.543766,7.961148,25.296942
17.618071,12.459962,4.486528,25.669212,7.796062,23.912144
9.706511,6.790238,3.228626,29.324894,9.711905,10.380239
13.975536,8.321146,8.816816,15.444950,10.410341,448.366516
5.621015,4.026020,2.402222,14.965590,4.980907,6.554320
4.466957,3.305920,1.826983,16.153324,3.445088,10.815985
12.936741,9.223211,4.270787,28.270651,7.553315,14.393092
9.930792,7.069427,3.012686,22.881689,6.964879,17.565506
35.609394,25.163818,11.665313,66.492188,18.172962,53.499744
11.712796,7.911552,3.889523,31.630903,9.422720,12.731588
14.190022,10.016677,4.230725,3.408393,1.234108,18.811262
30.313103,20.714319,8.584875,62.893055,16.122505,22.739468
12.749501,8.878230,2.224773,16.917524,5.813439,14.813128
21.176744,14.217917,5.744095,29.598572,9.346292,15.192734
5.758545,4.269933,2.119449,82.652908,25.422459,11.797579
19.512421,13.118929,6.081239,55.930538,15.528240,18.295084
14.862259,10.644541,4.243660,37.198265,10.958841,25.591604
13.523697,9.141062,5.247297,38.233662,9.287754,33.410027
14.293648,10.029462,4.512259,34.970421,9.932482,16.397024
18.545231,12.736122,6.693250,38.293659,9.314569,15.399467
16.559713,11.434086,6.178049,46.170895,12.141663,31.601480
7.532394,4.999110,9.628145,87.473885,24.629265,44.700352
9.807426,6.627934,3.506659,17.310619,4.429026,11.497335
5.564329,3.777985,2.272775,19.654930,5.021895,4.763088
21.453875,14.511365,7.225820,54.982830,12.511913,26.147083
12.213877,8.452233,5.311062,22.240534,6.043853,8.981301
12.274114,8.897738,3.654078,25.111765,6.436371,13.147491
7.913595,5.423104,2.469178,15.019190,4.283214,12.219608
12.910880,8.881022,4.770891,8.104387,11.588234,758.741028
14.696290,10.013130,4.383081,34.670418,8.804031,22.040022
27.058352,18.540798,21.004404,103.664490,28.265451,66.083435
9.327230,6.451617,3.268096,4.257425,0.857936,9.765061
8.469384,5.732806,3.260429,13.428298,3.761111,8.933796
23.765167,16.619883,6.444474,40.800407,10.917644,19.010185
10.300572,7.357971,3.500885,23.049932,7.102399,6.376727
18.783369,13.019423,8.802255,43.772865,11.497848,26.798281
8.747967,6.408845,15.724020,87.057892,23.737829,29.104561
25.877163,18.067799,10.709980,60.586727,16.656313,26.529692
