"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
6.460857,4.492125,1.383330,15.042972,3.673687,12.469259
6.024069,3.759197,2.881412,21.107187,5.943646,13.209456
53.222893,32.014561,24.234823,257.514984,74.273277,108.278687
12.205731,7.917201,7.556767,93.546982,27.026751,35.992580
23.423115,16.026829,5.677855,10.668545,6.632880,519.793274
8.091262,5.426508,3.614068,16.553324,4.890671,9.338187
11.509254,8.546906,4.731143,33.588707,9.764196,20.041859
16.915087,11.290413,6.833941,53.830078,15.395493,35.960361
11.462718,8.364272,3.908149,26.666718,7.773412,15.794778
18.053978,12.772237,5.641094,30.667934,8.578031,4.934412
12.597370,8.598018,4.739836,23.866772,6.686921,14.464729
7.989118,5.715885,3.165538,19.511007,4.881474,5.310238
10.537060,7.636837,2.972247,6.016302,5.301507,367.839447
27.739464,18.761072,8.261308,38.345367,9.568042,45.281384
32.602325,21.956615,9.885029,11.556556,10.270090,823.898743
15.672069,11.261205,4.215714,26.444128,8.614243,25.310787
14.597383,10.518655,4.624400,3.999639,5.232539,386.897980
6.282671,4.504080,4.276916,31.785946,7.772852,26.799978
20.424540,14.886011,5.150460,31.001854,10.245981,37.021065
22.436119,15.912708,7.673271,28.723267,7.783738,50.597195
15.981285,10.991762,5.720425,6.219177,4.954971,267.622498
20.365204,14.396644,7.032425,7.293722,11.051142,888.298279
6.288933,4.396003,3.498850,2.994545,0.833986,10.073462
18.769632,12.754268,5.660181,23.676165,6.097753,23.419865
3.782404,3.097144,1.995549,30.537836,7.770936,12.119175
18.511824,12.938562,2.821277,56.746189,14.279687,42.775333
31.960100,22.104977,8.342762,52.622066,15.697930,48.198723
18.281038,12.788117,7.827326,10.914473,21.984064,1726.942505
23.551912,16.418758,6.172270,51.508976,13.308846,27.071321
37.729080,24.851200,9.115844,11.773190,11.946014,982.053955
6.545260,4.324358,2.820318,4.648005,2.901290,187.158920
27.886494,18.634108,8.978063,53.071854,15.354309,25.921383
25.335756,17.119640,8.887794,42.328293,11.235502,28.547237
17.443220,12.243275,5.272696,11.035340,6.696506,432.194946
5.168693,3.609179,2.720931,8.100057,5.866577,395.159698
67.395668,36.688812,42.301785,36.703236,32.268986,2713.643799
14.625329,10.326241,3.692244,24.934771,7.893168,18.755966
67.523262,35.925362,39.558632,62.999367,67.101273,4428.569824
22.278151,15.826477,6.669528,6.541559,5.039028,356.964142
22.247601,15.130322,6.371766,9.324474,13.225241,1005.172119
39.675583,26.309994,16.180166,22.628904,23.995249,1739.700073
9.197405,6.739807,3.758830,3.329907,2.947470,242.235626
29.793770,17.144819,19.159235,43.929695,37.815109,2769.679932
12.500155,8.800282,3.285504,4.344369,5.105278,346.823517
14.821417,10.138239,5.924121,6.109369,5.174670,271.537750
17.928165,12.226959,4.535002,9.802330,8.124221,607.604797
20.630518,13.940155,4.870984,6.187873,6.155336,476.552338
10.738147,7.688388,3.125047,4.491532,3.823435,218.625595
24.597631,16.111826,13.434966,12.900689,9.097054,590.177917
24.056877,16.609074,9.052958,8.712312,8.134076,524.714539
14.164644,10.139672,7.262393,10.281840,6.911444,383.860291
28.480225,18.397673,21.331055,29.492662,24.914349,1600.822388
12.681445,9.085452,3.648508,2.471851,2.793168,213.077805
5.478870,3.795132,3.077800,3.628662,2.347739,126.399574
9.774429,7.013875,3.544276,0.557836,3.429446,242.071213
8.629616,6.186570,3.532683,3.384264,3.920026,297.237061
8.599647,6.532013,3.614314,21.000891,5.810194,14.909009
33.690506,22.019796,13.743726,23.162104,19.610022,1393.460571
66.273300,35.377529,27.031229,46.966557,56.117161,4003.319336
