"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
19.625731,12.441954,524.039185,120.297623,11.219450,1.945939
335.460480,77.413376,362.046936,39.530148,3.348561,0.226882
421.771454,87.602333,350.354095,25.780321,2.189962,-0.321697
453.216492,92.893402,300.336700,26.321404,1.104495,-0.567378
469.016388,96.059174,291.784210,23.247202,1.707223,-0.868035
476.275360,97.818481,304.465240,23.373465,1.001618,-0.384446
480.272400,98.527985,309.171082,24.162758,1.113912,-0.944016
483.519257,99.196297,314.490936,24.579966,1.433505,-1.217988
485.030029,99.535538,315.332642,25.036749,1.682468,-0.379822
486.824310,100.861229,314.738586,24.076561,1.672101,-0.663251
487.980530,100.745842,314.562988,21.082237,1.132152,-0.694714
487.304199,100.732361,314.618652,19.868458,1.639405,-0.530491
487.056885,100.730713,312.838287,19.710201,1.716286,-0.648325
488.502930,100.716026,308.905121,22.152891,1.854277,-0.893974
490.177307,100.737740,302.950928,22.873415,1.062185,-0.587726
491.048065,101.333832,302.157227,26.258253,1.608228,-0.468490
493.183289,101.903542,303.724060,23.105330,1.633020,-0.141441
494.791351,102.389206,305.342529,21.941780,1.406672,0.034143
495.614655,102.303619,304.435974,22.666128,0.859351,-0.890058
495.674561,102.567375,302.819519,22.446447,0.970746,-1.247316
497.466095,102.666565,297.606750,21.392918,0.944385,-0.722158
497.528442,102.699257,297.703430,20.497915,1.189104,-0.471895
496.327515,102.189583,298.351990,19.776810,0.916199,-0.574965
502.638641,103.803467,296.999603,22.936241,1.193542,-0.883144
497.745789,103.362648,303.003967,21.179802,1.251053,-0.834804
504.168091,103.926727,298.868286,20.986916,1.247070,-0.597620
499.611572,102.915527,297.805573,18.689362,0.702913,-0.535976
503.365326,104.478180,294.441254,19.700586,1.216235,-1.462780
505.848114,104.355156,289.772888,19.660202,1.216321,-1.374529
500.690826,103.037231,287.622803,17.356556,1.079542,-0.797028
500.751678,102.880875,288.008026,16.769127,1.235574,-1.678203
507.380310,103.976509,284.307312,17.895224,1.056320,-1.023180
508.832977,104.811897,280.821259,14.929772,1.291250,-1.203306
501.022705,103.796013,288.415802,17.487309,1.620719,-1.527437
505.283783,103.859421,284.938202,15.324116,1.141091,-0.844584
512.331238,105.277069,282.672424,13.965858,1.178009,-1.283476
504.899811,104.762886,283.217926,16.792067,0.951494,-1.325560
499.998108,103.964310,285.155212,15.115400,1.566431,-0.718665
505.728912,104.388489,283.600159,14.387581,1.321551,-1.522205
510.019958,104.714668,280.214020,15.783591,1.057651,-1.456375
498.129913,103.748344,285.111084,14.046536,0.918294,-1.637760
497.909851,103.724670,283.867188,15.822776,0.802771,-1.083980
502.131470,103.768967,283.300323,17.796547,0.901272,-1.073743
502.992676,103.770988,289.638489,15.075010,0.801584,-0.631927
514.160828,106.009209,276.792389,17.733635,1.031827,-1.496657
503.891815,103.459259,282.180511,16.461620,0.910885,-0.917648
491.223846,100.472748,284.975769,14.663007,0.993762,0.307744
510.949738,104.444366,279.741119,16.448225,1.028178,-1.148808
507.372864,103.956680,268.732727,16.328630,0.668388,-0.929593
507.325348,103.721497,268.196869,16.930080,1.035125,-1.179821
510.051086,104.515282,269.609070,17.116280,1.006374,-0.183724
489.200775,100.016937,287.623962,17.103456,1.158239,-0.616880
504.314240,103.583138,267.110413,18.721518,1.020217,-0.165997
507.120239,104.121674,281.152252,15.495994,1.096665,-1.213550
505.267670,103.708817,283.255859,15.724430,1.270450,-1.076833
499.354523,102.576340,281.392670,17.986088,0.981789,-0.986829
498.216431,101.792633,274.782837,15.821442,0.870239,-0.840226
499.072205,102.082664,274.346039,16.059580,0.886803,-1.529973
502.944641,102.958710,276.817108,14.949782,1.277223,-1.497389
504.554443,103.524986,277.710938,14.706132,0.983614,-0.884514
508.645721,104.358040,279.689636,13.864940,0.889427,-1.222218
510.545135,104.648918,280.207733,14.058047,0.783557,-1.311617
515.195251,105.569092,279.050842,13.955584,1.161795,-1.134361
521.463745,106.597977,271.587616,17.639862,1.268943,-0.793640
523.001831,106.755592,266.673920,16.213467,1.323969,-0.844150
523.683655,107.038101,264.098328,12.116715,0.952449,-1.695620
522.429504,106.958870,264.566833,12.500189,1.193155,-1.344456
521.898682,106.925240,265.437866,14.162109,1.305094,-0.398178
521.516418,106.938202,266.510345,13.802464,1.245683,0.071914
520.879578,106.752556,268.214142,14.862144,1.315634,-0.167760
521.168030,106.376518,272.563049,15.624304,0.886820,-1.230398
