"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
14.714372,9.878477,3.270664,36.783066,10.254336,11.068056
13.337491,8.977703,4.161082,38.729458,9.900615,20.269089
7.490776,5.464268,2.326729,4.029505,2.672519,130.047379
20.241201,13.929164,6.902633,27.847713,36.066654,2310.370117
19.326740,12.791965,6.796673,37.448677,11.815902,39.001907
10.479026,7.440668,3.792793,10.297954,3.764704,190.754654
11.166101,7.753448,4.781186,33.888966,7.544433,10.494375
13.862467,9.672981,4.846520,45.665928,11.792399,19.421160
8.653163,6.197524,2.639203,12.915627,3.226651,17.910881
44.140659,28.244650,18.005281,114.750839,28.698877,73.103653
14.427513,9.971309,8.664634,6.641268,5.493039,410.865784
26.204758,17.312565,7.126082,58.952011,15.433391,17.291954
9.336029,6.690792,3.529868,7.553335,6.027130,420.377441
7.429168,5.119714,2.878115,16.058374,4.742471,9.489941
66.552902,39.504223,19.064339,33.192989,38.530067,3156.969482
8.362222,6.088475,1.756460,21.168169,6.498141,35.333679
37.688637,25.441751,15.019039,81.044357,20.291897,97.499535
27.400801,18.755791,12.619793,110.478508,30.831934,93.314232
26.050798,17.602077,12.739119,66.843338,17.387827,55.329639
9.364182,6.467517,2.200715,27.904707,7.201095,15.005925
28.241810,18.560122,7.489801,49.506340,11.960986,21.418280
10.106396,6.950354,3.936910,16.069113,5.020965,12.274763
10.160113,6.639045,17.957691,59.900543,16.972841,16.604069
29.586061,19.681757,19.911703,148.061523,44.219769,86.320297
16.507614,11.764136,5.259065,62.615379,18.415791,63.677727
6.068998,4.256312,2.127824,17.934294,5.407784,9.192928
24.267780,16.093014,5.218651,29.191235,8.481019,28.674816
32.464645,20.905792,21.957314,101.667389,28.092882,65.362457
22.701183,15.381160,6.937212,36.621193,9.498431,64.378349
12.911344,8.966799,3.343030,5.928886,4.614720,379.236389
14.584306,9.954851,4.700504,8.072373,4.359684,323.522430
23.114538,15.750196,7.033535,15.275118,37.802151,3089.380127
16.492451,11.138196,4.834315,8.935340,1.241207,6.581950
15.874017,11.007313,7.124285,36.818192,10.728539,42.074284
