"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
24.440578,15.753111,4.507440,17.477205,8.392023,63.459465
5.788153,4.155925,1.215696,5.826211,2.294084,10.625094
14.528962,9.996128,5.844035,12.372382,7.390856,34.325905
17.878458,12.418544,3.910779,7.880570,9.608224,764.139160
47.332928,21.077488,18.349449,32.619534,64.178711,5131.341797
45.434036,20.975214,17.919207,35.791267,68.148552,4916.640625
27.873302,18.648224,4.066287,25.059958,9.892879,54.635845
6.466831,4.896980,3.859959,8.970136,7.024020,416.476349
24.352356,16.634537,7.275326,7.385880,6.479444,520.324341
38.971939,25.406515,13.901758,25.674362,26.236048,1924.443115
17.937670,12.931514,4.357365,6.987995,17.960886,1592.716187
25.897350,18.563786,7.551446,12.319118,20.905945,1554.468872
16.570812,11.604122,7.930075,11.149280,10.802658,880.504639
25.287357,18.394861,5.416008,7.204344,4.277786,367.572357
25.810778,17.287426,8.001268,36.535145,10.627540,45.812828
61.475677,39.978249,14.567459,52.502216,37.242393,3048.023682
4.281383,3.163919,2.440382,2.394690,0.682203,5.384733
22.303568,15.642997,5.485096,11.175394,17.298887,1409.572876
50.543255,29.564968,13.014355,13.729884,10.453302,798.810791
49.337784,31.140980,15.122523,23.150625,30.506817,2363.239746
38.118145,25.197695,13.770193,31.247808,27.502899,1892.553345
13.201911,9.361243,3.801079,5.077533,4.195256,251.608826
8.126225,5.830329,1.532876,3.101780,5.241342,441.411652
17.089621,11.380977,16.140608,27.447260,48.741508,3386.389160
26.752125,17.745583,6.706737,6.048955,2.959662,63.499004
29.338976,20.003382,6.964119,10.878237,9.561351,735.634460
46.136555,27.231930,23.166203,57.608490,78.691299,4064.889893
22.845673,16.343414,5.014196,7.357848,6.363512,522.951721
36.806152,22.919003,20.741920,18.995346,28.865059,2416.544189
29.407650,19.632694,8.025622,19.497679,20.153061,1270.451538
11.985645,8.596819,1.626436,9.859622,3.666232,25.409340
17.366747,11.599804,12.438175,47.860233,52.686359,2986.866943
27.294582,19.316906,8.247960,11.766342,16.332737,1322.232910
22.608370,15.615467,5.776700,6.663730,5.016491,341.431305
45.396088,28.969286,36.782318,54.547073,90.675102,4097.001953
57.215492,36.505707,16.061401,17.751251,25.899233,2020.223633
34.924900,23.219917,8.825222,11.537555,4.726163,276.537994
36.982761,24.481270,15.294940,43.707806,41.672295,2692.096680
27.607725,18.771423,7.834815,12.174967,23.240368,1891.921265
11.917303,8.294384,3.240506,19.590429,9.196782,389.954651
8.827668,6.198909,5.689017,14.765010,18.315372,1368.660034
28.606926,18.214418,18.278439,28.215559,46.842300,3218.201416
13.590571,9.774824,1.951605,14.061195,6.273742,27.343512
28.170752,19.603504,6.574042,9.781179,15.453448,1296.138550
20.619253,14.197077,5.452287,4.840423,9.138787,796.652832
27.093178,19.429108,6.064887,27.417456,14.972958,634.627991
14.489532,10.217010,3.737869,6.059191,7.245558,537.272339
