"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
21.859791,14.410337,4.550334,11.296899,3.966795,135.253250
17.262289,12.212566,4.622192,8.982492,3.041154,90.754608
7.669501,5.708408,1.475999,5.652327,2.440177,115.685043
16.016146,11.029994,3.120815,10.661530,3.492259,110.742470
17.132000,11.998507,5.731473,10.482671,4.002050,173.939178
13.831904,10.034662,3.714154,10.390890,4.840628,116.526642
24.070038,16.267853,7.469208,9.342892,3.873424,220.524704
8.236207,6.041389,2.980633,5.266957,2.841857,44.528431
53.749020,33.175064,26.985106,53.117996,16.445143,519.209167
26.840092,17.807638,5.623222,17.081270,6.454779,279.559448
24.886492,17.020870,8.879105,18.533621,7.319607,281.318848
32.381489,21.798649,9.006268,14.792670,37.019783,3140.737793
30.661480,20.698359,12.458962,28.217506,9.866139,373.959015
37.533585,25.200281,19.156376,28.183069,20.577494,1813.999878
15.501927,10.878736,4.852137,16.550129,5.144261,112.244858
47.549438,32.165749,11.107346,27.448561,9.464973,324.439026
55.618317,33.101662,11.844885,22.872986,6.776721,184.724426
39.103706,26.202080,10.224879,18.778351,6.557522,255.918121
12.038769,8.263697,3.506191,6.227014,2.342767,91.953941
22.672037,15.546497,5.071036,12.091130,5.260142,186.367340
11.266522,8.199404,3.554280,6.383604,3.121253,64.526718
68.392151,42.381260,20.393896,42.956482,13.428183,395.417999
98.675392,51.606697,45.034508,66.588432,27.953697,1048.640137
39.151421,25.144403,18.914417,53.909264,19.487820,719.156433
21.047228,14.327613,5.959667,94.964577,30.054354,348.776062
12.706841,8.391443,4.226054,9.294734,2.809125,88.346603
29.811825,14.857052,8.396379,20.358652,7.072668,309.934143
39.098911,22.736847,14.761851,38.713341,13.076417,448.698700
12.846293,8.896174,3.734463,9.955442,2.674716,41.040459
17.715469,12.232180,6.749527,13.542566,4.839913,139.930939
45.128387,27.761858,15.241697,47.005798,16.369997,521.506653
8.183863,5.908277,2.672648,6.617685,1.928497,69.040543
27.795012,18.920177,7.765403,10.804802,4.165146,99.879906
12.270924,8.779530,6.266406,13.001313,4.909256,156.465347
37.957558,25.230883,10.173759,17.908478,6.081047,206.826569
23.161255,15.402802,6.299448,9.265394,4.001862,122.973206
67.535042,36.510323,22.858700,45.209324,17.201159,566.286743
40.342785,25.366280,18.240328,54.774452,29.354574,1186.961792
7.383220,5.191102,2.644644,5.358400,2.644115,49.375065
84.758408,46.471874,53.490791,118.861374,38.782898,1605.787720
75.063110,42.850521,44.068398,90.397804,37.957237,1625.784546
23.927908,14.231873,3.362061,5.338775,0.849240,5.614628
19.706535,13.787886,5.711977,9.450094,4.261300,153.523270
12.389346,8.540883,3.625081,9.516666,3.160752,64.452522
9.788525,6.842340,2.971586,6.123668,2.054133,105.373665
6.060835,4.444978,4.642237,5.534381,2.555154,78.632797
52.057503,31.518280,24.209015,38.340481,18.594587,1053.125977
14.655796,10.068758,2.538829,9.881874,3.462411,105.864494
24.790653,16.752695,6.886487,12.972178,5.172255,185.891510
21.082895,14.167665,6.429276,11.575484,4.259321,120.088577
29.735155,20.302025,9.314155,15.364776,6.153650,226.653885
49.348141,29.780729,14.510914,44.519848,15.631379,474.934265
21.639135,14.578616,5.564439,14.557227,4.995058,158.698959
5.936406,4.344449,2.377198,2.777931,1.668585,48.128815
27.214403,17.588215,9.631645,22.154949,5.037971,214.794220
18.051991,12.625779,5.262740,10.140064,3.698407,146.897293
