"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.617997,7.284483,2.909640,4.844931,1.704138,94.854271
50.587330,31.759075,16.185692,28.617207,9.696868,416.173279
37.194847,25.087072,7.917243,26.749012,6.665233,55.729996
10.061032,6.849086,2.774088,3.584024,1.626372,59.280434
6.437103,4.704806,2.485829,3.183547,2.025353,20.786270
13.427986,9.225946,3.463939,12.764356,4.318751,35.092438
11.155378,8.165436,3.351387,4.728216,1.911025,58.260384
53.267723,32.500130,18.300928,100.977707,23.355898,122.023537
38.400131,23.195816,16.136505,72.509644,19.240400,140.147964
12.431293,8.515035,3.464225,10.268277,3.101900,30.399132
55.655766,32.493282,23.377266,41.678493,14.929712,735.866272
83.175102,38.156071,61.880234,173.103592,46.052536,409.961212
10.272548,7.209590,3.615656,5.580213,1.437475,45.230350
10.460342,7.042322,5.830650,22.270851,5.671840,27.412470
10.204522,6.972485,4.076471,13.554700,3.378459,16.008665
17.573702,12.542943,4.608909,16.710772,5.182726,57.488411
13.096094,9.236917,3.401922,15.352243,4.635598,34.867188
23.779835,15.383597,5.620927,10.828669,3.115282,108.377159
12.439112,8.172144,5.808167,22.483828,5.470453,19.155724
21.335175,14.386829,5.650105,30.035107,8.806045,48.084324
13.043047,8.763979,4.011815,16.106237,4.333008,28.138334
9.945544,6.599402,3.393587,12.630445,3.970062,17.357698
7.225451,4.914802,3.448807,12.038024,3.800819,16.757772
5.622632,4.117794,2.904243,17.885479,4.457059,14.297747
12.436262,8.391944,3.461093,19.338936,5.061467,26.367123
27.655390,18.034998,6.202751,45.826099,13.650576,59.575474
11.202991,7.685421,3.266975,10.850489,3.802002,35.301933
14.577859,9.980500,2.966009,19.832844,6.131169,36.416168
39.587109,26.489559,11.369589,43.391293,11.800407,113.373985
10.741624,7.669802,3.285839,5.807353,2.008911,22.172691
15.417163,10.275286,4.543226,21.491037,6.840386,27.725613
23.547054,15.612865,6.304338,24.429405,5.760358,42.028065
24.442133,16.143078,7.701062,40.569641,11.392780,108.405083
21.485977,14.822010,4.665031,19.010044,6.760846,59.560722
8.103355,5.577562,2.331311,12.460943,3.364429,39.411407
16.802225,11.481293,2.560524,19.281136,5.592513,16.195816
50.012852,29.033516,23.959644,86.276726,24.189302,174.103638
30.534367,20.544502,10.004684,41.148464,12.171964,82.606445
27.421852,17.855896,15.434196,55.612259,15.555200,122.487839
33.921909,22.942822,5.263672,32.805351,9.321890,46.899426
21.352707,14.408136,5.635400,20.956039,5.700972,45.245350
9.965921,6.663513,2.854482,20.101448,5.478214,27.201017
21.894129,15.161177,5.976489,26.507595,6.398849,53.383728
9.604813,6.633534,3.385590,11.854388,3.039219,21.104591
24.254517,16.043388,8.397674,25.168591,7.129920,27.596178
9.992782,6.794831,2.454644,11.989923,3.563162,18.620554
8.284204,5.944549,3.040841,8.554191,2.620158,21.225702
80.512337,43.088779,35.138245,145.219482,39.436153,318.075256
9.849255,7.017589,3.076073,7.746263,3.431475,17.193110
33.629379,20.973087,11.462169,44.514477,12.026705,118.555122
10.075419,7.332055,3.337595,14.049360,3.580012,24.140730
34.535423,21.479948,33.848946,124.931747,31.398487,276.017029
44.451580,26.724613,11.955640,51.006378,14.135048,83.034012
15.265844,10.936245,3.578230,18.162569,4.431671,40.765350
