"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
29.745134,18.652281,12.700189,26.813791,9.664544,407.072327
14.788736,9.740643,4.275466,7.449033,3.570179,109.438499
7.823205,5.449009,3.170311,3.975887,1.167656,38.361515
9.424772,6.299770,3.235198,4.170242,1.483392,58.626297
8.267246,5.894991,9.877890,8.892019,8.391533,538.487915
12.244827,8.661371,3.603344,6.580475,2.202649,72.049171
23.705439,15.688019,9.449480,11.051502,5.424756,227.015991
7.821566,5.827766,2.837653,5.116828,2.076915,107.818481
22.915407,15.444350,6.227998,6.545872,2.672604,108.141922
47.750900,31.448994,18.141111,23.994347,9.203568,442.327789
15.360456,9.589839,4.232258,7.345444,2.683484,120.752411
47.437271,28.085270,44.147152,79.251579,29.227375,1521.665649
15.634293,11.054806,4.623664,4.003860,2.270333,64.643440
10.610471,7.225427,3.911145,5.642288,1.961511,47.869320
24.570427,16.173534,5.567037,9.908712,4.264935,175.063080
13.495200,9.414891,4.058436,6.048045,3.345434,137.807373
24.073376,16.210184,6.436670,7.860096,2.848349,98.714859
5.664283,3.878470,2.561157,4.373125,1.070669,33.856037
11.331018,7.653346,3.570532,7.999964,2.868219,90.309669
10.640279,7.001575,3.376725,5.628438,2.014499,90.695908
13.289687,9.206484,4.354967,2.944937,2.209757,97.312012
16.955133,11.863685,3.986953,6.128436,2.733286,94.452461
10.245901,7.035774,2.898334,4.999838,2.349573,79.894119
102.044701,54.761715,52.839973,71.120468,20.249187,723.066956
27.810177,18.691628,10.013146,15.585714,9.286523,536.326355
15.730865,11.046473,3.940094,6.156326,2.734060,125.617889
99.292908,44.977901,46.836525,66.380310,26.385677,1459.285278
6.721114,4.761995,2.873072,4.676974,1.452152,47.657963
9.532735,6.531063,2.908754,4.257694,1.595217,62.880634
10.652262,7.074709,3.267966,4.777898,2.151891,98.459618
12.629055,8.993547,3.713943,3.482719,2.154220,58.634293
36.186474,23.120192,10.493649,20.458139,6.014148,194.641235
25.557375,17.028088,5.870919,9.950498,3.310842,145.261719
24.281235,15.249256,8.461147,22.159176,8.644606,403.380890
10.694866,7.637499,3.500171,4.968797,1.913182,62.048698
12.248315,7.971771,4.040366,6.777544,2.221762,84.461571
15.240142,10.631417,3.677946,8.138207,1.973800,77.556450
13.487588,9.298776,3.384715,6.533033,3.886279,107.023834
22.878668,15.002503,9.085888,15.534994,5.217753,134.301544
10.730570,7.561962,3.540764,5.692785,1.297143,39.392982
12.616635,8.548761,3.097507,4.406117,2.255156,71.675179
17.143513,10.997009,5.639015,11.701380,4.698974,161.509186
37.443195,22.302290,19.441622,33.056076,11.145782,432.158905
15.920950,10.494008,10.913482,25.651949,9.737827,470.179443
12.111948,8.551325,2.785712,5.369449,1.968346,109.752426
22.360542,15.339752,7.408898,11.468046,3.745461,140.364365
7.104620,5.029021,2.747733,2.663419,1.011635,45.614498
38.776505,25.693760,9.598461,16.008564,5.489151,237.581146
43.185017,25.999521,27.107420,37.718422,11.634947,408.157349
25.329397,16.731144,8.270143,9.080485,4.152087,157.013138
8.709962,5.806176,3.745087,10.185329,3.522820,102.604523
17.771032,12.172086,4.559513,7.277162,2.109056,97.016945
59.128464,28.616703,37.091503,77.017990,31.203274,1218.802002
16.449003,11.195644,2.763244,11.281661,2.798126,96.402397
9.817324,6.891804,3.501381,4.529103,2.378544,63.989742
50.451237,24.314013,46.469547,77.980453,30.239052,1318.281494
27.158438,18.220245,7.724987,11.381917,4.237416,171.386215
26.434275,17.289572,12.714271,17.696699,5.869653,168.937820
19.769087,13.343837,7.482304,11.393158,3.811542,95.182045
7.038027,5.029501,2.417463,3.292762,1.966601,33.005299
34.370682,19.320808,25.063896,42.571728,15.905890,640.232056
15.716741,11.005728,3.938403,5.232613,2.710211,103.417580
16.163250,11.224000,4.450783,5.476876,2.373550,81.926231
51.134937,22.293167,31.145451,56.458904,18.301424,596.129517
7.877444,5.421976,2.590041,4.324689,2.439213,100.982559
44.454353,28.440083,33.836353,50.907162,19.732859,803.885254
25.113255,16.306408,4.036023,12.982746,3.916922,124.073936
30.458927,18.592108,15.226623,19.784794,9.204733,406.336731
18.774099,12.379486,3.548861,5.295161,2.761270,155.662643
7.399462,5.388427,2.936390,2.455064,0.808055,41.925522
23.043953,16.273369,12.032228,20.449875,6.312907,195.395554
12.470689,8.383986,4.026979,4.502189,2.285011,63.385246
5.434601,3.868615,3.262448,9.264871,2.993376,89.142906
23.430099,15.653131,5.216628,10.186746,3.715209,148.731674
5.506148,3.872459,2.309003,2.704052,0.942649,38.241093
26.376245,17.117834,7.027234,12.971661,5.230124,211.876495
13.110495,9.136385,2.739084,9.154668,2.384814,70.536362
29.392591,19.235239,7.321303,12.230398,6.097525,360.722198
75.012199,44.938179,41.553467,81.856827,30.370140,1251.691650
15.709148,10.700849,3.808083,5.995545,3.133787,119.950211
41.400566,23.875038,25.312807,41.864582,19.130138,723.564636
18.411303,12.685307,5.960004,3.881016,3.176823,112.613892
7.889843,5.151698,2.332596,6.107598,2.546020,60.817760
14.890362,10.534184,2.745291,9.864943,3.195824,137.201675
9.746491,6.982330,9.571898,12.423722,3.316859,114.625267
4.725227,3.097790,1.974883,2.662912,0.680327,34.529282
36.284542,22.307213,11.670093,17.386366,5.757893,216.019760
16.098825,10.972933,12.912026,14.788615,7.744637,326.974060
41.067059,24.847544,60.047184,86.094498,32.439529,1412.221558
61.209488,32.043861,48.365463,89.517136,29.979023,1440.676392
25.101652,16.742256,5.319600,9.716850,2.991899,103.988953
29.181602,19.334255,9.337245,8.675796,4.881090,199.372879
11.185968,7.977496,3.668440,8.475332,3.485192,134.075363
16.354725,10.310443,6.041388,18.461189,6.449133,258.873383
22.556986,15.063487,9.003815,11.475228,3.325410,100.487274
11.344325,8.242981,6.281844,7.054057,2.948833,135.802139
12.713873,8.869033,3.776511,9.096664,1.682278,64.770172
69.757492,33.233795,45.885632,53.425438,19.834478,784.306519
14.731880,9.767018,10.581298,23.701488,5.897075,192.118286
14.505889,10.032585,4.145677,7.151795,1.985726,75.658241
52.618019,33.455509,13.879407,17.931198,6.990081,384.265503
31.674784,18.821196,48.161190,79.762070,29.325634,1182.564575
12.463264,8.136864,5.625118,9.020651,3.030597,100.947433
21.958574,14.657146,6.135958,11.747986,3.517688,114.606422
14.327046,9.387730,3.090979,5.930167,2.362484,95.572350
24.271315,15.575899,6.126940,12.199786,4.699449,128.138138
11.082000,7.631094,8.748860,13.391023,5.084378,182.565247
44.341522,24.905035,33.919834,58.880795,24.220566,1044.832397
10.359265,7.277919,3.861313,4.624218,2.493171,73.511734
6.519319,4.200296,3.609074,8.140325,1.735478,2.876697
47.432262,29.916649,16.288733,25.913406,9.495689,462.898071
19.332386,13.222112,4.851750,6.986727,2.471702,93.996918
18.655874,12.266835,14.236938,12.263374,4.692452,167.301941
31.479378,20.267893,11.329482,21.676008,7.957984,307.665344
33.858997,21.333502,12.236494,24.699587,8.191916,256.060852
18.071394,11.797840,5.476273,7.866567,2.371719,106.122528
13.796252,8.947429,3.355947,12.079623,3.148374,102.994621
12.352370,8.667058,2.921625,3.831705,1.035762,42.751511
51.154675,29.126698,29.707485,42.750397,16.388483,696.369507
10.374352,7.239996,5.700062,8.325318,3.060304,73.295067
4.827917,3.119752,1.639422,3.187004,2.202165,97.786110
26.497900,17.359039,13.561740,20.819395,7.590538,319.949493
20.311811,13.026533,11.733374,14.994328,5.754456,173.039276
10.622796,7.552103,3.057688,6.245496,1.930927,73.897949
40.735397,24.643824,15.185512,14.043751,5.987927,335.552856
42.705238,24.856308,20.818638,35.771694,15.047892,628.725403
21.956131,14.823960,6.382000,10.402926,4.241596,160.416382
122.213402,53.671684,86.151154,123.168930,50.868053,2407.369385
18.464817,12.510789,5.670320,11.155390,2.809950,110.738708
