"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
16.912687,11.755308,4.089224,30.881571,7.823678,26.588524
30.795336,19.079020,8.697120,51.972973,14.186438,19.236059
25.266752,16.954138,5.054070,46.022701,11.998384,9.808429
4.810096,3.415859,1.612377,14.743606,4.292947,7.997118
13.914952,9.251925,4.251631,28.312263,7.833912,16.182318
19.329481,12.750727,8.775642,48.298435,12.636606,16.172625
25.070896,16.145782,7.290483,10.290133,3.398016,79.374939
6.406065,4.515511,3.209400,33.312462,10.727199,9.512653
13.099838,9.035659,3.482784,18.591928,5.078241,17.621347
50.396034,29.801046,12.636386,81.515160,21.739330,73.693443
17.580221,11.954951,5.697802,26.876497,7.680632,14.675626
10.748631,7.302799,1.728590,23.182016,5.542756,8.462945
13.482446,9.467892,3.140248,16.296556,3.996815,7.676680
11.975929,8.232508,3.896847,25.566538,8.481395,17.925755
14.422429,10.146314,3.836980,18.044270,5.501710,11.401138
9.209377,6.500463,2.353401,15.402504,4.939660,6.794889
23.941118,16.042337,15.279977,117.318352,30.986794,29.777102
24.083668,15.398856,8.083755,40.675720,11.894247,27.579220
5.940676,3.960718,1.979881,30.612236,8.730394,13.264953
7.072930,5.017932,3.058595,17.174065,4.345071,7.581693
12.060061,8.016298,3.679387,26.372192,6.517026,7.123864
47.881683,29.075598,30.913641,153.465637,41.627392,86.845924
16.104502,11.140388,4.396049,23.183306,6.538884,19.553030
6.623491,4.545040,2.064236,18.707613,5.486514,16.463892
16.107271,10.848609,5.559323,46.590904,13.164853,42.598915
8.138633,5.583827,2.202889,17.644762,5.046760,9.807742
13.762333,9.455441,3.038208,25.352224,7.172753,25.951050
12.354522,8.698762,3.727377,27.257076,7.728969,44.666111
21.357174,14.038386,5.257199,24.993355,8.915789,21.234167
12.317977,8.356447,3.135710,18.593332,6.212520,15.159528
14.659369,10.000628,4.514630,26.849209,6.947621,12.169400
11.736913,7.769849,2.987204,35.170773,10.868315,17.728634
10.179888,7.384534,4.140863,45.130699,12.661727,22.070248
28.892336,18.606190,7.274414,49.250294,13.073409,32.008499
49.252968,30.479906,11.042361,64.437706,16.940371,27.036495
20.862854,13.831146,6.885665,76.315819,19.944120,31.562582
18.442892,12.676095,4.171227,25.739033,7.639379,24.675333
10.274115,7.208321,3.313225,17.281548,5.283908,13.096767
17.084406,11.538758,5.661520,28.478251,8.120245,13.276215
31.048014,21.111767,9.788985,62.055462,18.200941,22.564247
9.839251,6.794002,2.775802,21.206255,5.672376,10.701406
21.482952,14.567566,6.053657,57.469246,14.535991,41.995865
17.311623,11.743208,7.742291,26.954407,7.521242,32.369255
8.107098,5.702748,2.910182,22.417028,6.492184,21.479914
9.037880,5.957330,2.456859,14.516587,3.662657,10.445738
25.277334,16.255280,7.394600,49.236187,15.762921,52.020657
21.295374,14.855682,8.870847,41.046375,10.637756,33.175247
19.710135,12.906893,4.322503,49.637432,14.125136,57.304947
12.229870,8.451915,3.973272,18.341074,5.930048,14.976920
22.341120,14.503359,9.460450,71.616318,21.466951,33.778763
24.323366,16.426292,12.431116,41.687378,11.722717,50.688522
12.466476,8.540494,3.751677,36.609489,9.908609,21.763048
23.622982,15.723025,10.740311,114.056938,32.343536,83.209160
17.671480,11.317715,5.197477,27.273962,6.522752,8.205251
6.235677,4.053669,1.728431,22.784061,7.661651,22.868727
18.302206,11.923875,5.248442,40.548313,10.743742,13.325459
31.390640,19.105255,18.827375,126.502190,37.812668,84.375793
13.823448,9.324484,3.542110,20.073740,5.798162,14.326498
7.794521,5.165127,2.295708,20.232889,5.495130,6.287867
8.796679,6.067099,1.802649,15.889291,4.014788,5.692561
21.180790,13.949716,15.191135,98.948700,29.592640,44.996033
28.073778,18.833487,13.446566,90.012543,24.475327,49.467693
21.964661,14.931886,6.338118,49.496811,12.571591,22.139191
26.306477,17.196732,12.811853,91.371025,28.742529,131.105316
8.585195,5.788187,2.983236,17.704033,4.176418,9.300274
9.567260,6.558979,1.630130,36.927303,9.760010,28.362328
40.001034,25.141247,19.513596,107.717651,27.715925,88.768623
43.477249,26.557196,24.273674,123.909904,30.730358,64.607635
40.821602,23.884613,20.777939,129.737717,33.158798,88.547874
7.613932,5.235839,3.483288,12.070462,3.674802,4.071594
43.625912,26.130547,17.501209,125.865387,35.659531,78.774002
29.231508,18.378494,7.533560,37.669952,10.606441,24.712757
10.910730,7.195031,2.862104,15.241430,3.240016,7.437045
17.503584,11.563777,4.894923,40.312611,10.496031,21.250799
4.919930,3.048485,1.758530,2.328730,0.585199,8.715745
11.263271,7.962560,3.509928,19.813250,5.927151,15.700931
17.010271,12.264437,4.876633,22.112223,7.346216,13.498107
9.210978,6.265269,2.963990,16.537668,4.317425,10.425012
10.367415,6.928537,2.226847,35.463421,9.223413,10.837078
10.200848,7.023480,4.590898,25.129831,7.508972,13.794789
10.309588,7.059852,3.647778,30.908747,9.543337,9.773207
6.308053,4.567631,2.628572,22.221764,5.450203,8.224268
40.024574,26.361416,16.687777,90.029648,25.429953,74.272171
8.785120,6.048100,2.316351,23.755438,6.634491,6.035503
36.834030,23.004059,27.994858,217.249573,63.897446,141.480453
17.386095,12.283582,4.816608,35.147945,10.367215,15.988361
17.647112,12.053308,4.603311,21.800871,6.415600,16.823748
13.292846,8.943514,4.579873,31.692415,8.209322,40.764057
11.995671,8.261239,4.234980,20.148594,5.802375,13.041743
34.661694,21.774700,13.935903,49.364811,13.539908,72.905762
14.707013,10.150459,4.819170,23.575178,6.452013,11.330829
7.713171,5.265651,2.256165,12.664934,3.000904,7.887043
19.957785,13.562213,6.395781,40.367001,11.778026,22.819126
34.720493,22.273335,10.956322,85.997742,24.632601,61.882828
9.477901,6.259165,3.860112,35.767513,9.008862,11.010460
22.135733,14.972107,8.644587,66.094032,19.148457,28.109671
22.911913,14.896255,9.413493,72.007820,22.793259,24.378344
8.991033,6.469880,2.623487,14.685037,4.571373,19.142437
14.467368,10.072194,3.711113,28.076674,7.698622,20.299343
35.052101,21.781853,11.888039,81.901688,22.499765,35.159184
12.726629,8.919375,3.556259,26.735186,6.167946,21.968761
19.921835,13.205961,5.949951,37.922581,11.349486,35.272526
10.197031,6.946678,2.862031,16.998930,5.232487,5.994484
