"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
13.838620,9.100279,5.100807,17.062563,6.040004,21.827293
14.845929,9.618572,4.482787,36.223736,10.915772,20.744497
43.721882,27.467443,7.827881,71.072777,16.677401,41.078133
16.741768,11.716640,4.028737,30.324839,8.335703,24.107378
20.023769,14.058444,12.036886,58.756260,16.959604,25.479586
9.431699,6.540400,2.927765,22.386904,6.509918,18.399538
5.532693,3.908234,5.174381,7.051639,5.092328,246.128830
7.464116,4.881721,4.875116,49.951752,16.110392,34.687840
22.314894,14.650893,7.060856,42.798428,11.265696,27.436918
31.165236,19.669210,29.264948,214.379242,59.746964,131.550262
8.640402,5.836177,2.802459,21.425388,6.390238,14.303878
5.565609,3.640689,1.557015,24.840582,6.715191,6.425481
10.458421,7.209590,3.236759,4.143265,0.722576,10.557725
6.263882,4.570398,3.671654,20.926838,7.058745,20.485096
25.464052,16.814404,5.534866,40.316963,10.402347,41.484112
31.696539,20.492771,16.951649,99.585495,28.091681,115.674080
13.978994,9.832009,4.027459,30.254324,9.428998,14.356721
29.027197,18.954155,8.980954,66.991173,17.935148,45.576813
27.805878,17.922512,16.738981,68.301735,20.454746,123.434540
19.987589,13.639149,6.572326,41.770184,11.236702,42.979942
26.715500,17.232607,12.197414,56.862656,15.585526,39.179958
5.831297,4.203772,2.499962,38.988792,11.433614,14.923466
36.128838,24.415533,11.019592,41.005749,10.939091,49.346466
5.393864,3.660030,2.939988,19.036467,6.519544,10.573121
6.813578,4.928199,2.932067,12.962033,3.731754,10.038817
19.519833,13.945642,5.931089,29.933884,8.181594,21.735840
12.650664,8.707760,3.660170,21.323767,6.418535,12.003362
17.122902,11.842072,6.107993,27.814695,8.654764,15.344507
40.923973,24.780575,16.724186,32.825077,7.539607,52.057056
19.181013,13.452883,5.208918,29.956659,8.267857,13.722580
16.768324,11.587542,4.571822,31.199371,8.370271,12.348125
17.767090,12.393261,5.289181,51.037964,13.731487,10.808407
34.833195,23.391003,8.258683,61.326748,15.124556,44.350086
8.707149,5.865101,3.878641,15.868060,4.945002,12.913532
9.315110,6.569384,2.738804,27.302258,7.853997,13.825153
12.623637,8.414276,4.251261,22.569674,7.004439,11.459608
9.102730,6.069039,3.159644,21.978661,6.134516,24.607420
8.411801,6.185982,2.880711,12.037759,3.675384,7.888725
52.232441,30.902161,20.406321,81.370087,21.388781,60.127155
8.710979,6.264965,5.413800,4.402391,1.608124,10.114273
11.930331,8.335138,3.733767,20.566422,5.157648,24.613348
21.868998,14.750671,6.436128,64.053467,17.159672,44.837589
31.398718,20.791670,7.477778,42.303303,11.152930,41.226860
7.141984,5.183949,2.484817,21.573446,6.349204,15.260288
14.996568,10.214533,8.912401,53.142609,14.672110,59.048180
28.451487,19.001862,8.659972,61.300114,15.280365,16.819008
41.898781,26.849089,9.675109,65.771172,17.636621,50.379303
24.221149,15.531404,5.991794,47.650013,14.346756,33.141346
29.030008,19.163584,7.973135,48.674259,14.430203,59.726055
29.897606,20.454288,9.088702,63.266293,18.600204,32.917309
11.769732,8.125512,3.008741,13.041353,3.722992,18.164171
13.796190,9.639127,4.759685,22.543840,6.620071,22.163393
11.501861,7.742678,5.249883,62.623493,17.312777,25.838472
14.686775,10.142788,7.881925,67.833778,20.992319,37.755619
21.992062,15.375690,6.160807,51.701748,13.423740,23.923203
31.670828,20.255175,8.272468,56.973129,16.652386,28.274008
10.565619,7.508576,3.121033,19.742666,5.388404,19.262749
31.209805,20.615988,12.800058,71.675179,21.854805,102.545097
12.055323,8.552577,3.375207,41.490429,12.029311,20.028234
12.757222,8.935750,3.561302,12.522115,2.749416,7.629939
13.459875,8.731210,6.934045,59.829403,15.666399,48.756405
11.656112,8.259146,3.384356,19.108812,5.487596,7.881990
35.322559,23.095337,13.458516,68.430923,19.298796,80.371330
45.387146,28.152542,12.422233,81.895035,22.365625,70.131538
30.085796,20.421366,11.976671,44.909534,12.912491,31.083261
34.399292,21.802509,13.547505,87.688744,21.141211,65.133186
14.597082,10.050305,5.716036,37.367966,9.811268,16.899780
6.062982,3.897894,2.118940,14.501687,4.368438,15.107991
12.222045,8.335907,3.227156,23.653780,5.256269,15.592382
23.438232,15.413451,6.031905,36.673729,10.716562,55.472866
5.546788,3.715385,2.295297,0.883076,0.808181,14.711861
50.060104,27.426956,27.700874,219.107864,60.291954,126.178444
10.685538,7.301843,3.662792,17.171659,4.276620,12.155381
8.878322,5.841731,4.158576,12.520892,4.333597,4.936792
5.956534,3.841942,4.814725,39.367672,12.112954,61.307327
12.392813,8.572912,4.164062,41.356747,12.296906,17.674053
9.625360,6.557650,5.337744,50.407944,13.676651,21.941069
12.306493,8.370981,6.617126,70.208740,19.008610,56.907776
23.771782,15.870188,6.841523,52.038368,14.595883,72.968987
20.330975,14.134076,5.055582,36.986435,11.580325,17.730310
27.542240,18.427650,18.603476,163.261673,49.452602,85.634766
14.590164,9.953983,3.668751,32.090950,9.621641,14.983642
9.108747,6.296107,3.572946,20.198267,6.592351,13.537882
23.751539,15.920537,12.550137,68.479553,21.286356,41.583881
6.046886,4.098419,2.097625,9.456889,3.470563,13.795843
42.146641,26.031750,13.827916,88.479446,25.419424,59.064629
36.563351,22.368248,11.838094,89.251640,21.596491,78.637535
10.300991,7.310824,2.974923,15.349812,3.923500,7.149484
14.919610,10.000741,2.276155,40.426716,11.553742,28.855320
5.872694,4.227092,2.905003,19.124563,5.661716,5.751680
27.557333,18.283394,8.379369,68.374352,20.056549,111.463226
7.366446,5.036769,2.706552,14.216267,4.916835,7.647552
8.547990,5.932818,7.014169,55.773083,15.552695,26.743925
14.453093,9.974750,5.347936,15.194099,3.764685,18.202467
24.422874,16.162119,6.666093,44.592945,12.540464,9.216062
28.673489,19.626038,10.764263,90.318398,24.174198,77.981064
8.681839,6.061416,2.482543,26.365063,6.958236,11.342153
30.102015,19.775543,8.789495,53.711399,15.595123,55.784611
14.406601,10.209523,6.978204,35.082691,10.529623,18.072432
18.198345,12.489250,7.069616,32.273365,7.822881,14.323437
7.014582,5.013125,3.134468,38.681156,12.659234,12.435576
20.443712,13.297514,5.717608,36.835930,9.851771,24.709887
38.099556,23.975487,19.987450,124.469772,35.615715,155.476395
34.948299,23.018963,9.067045,73.954964,19.670843,31.388548
15.592419,10.791538,4.013199,50.604237,15.405825,33.640610
