"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
17.037796,12.228331,5.651279,4.130032,1.360987,9.831281
20.418571,13.936810,5.919735,25.457350,5.464663,9.463383
7.912567,5.311680,4.206915,22.634764,6.765319,38.147045
7.744759,5.597866,2.945664,10.650806,3.942646,5.255478
7.706050,5.269381,3.822691,20.573477,4.849206,9.801840
17.910406,12.216669,5.873151,22.079496,5.294589,17.706085
7.630924,5.479889,3.880413,8.495736,2.722436,2.712695
15.985718,11.107307,2.537395,40.668777,10.155279,6.317053
9.410957,6.624770,2.328222,26.745358,8.045074,9.793198
4.063396,3.128682,2.327535,10.993899,3.159092,9.609855
29.318869,16.807247,44.095055,304.021606,80.514595,187.095093
17.447239,12.124576,5.617644,24.511728,7.122684,9.235037
13.160741,9.010128,5.953378,25.654591,6.763476,25.491976
10.195829,7.316980,3.099734,12.912816,3.323395,11.284338
13.006928,8.986646,5.953082,33.643375,9.998428,13.402857
26.238283,18.371799,10.170827,59.072140,14.111820,23.030256
32.326889,20.589457,30.639593,148.934784,37.771187,65.021652
24.455416,16.344902,6.614636,40.336143,11.829906,60.471748
12.889499,9.331812,2.012051,6.266333,2.042510,0.911489
4.413504,3.369983,2.161396,9.142169,1.989478,2.856208
35.880508,24.343203,17.051580,74.956757,19.588964,33.853954
26.684916,18.943762,7.275491,49.855263,12.491665,18.119066
5.409607,3.724617,3.706171,34.571655,10.081211,25.915636
13.343547,9.824580,3.676335,29.381062,7.402445,18.215395
8.475719,6.286232,2.553170,18.960039,4.536016,6.096147
14.129491,10.497156,4.787251,2.481743,0.886045,7.134018
17.808662,12.476681,4.596688,11.515346,3.723363,4.993772
61.475266,34.364044,43.447193,231.228622,63.705601,111.598572
19.426943,13.550105,5.407327,3.707222,1.048319,6.374981
8.671989,5.792971,3.171455,16.791784,5.476173,7.931895
16.811218,12.167376,5.329616,34.545101,9.367556,11.290074
5.166986,3.649975,2.837075,10.142139,3.104507,7.098078
6.919946,5.065198,2.475147,7.312518,3.260798,9.041203
12.235179,8.993153,3.149444,13.287273,3.919121,2.840599
14.380173,10.521410,4.747671,17.404474,4.665545,5.507298
24.973526,17.554291,8.458445,40.002499,11.208048,18.172514
10.850659,7.884835,4.128333,18.397015,4.661823,4.139847
25.851774,17.614815,10.054728,61.787613,16.829535,24.363583
16.741255,11.691346,3.366692,25.025284,6.282953,21.200874
37.946793,24.499218,49.480202,236.076294,65.109077,114.539635
40.955254,24.723080,25.044920,122.915009,34.818829,111.033974
5.397714,3.703308,1.424683,6.339634,1.431883,1.539701
28.442608,19.616743,8.707405,43.154030,11.295911,9.692643
15.327583,11.379018,3.621507,43.006134,11.003199,9.433857
31.614405,21.856987,13.845207,46.619152,11.519403,58.783669
29.380856,19.795319,12.599068,76.252235,18.640392,41.554531
28.644541,19.402800,14.565021,104.965538,30.547707,37.125065
18.644934,12.998446,7.006951,35.832726,11.043921,13.163480
23.489536,15.501475,5.849883,42.204418,11.513413,43.358429
