"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
20.093956,13.007154,5.009044,11.983809,0.027787,14.202376
16.886845,11.372757,4.367239,9.045416,0.152357,9.288539
31.262070,19.995607,4.744559,22.994486,4.103809,502.294373
13.129698,8.572253,3.069891,11.302135,0.156955,11.403058
14.680169,9.424539,2.317652,17.666731,0.226414,29.286825
16.111477,10.724584,5.396779,6.409809,0.120548,1.280369
15.820060,10.279846,13.532104,26.240204,8.385281,1017.493591
26.436558,17.521605,12.942406,7.576245,3.054594,401.059113
13.939618,9.429656,2.494735,3.250634,1.647652,188.494141
17.933176,11.977662,3.525039,4.450410,1.073252,175.537292
20.538559,13.221183,3.702042,4.558821,2.611164,335.203491
6.734232,4.737629,1.901161,4.669198,0.110324,7.786998
13.605000,9.329694,5.763898,11.480725,0.223018,13.704238
14.102575,9.692889,5.510678,15.008607,0.306287,29.530853
20.199617,13.857805,7.578268,6.312203,4.210364,523.977905
20.945032,13.723471,4.430971,12.171407,0.245183,10.921731
44.391418,27.530399,15.690125,28.486206,7.527411,933.001038
17.428926,11.387870,5.715173,5.620444,1.752609,248.721588
20.076616,12.544532,16.849308,19.065969,7.248455,880.480713
17.822237,11.356134,4.116881,16.856058,0.092887,8.787328
6.684636,4.627908,1.570547,15.193541,2.706779,373.668091
10.920644,7.218291,2.707124,13.455360,0.175720,14.588125
36.406754,20.828190,50.530670,91.553024,23.656464,3371.330322
26.138363,17.740812,7.149755,24.709707,0.114799,7.573077
8.183226,5.435105,7.625121,7.190997,3.956374,495.947327
57.773590,35.324459,13.496017,10.878434,8.592402,1066.921997
8.405141,5.649095,2.299598,4.914114,-0.044793,6.654479
25.637266,17.050396,6.764532,27.422216,0.163492,29.612680
37.362129,22.191528,37.718281,66.767311,0.916418,105.928192
80.317894,32.209518,61.136299,134.899643,39.313110,4719.876465
15.385937,10.217741,8.487332,7.188598,2.002228,238.538132
7.291829,4.787574,1.420327,4.130907,-0.015949,10.975876
30.110107,18.088522,9.505252,18.967907,0.978953,76.748131
17.546688,11.522420,4.829299,17.190714,0.205181,10.555369
35.012470,22.365070,17.418562,34.469135,0.685592,54.160580
13.558594,9.303714,2.743820,12.632203,0.150473,4.930436
26.672789,17.749590,6.948082,13.980751,0.774503,73.575363
19.161509,12.495883,8.354854,19.083187,5.220016,673.810059
11.841660,7.846747,2.969619,9.040546,-0.069320,9.620921
12.873946,8.497651,10.342052,16.944036,5.680359,702.460205
15.432024,10.343870,4.118210,8.455669,0.251127,14.459932
24.024927,15.935957,7.106695,10.196836,0.579200,42.025963
24.031357,16.073212,8.476618,17.379725,0.303993,18.906591
16.125658,10.694721,3.510895,9.764775,0.219918,8.914118
4.719474,3.129803,4.954762,6.036997,0.311913,7.771087
67.407890,35.204174,19.689272,31.084944,0.667312,64.799812
10.112383,6.757056,4.043454,10.932398,0.241699,10.129821
7.998418,5.559319,7.446383,5.352760,1.681883,193.701111
13.383292,8.955458,2.665317,6.156019,0.281591,4.716734
15.638083,10.834176,4.470839,12.085863,0.248742,11.902312
29.564486,17.341995,19.213654,26.439140,16.328096,1845.129639
16.878908,11.573551,3.853780,4.192722,0.281148,13.291502
40.739895,24.691803,13.887553,27.156481,11.114145,1436.215576
23.221140,14.286909,5.770702,25.291378,0.612118,16.198458
15.551510,10.462129,3.173378,13.839631,-0.017578,4.468470
17.565214,11.404636,4.300833,3.283229,0.076347,4.238165
21.450901,14.049017,5.982035,4.694947,2.711464,404.633209
5.086240,3.645842,1.238606,2.785874,0.104458,4.666778
16.363510,10.892776,8.712972,9.739688,5.693948,795.454651
12.824557,8.326406,3.667365,8.645743,0.019461,12.226369
26.306608,17.100508,11.792693,14.106595,0.021746,11.357097
17.790712,11.669920,5.861343,15.903385,0.231356,31.931334
29.392355,19.220284,6.424357,19.639280,0.529541,57.926212
20.987459,13.631629,5.873160,33.588955,5.584687,643.599243
8.616726,6.109157,1.771229,6.485309,-0.094834,11.475832
42.767471,23.732233,39.483109,72.464737,1.381585,101.665550
41.077209,25.932674,21.395763,14.296776,4.259026,475.666138
4.889021,3.307671,5.372550,11.350039,0.370796,8.498235
37.202053,20.042904,16.898129,9.516528,2.051456,262.661591
4.397608,3.108661,1.274542,-0.949519,-0.008631,2.545647
20.148563,13.345675,4.143771,12.866414,0.028027,11.385791
8.273153,5.493523,4.629613,5.075186,1.295114,172.656555
14.062198,9.565131,3.722597,14.244137,0.217849,9.704887
16.697035,10.379945,4.589206,10.232973,0.169068,15.160138
16.531790,11.204582,3.656499,9.544893,0.194693,4.643767
7.791374,5.167158,2.165080,1.413924,1.164925,187.726761
17.533751,11.269798,3.716204,6.324535,0.177519,3.579087
6.133500,4.331543,1.670369,6.334102,0.202808,19.574938
28.898268,18.555033,6.834284,20.772120,6.493241,814.977966
9.311406,5.883647,3.913002,3.641351,0.112197,11.354649
31.964897,19.625359,18.825413,31.125786,1.394673,119.446243
15.860696,10.267175,4.813397,10.510318,0.101410,11.828235
12.186781,8.208471,10.196345,8.510315,0.139019,14.910397
14.714853,9.560057,13.499936,15.480732,4.956109,590.183594
16.292723,10.587345,6.358248,12.553638,0.208346,19.646227
26.672667,17.619709,10.178919,8.079571,10.071225,1287.664795
34.017651,12.745096,9.962291,36.969715,4.944732,592.699158
25.420967,12.570243,8.941742,25.770334,0.448743,42.008331
24.302773,12.398041,9.156128,23.260483,0.693072,34.606934
23.046341,15.091278,8.700131,9.005602,3.042830,362.761383
42.097111,24.874598,22.577000,24.625366,5.734761,728.432251
29.461836,17.649227,39.879414,32.766045,11.893876,1351.275879
10.237988,7.155866,3.999819,21.329737,0.170936,21.136557
8.430644,5.796096,6.454327,9.084524,3.200148,426.634369
24.833570,16.080917,7.191305,4.556773,2.848582,301.387299
26.302761,16.676292,10.206884,27.888828,0.730760,80.973801
15.247882,10.342468,4.007019,1.898454,0.829819,134.053192
38.491875,24.308626,13.097619,15.065722,6.368086,752.155823
21.204042,13.883791,3.757299,12.931334,0.076432,7.237882
14.966785,10.138977,5.512876,7.187962,1.923950,223.793945
24.734570,16.304823,9.140355,18.285856,0.662178,47.154350
28.526850,18.606844,10.393031,6.263660,1.549071,195.406952
18.357630,11.959030,8.860546,23.194176,0.431000,50.077457
17.394617,11.582316,4.342928,10.686451,0.226849,15.681605
32.457970,21.361862,9.049439,20.062185,0.685145,50.151363
28.900808,18.821545,7.592544,5.386851,1.390385,173.251373
10.051913,6.522251,3.510369,6.629720,0.287833,19.196148
6.181787,4.151858,1.712369,5.812423,0.311940,2.766403
42.636509,23.262356,18.835888,55.693481,1.137596,93.989853
22.371532,15.054055,10.504394,5.146137,2.392743,242.812653
27.656786,17.530169,6.800373,19.999825,0.093359,12.210381
17.943521,11.771720,2.284534,17.378330,0.185060,6.497887
7.424860,4.918379,2.774437,6.827736,0.215528,6.036940
34.008976,20.738007,30.160967,38.329590,0.634063,59.714306
13.665743,9.261183,3.182341,9.386250,0.328874,11.373142
33.434223,21.215059,9.605371,6.078379,4.683449,632.808716
16.870899,10.568281,5.316730,20.493217,0.483160,49.845379
21.744373,14.199540,12.008457,36.270329,0.645511,56.070259
16.184147,10.828316,5.160441,7.266765,0.126290,12.146486
14.327762,9.699328,3.512296,19.025934,0.072337,4.576574
20.764521,13.216439,4.557901,5.126349,1.383672,160.385422
16.621006,11.762259,4.545005,9.751232,0.309732,14.206409
36.241695,22.992996,17.574972,9.649118,6.176144,738.587952
12.405327,8.388823,7.517287,3.201083,3.852956,458.529816
24.562376,15.738935,6.275982,14.832875,0.201096,21.949888
68.729416,36.051781,30.377443,53.923286,18.617502,2724.402588
46.902504,25.158281,12.493544,21.586977,3.186392,388.943787
18.823584,12.239449,13.547389,34.332230,0.225640,27.063971
23.930922,15.844083,6.170595,15.081995,0.406267,37.928394
27.894497,17.131273,5.801080,36.881622,0.726276,70.640884
48.073051,23.658653,46.172413,96.327042,1.686993,164.568054
7.689394,5.295829,2.163535,4.695285,0.162479,4.066919
23.043249,14.374693,5.757435,27.223270,3.968053,515.310303
16.058338,10.965333,3.770726,21.455713,0.479333,29.832834
24.903324,14.660576,21.775908,57.090324,0.489678,53.784389
38.515381,23.754597,14.363838,34.643059,1.113871,93.335960
20.713409,13.586608,5.651147,11.516504,0.442969,51.536995
18.607523,12.064372,5.078011,4.206651,4.762044,529.402771
23.464180,15.894769,8.605542,22.331573,0.644681,74.344368
17.329023,11.425215,3.772626,6.079156,1.102222,130.882004
15.050727,10.008843,4.062935,7.227185,0.261389,27.795870
34.574368,22.159044,8.799953,8.492755,3.616161,426.744720
26.544090,16.525637,20.108459,48.763817,0.557601,82.761177
16.404661,10.941145,19.503847,29.471443,13.702988,1699.573242
11.834456,8.101583,7.765164,33.445648,0.283134,39.568047
13.393268,9.306881,2.830306,8.671983,0.131484,12.937401
8.071537,5.635640,2.648013,3.077066,0.070352,0.046578
29.169350,18.974110,9.990049,7.010350,2.400540,309.452087
19.127192,12.856030,6.981712,15.354375,5.432330,687.466797
17.034336,10.953360,5.157179,3.100010,1.671405,237.570801
22.963564,14.146658,5.402758,5.125877,4.426193,455.055847
35.522915,22.525911,6.852875,8.439056,9.302195,1134.672974
39.800545,25.078588,22.214897,48.933155,7.383193,942.827759
14.352418,9.597687,12.545980,8.710442,3.333736,477.506561
32.746304,19.803297,13.455035,33.038830,1.672975,194.832596
13.963022,8.939723,9.156255,15.627396,0.456399,26.307053
20.776712,13.573030,4.631844,8.712889,-0.059122,5.730066
19.833344,12.732456,5.178503,11.045457,0.147554,20.729467
17.458580,11.398243,5.468251,13.434692,1.671797,233.914307
17.428095,11.619576,3.502357,8.127052,0.081414,7.447200
21.808004,14.253995,22.808027,26.962917,3.269227,401.188812
32.673744,18.722197,15.315325,17.108515,7.664443,968.629211
25.938063,13.737632,17.391151,16.303951,9.277549,1066.525757
