"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
6.757505,4.660597,1.570377,6.305983,0.081404,11.117777
10.048831,6.718826,6.783599,14.481525,0.084442,8.088624
19.698570,12.503542,6.403125,18.129440,0.259001,10.205860
27.223942,16.674669,10.990977,37.452274,0.689555,54.663044
22.183041,14.475198,8.362127,18.373587,0.265733,22.682213
9.666657,6.650487,3.555913,7.540397,0.145570,9.812671
16.745853,10.905457,7.930867,18.423752,0.034693,19.732298
11.563074,7.557616,3.037473,11.612078,0.248614,5.728575
24.445066,16.311369,6.823452,25.317820,0.342960,33.445690
16.038692,10.909547,6.188040,8.837855,0.440565,42.670788
30.611492,20.118155,10.132564,18.881947,0.205527,17.507429
13.232669,8.643879,3.820666,9.105392,0.174665,15.226034
28.489206,18.393414,7.197271,26.543531,0.458935,19.383438
15.199945,10.013324,3.741302,9.387395,0.470714,10.902513
14.212335,9.356462,3.514064,15.624443,0.148558,8.853493
12.312621,8.306601,4.677611,13.498135,0.345269,32.183590
28.188221,15.765874,15.758039,49.935154,0.873731,66.067505
25.210608,9.755179,15.133974,43.339375,0.959071,63.867779
15.447641,9.813209,4.320693,19.145124,0.407066,8.591473
10.019111,6.519097,1.496774,7.581594,0.067866,7.134977
21.122030,13.706888,6.042244,26.148075,1.080382,91.498497
54.361511,31.342436,64.620995,191.332123,1.380326,143.807678
22.820087,14.038029,13.366620,49.320450,0.711442,62.894585
17.992083,11.591520,3.657471,16.172466,0.361439,30.049601
32.450489,18.572924,21.712215,49.861912,0.738498,41.362343
19.987577,12.146358,5.807272,14.669434,0.212269,6.934821
4.637620,3.238206,2.346067,3.632991,0.237593,4.729321
18.981552,12.350689,5.334733,14.457122,0.417281,21.356577
16.494213,10.381226,4.268134,14.885945,0.247987,10.981503
13.782197,9.077195,3.772763,9.593505,0.211039,8.096299
7.050209,4.968718,3.454440,13.770828,0.325788,12.041512
20.453129,12.813697,10.749764,30.308159,0.387969,34.676483
37.373486,22.635641,8.382859,30.341131,0.460651,28.580908
13.929296,8.745320,4.457551,3.637925,0.280245,10.738187
12.057045,8.113363,3.206360,9.412315,0.138694,5.236422
5.337250,3.413821,1.764408,7.352706,0.268431,6.166740
7.148883,4.901690,7.641534,13.444757,0.113221,9.616274
44.819252,25.618441,15.396614,20.401274,0.499698,61.143311
5.228840,3.482734,1.403990,9.688745,0.134426,4.804302
7.097558,4.774506,6.889088,10.240536,0.534966,42.232494
13.158645,8.817991,3.939485,6.760065,0.233255,15.878970
12.943987,8.367599,10.373785,29.270895,0.389752,39.485134
11.449124,7.772432,3.958453,11.377414,0.343313,10.367773
22.273794,14.570454,5.326740,15.455107,0.559495,21.041355
12.018598,7.982099,3.267599,10.332804,0.315487,13.651704
14.162176,9.538892,4.047270,9.214859,0.234798,11.927833
21.593668,14.569556,9.541031,29.682890,0.731406,81.952568
16.913216,11.266106,4.086355,10.701334,0.269957,11.555001
