"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
4.712892,3.256789,2.406810,4.162701,0.181490,0.096200
19.635633,12.700272,7.226837,10.890666,0.306060,0.868889
21.614502,13.937868,20.386560,23.263054,0.444875,4.364486
4.318562,3.185901,2.204863,4.191256,0.353552,0.031647
62.732140,26.041359,162.426544,168.883621,1.080719,64.004684
10.438748,7.047215,8.242079,8.154129,0.145570,1.741479
18.018375,11.271667,12.831503,11.683055,0.191971,2.878298
7.266529,5.207763,3.205474,3.418927,0.227167,2.103142
4.249155,2.975188,1.615409,2.993271,0.071298,1.625560
26.654949,18.142212,9.387215,27.681967,0.390523,22.688332
12.231426,8.399405,6.633131,5.470505,0.355656,1.711117
36.810055,23.628010,12.345842,26.047531,0.807351,74.717911
9.079685,6.369488,3.890862,4.466157,0.298083,0.550246
7.529074,4.855854,3.301639,4.731584,0.123987,1.483008
11.002437,7.525408,5.648039,7.382728,0.116388,1.375555
5.899972,3.759480,1.907376,3.218092,0.184416,2.170978
5.676036,3.711431,2.078439,4.533752,0.083767,0.655623
6.880585,4.872367,2.934214,2.878303,0.329959,0.515191
5.424750,3.953834,1.593352,1.865987,0.206894,1.309659
13.886716,9.509821,5.139187,3.697345,0.346676,0.771298
11.742550,8.183207,5.166492,5.693030,0.143864,1.151346
7.928790,5.158354,2.528399,2.578027,0.107805,0.424439
11.989360,8.270206,3.354453,17.514910,0.225310,9.507632
34.241749,21.723356,9.487476,29.868097,0.239906,22.750507
6.771299,4.717942,5.201612,4.391229,0.202324,2.445660
5.725333,3.784542,2.558054,2.082329,0.054991,0.109705
27.378572,17.550951,9.262719,21.843912,0.580744,83.185349
4.926628,3.531109,2.496582,2.998554,0.252854,-0.137610
8.222825,5.651001,3.281572,4.560760,-0.052271,-0.364585
16.970650,11.243943,4.952347,5.407261,0.189592,0.846204
4.583806,3.412321,2.450006,-0.270839,0.290043,0.113792
25.443127,16.719946,13.570044,12.775344,0.016221,3.118051
10.943653,7.804097,4.118484,4.212327,0.267628,0.696575
10.447736,6.639607,2.252087,10.172092,0.344586,1.773607
24.903790,16.536213,11.188213,12.725316,0.274525,1.598210
83.854660,42.476322,218.868652,200.681137,0.640179,38.654900
10.079971,7.190508,3.584480,5.365423,0.170413,0.775721
7.208389,4.652865,3.161109,3.742210,0.006417,0.557444
24.595467,16.025457,7.169654,28.247066,0.270257,23.612633
28.051262,14.997895,35.695961,53.908134,0.477775,9.477342
4.679936,3.324827,2.034278,5.388799,0.154616,0.462006
8.440120,5.956710,4.164884,7.622245,0.153835,2.598232
12.121130,8.169160,4.240839,1.403627,0.193184,0.242696
8.590618,5.750873,7.639440,11.857557,0.094811,1.510014
13.255375,8.928144,4.700972,1.655967,0.286891,0.900859
19.245110,12.712720,7.174955,4.301280,0.056073,1.318261
9.647698,6.634986,3.675281,3.265074,0.238125,1.839175
14.954390,9.465569,5.405344,5.082701,0.262808,0.258029
44.238354,26.777721,17.831911,63.748711,0.335208,18.493076
6.022686,3.967721,2.372609,2.730881,0.066443,0.426066
10.562457,7.179643,3.675313,11.202851,0.090899,13.045767
32.327888,20.789860,9.219101,10.703721,-0.008386,2.653224
10.335220,6.991607,4.425858,1.227039,0.253673,11.053145
9.859670,6.443892,5.338188,4.652842,0.394073,15.781179
15.959002,10.706269,9.982796,9.007752,0.061061,2.132255
25.043064,16.195894,9.187171,8.803368,0.097794,2.107810
9.762294,6.572210,4.620152,2.930570,0.102081,1.236726
4.657300,3.096525,2.285933,3.454305,0.083011,-0.413061
27.408709,17.698196,6.679083,27.428265,0.330626,19.416183
4.953514,3.199453,1.912287,4.433443,0.040908,2.485295
11.894235,8.158858,3.839437,3.589025,0.121831,1.130919
6.345171,4.284666,2.304718,1.113155,0.002588,0.144692
16.302546,10.705879,5.083921,6.554680,0.229283,0.456034
5.631417,3.927039,2.066320,3.754674,0.092607,0.334450
11.126022,7.635036,5.013298,3.464761,0.098189,1.030788
9.796309,6.581355,4.778312,2.871877,0.105490,0.587326
32.462673,20.286922,37.977859,30.979361,0.271907,7.045513
4.924766,3.124565,2.409291,3.144436,0.131304,0.631541
10.464810,3.990658,4.787731,1.710996,0.232037,1.684338
10.853150,3.810565,4.620272,0.344449,0.195116,1.101550
8.552894,5.838350,3.750576,3.596179,0.246072,2.980713
15.057549,10.101678,8.583008,4.691551,0.233488,2.599967
20.367611,13.715522,8.040590,10.464107,0.428745,1.498833
6.895763,4.642641,2.952086,2.787030,0.043961,-0.098958
10.197781,6.657464,3.284752,2.413484,0.069586,1.963439
4.216877,3.152998,2.150782,-0.802264,0.053257,0.643120
4.894329,2.999535,2.243511,1.088433,0.131050,0.590807
12.589043,8.329346,4.008090,3.864165,0.063403,0.710320
10.461008,6.988871,5.862020,7.162601,0.220555,3.110570
16.188740,10.827495,7.694820,9.585520,0.115771,1.402831
8.351767,5.434685,3.154817,2.847683,0.140025,0.512643
10.098605,6.574548,4.012710,5.179654,-0.102337,0.420990
27.235415,16.753395,16.466013,38.032120,0.371361,30.504013
38.299385,21.553465,44.176273,48.923885,0.352996,8.810926
6.505748,4.331241,2.776601,1.600205,0.161877,0.679007
