"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
36.164894,20.880690,11.464586,29.400215,0.124298,18.531191
33.636940,18.117142,6.919431,25.604176,0.070144,23.295366
8.735586,6.110109,1.649044,19.354097,0.094574,15.020224
8.111103,5.734118,2.383588,6.915671,0.139083,-0.247164
19.133993,12.903543,10.946489,24.902502,0.008369,7.873089
22.645658,15.698949,5.117968,12.068421,0.116974,7.711727
15.905848,10.676575,10.550974,22.285973,0.342100,5.520268
16.277836,11.173948,4.313569,10.976392,0.019846,2.539231
21.667681,13.915740,11.945706,40.986816,0.535983,38.356457
40.005699,25.908936,11.353189,26.910191,0.340480,6.544124
18.340242,12.351432,7.526755,19.219143,0.305613,14.120038
46.908009,19.920124,17.064178,39.341244,0.614328,18.904144
47.523407,19.537823,18.546303,35.102074,0.491106,20.698231
6.989325,4.871112,8.656237,27.787842,0.538629,36.231281
15.802987,10.897600,10.144757,19.794352,0.080643,11.911069
11.336783,7.558919,3.222791,11.162893,0.184416,7.845134
13.657889,9.128301,6.653795,9.740314,0.119512,9.365613
36.566788,23.930593,14.765800,27.518944,0.426471,27.512230
16.552162,11.690040,4.274225,8.408422,0.260511,15.567600
21.947208,14.285822,16.856390,41.597443,0.150079,11.624477
24.328354,15.949929,11.550544,25.115744,0.526335,44.377827
23.381342,14.511992,18.992535,32.294697,0.383041,45.054638
39.595203,24.581852,20.268974,39.595634,0.207438,22.966959
7.808340,5.228606,1.645029,8.182414,-0.013883,0.786379
14.131189,9.738084,3.521598,6.869485,0.248792,5.420130
15.094090,10.422115,6.461406,20.412928,0.087162,2.147168
51.013149,28.689867,40.997108,76.291267,0.276912,44.469814
23.821421,15.493999,12.576665,23.901621,0.013363,8.565304
8.859086,6.078248,3.117146,7.150164,-0.055845,4.325110
9.499949,6.361131,2.972075,8.484840,0.057336,1.704084
34.838352,22.058561,10.038665,25.068895,0.164936,16.003923
33.850346,21.816381,13.888174,22.526426,0.069839,14.218145
25.970840,17.447653,6.495525,24.636698,0.214011,34.873878
14.322492,9.630330,5.100961,13.605669,0.005009,11.272840
9.097361,6.099202,2.927550,7.871941,0.049331,3.563199
7.038711,4.970218,2.465009,6.518898,-0.013954,11.951010
11.502621,7.922931,3.130519,7.990638,0.073902,3.882285
14.414576,9.596713,11.135813,29.681498,0.138673,16.716461
9.067850,5.985175,3.126897,6.182780,0.052213,5.441757
6.025208,4.255707,2.170751,10.689961,0.209687,2.385795
8.518947,6.285032,6.963510,13.018464,0.086700,4.742615
12.865348,8.764327,4.590249,9.434918,0.221750,6.634759
10.920099,7.833467,7.268438,15.629428,0.275397,18.378265
17.705585,12.006977,4.933546,14.943318,0.148428,6.111254
17.601963,11.918866,5.197827,10.374938,0.111741,1.901718
13.368637,9.050611,6.292055,13.629837,0.038200,14.589479
8.789819,6.451880,3.864729,8.519939,-0.165793,2.468286
9.964392,6.932610,2.427788,5.854297,0.230637,3.174819
5.791060,3.950574,2.172036,6.384895,0.324485,2.224650
17.782784,11.963326,5.335867,6.563128,0.134358,12.996886
22.122381,14.839555,8.089818,11.918794,0.022984,6.008781
24.521185,11.451481,7.921558,12.796780,0.088125,28.455736
26.420460,11.386138,7.653630,10.977218,0.278694,31.702620
39.449360,21.672163,17.945440,43.020760,0.397648,39.121841
104.213341,40.064178,56.769394,118.939880,0.507873,60.786533
22.069082,15.066746,6.731492,18.283411,0.222902,7.268863
10.226979,6.602728,3.944571,8.700924,-0.051623,8.670432
24.738827,15.974942,8.995266,25.250072,-0.077842,7.645538
37.796196,22.703079,20.122768,39.210224,0.198370,16.663771
70.381111,29.505606,26.079464,62.690334,0.666445,36.637554
61.072170,32.359299,41.961449,63.013641,0.325578,35.693649
16.318020,11.395262,6.376070,8.311223,0.041907,9.253533
11.269651,7.440498,3.200161,4.009252,0.225708,4.538293
21.330610,14.180945,5.844564,14.076229,0.181969,10.152283
12.784590,9.038844,4.251929,13.759423,0.116061,4.290976
35.618481,22.542048,10.193676,23.388805,0.094766,13.421679
5.746877,4.234676,2.350842,8.016412,0.211140,1.436408
8.556457,6.115288,2.577292,8.299770,0.377945,11.556908
4.602635,3.441342,2.085411,7.058857,0.121228,8.449602
18.616959,12.324969,9.074096,28.953825,0.320223,10.323709
4.199156,2.939180,3.965046,9.071742,0.020878,2.827009
11.633182,4.822136,5.015659,14.774748,0.187020,10.310294
8.057042,5.872504,3.458084,5.315703,0.203551,11.702401
28.585814,19.687807,11.495134,24.003542,0.354942,23.605694
7.445418,5.314691,2.291041,6.736943,0.201842,1.802586
10.343565,7.455976,14.961781,41.344204,0.178364,43.097443
10.799398,7.241478,2.693897,10.679889,0.113178,4.919657
11.702567,8.085205,3.064423,4.970395,0.081275,4.831848
22.035233,14.831888,8.886045,22.513033,0.410004,12.571399
19.641703,13.757182,6.593875,16.377693,0.319518,4.096464
15.872508,10.561639,8.016133,19.823002,0.493900,27.262777
12.650797,5.750574,8.116233,18.316095,0.201496,7.302059
27.778740,11.321264,16.458864,26.162601,0.460723,11.628600
25.245321,11.177488,14.672371,19.510849,0.449507,9.819740
21.761703,14.859806,14.801210,38.654102,0.186899,17.984316
6.519650,4.405597,2.415111,4.147564,0.229754,4.451789
14.293575,9.845926,5.215358,8.163523,0.239040,4.035227
12.681458,8.755546,3.851657,13.056873,0.105591,4.567265
34.196980,22.865572,18.864462,30.604568,0.607284,34.027103
37.930550,24.612762,13.318382,28.393950,0.272595,11.359617
9.018712,6.258875,1.115717,7.105726,0.303834,1.876754
12.904764,8.799130,3.491032,9.123384,0.037916,4.689624
12.461325,7.277936,4.636079,13.041873,0.181659,5.648530
13.799539,6.620071,5.560703,15.479208,-0.070288,4.702232
27.056908,18.095078,10.422649,27.917427,0.543031,55.492859
30.935310,17.896996,11.622385,31.113411,0.019435,17.846817
5.425163,3.628601,2.991862,11.354863,-0.113848,5.748286
11.440077,8.103791,3.296346,3.807077,0.233496,9.493174
54.761425,33.842289,20.864843,41.785240,0.069283,16.636959
12.872129,8.674133,3.053622,8.008609,0.065212,11.878174
25.149214,16.701551,6.681101,10.342717,0.133152,4.640699
5.121042,3.409091,2.750755,2.636331,-0.052304,1.877520
12.495454,8.571579,4.950046,7.845523,0.037805,4.394805
18.416924,12.467326,12.757296,26.156586,0.412723,35.810665
10.560597,7.384811,3.094327,7.070115,0.177567,4.711009
5.895342,4.325696,2.259393,5.428938,-0.025117,5.484159
24.778843,16.501499,5.626471,15.131060,0.073364,4.400858
24.890707,16.572514,6.008915,11.547639,0.297642,5.332924
18.694525,12.489651,10.843311,29.099621,0.272568,32.610043
29.120182,19.723244,11.862703,20.534060,0.097916,5.533081
