"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
22.320866,15.006056,9.570102,10.271073,-0.029405,1.540297
15.188958,10.716629,7.505648,1.997543,-0.097858,0.096798
22.937065,15.128054,10.356520,10.208842,-0.009087,2.351607
23.127567,15.820177,7.266351,3.333376,0.121210,1.776002
10.973415,7.425636,4.927035,2.565826,0.026242,4.727643
64.485146,27.982275,209.064499,177.700760,1.214344,80.887398
43.633224,15.574646,90.405251,91.914146,0.681677,32.689129
25.954000,14.240965,26.990181,37.405876,0.159251,4.599966
4.592307,3.371917,2.380351,0.966531,0.031979,1.361047
5.086432,3.859987,2.095240,-5.124876,-0.027694,0.867552
14.747873,10.230460,5.653718,1.024819,0.259145,0.853237
5.819161,3.944172,3.316662,0.352390,0.174665,1.311804
24.821772,15.738385,18.910900,18.359892,0.151529,5.530485
11.024932,7.358295,4.188114,0.775791,0.077519,0.239083
16.836016,11.431658,5.004630,0.111277,-0.151699,2.197690
5.456735,3.851033,2.443551,2.227957,0.166544,-0.424107
4.968286,3.558843,5.517105,8.856418,0.051597,1.785164
17.167990,11.738822,7.109227,7.692821,-0.048937,1.530348
15.762197,6.791968,7.276803,0.396868,0.235490,2.582180
15.995670,6.122369,6.568986,1.527625,0.082164,2.058117
28.635624,11.723246,15.110744,9.440918,0.136715,2.645486
32.049500,12.879301,15.668251,12.910020,0.150699,2.855097
20.396578,13.214054,6.707331,5.969615,0.025139,0.968888
33.376720,19.465055,23.263588,21.425524,0.003989,5.363863
6.063549,4.016038,3.271383,-1.302629,0.066493,-0.971559
27.465425,12.573605,25.120283,27.601759,0.054991,7.466796
5.259583,3.634935,1.877808,-0.288233,-0.084112,0.390587
9.916626,7.132183,4.097957,6.872674,-0.011659,1.778321
8.894831,6.322388,3.474595,6.312823,-0.209549,0.564785
15.776767,10.725144,6.403593,11.022538,-0.110666,10.743853
15.721939,10.950163,5.620586,4.329118,-0.003065,3.940869
12.632128,8.236060,9.455797,14.450644,-0.069567,3.815768
18.114094,12.442769,8.733161,20.468138,0.188990,20.090851
32.366554,16.527302,114.552071,128.882355,1.788683,54.482529
66.611023,21.388508,151.226303,155.271698,0.982275,45.117748
70.943581,23.372318,200.270554,175.946457,0.826053,47.323467
8.871791,6.488604,4.874874,15.170314,0.141817,3.754918
20.169518,12.953647,17.176714,19.888494,0.256632,7.041130
11.934598,8.273993,4.942742,8.079915,-0.208726,1.137392
11.058102,5.201752,4.565664,13.580215,0.434881,5.461080
14.238142,7.139524,5.426476,-3.414929,0.583555,7.380736
76.820251,33.514084,269.095886,220.571014,1.033161,55.056431
30.193789,16.012177,71.566498,95.877281,0.371909,19.037735
13.373296,8.955219,5.576955,22.612822,0.051917,3.032750
54.490776,34.196697,74.864784,75.795723,0.923152,17.705273
63.919178,36.852123,163.198181,177.317383,1.114124,37.643723
8.446667,5.933082,5.494700,7.122742,-0.019239,1.210063
22.110533,14.409416,10.091511,10.831246,-0.051748,2.188257
14.577175,9.596327,20.316185,12.022327,0.070695,6.617651
12.628357,8.850533,4.485137,3.756761,0.152231,0.547599
12.935924,8.552934,11.885934,1.223902,-0.066379,7.775032
35.544937,22.407291,17.179506,16.670761,-0.058429,3.873256
16.125906,11.111480,6.617025,2.159982,0.132140,0.174299
8.937449,6.352339,2.739528,4.078256,0.022326,0.549656
7.172888,5.182587,4.388707,2.252712,0.161147,0.974118
4.904346,3.347995,1.684301,-0.473568,0.154986,-0.151272
14.773740,10.264837,5.088411,1.554388,-0.019452,0.779191
4.571512,3.340666,1.803376,0.390961,0.068713,0.480564
11.151893,7.657913,5.974906,2.227492,0.173349,0.965252
5.225176,3.535146,3.202681,-0.059175,0.098099,1.362903
6.060655,4.130537,2.670576,-1.204376,0.086086,1.745732
12.593393,8.465574,4.781845,1.445583,0.016886,1.102657
22.550766,15.008858,8.454672,10.940229,0.164942,3.968336
31.710953,10.671424,30.444256,31.764566,0.171246,9.862535
78.348015,29.180445,54.852516,56.656998,0.405595,27.503262
18.332209,12.745906,6.826499,9.864504,0.048298,10.188686
26.614792,17.418270,14.725752,9.848090,0.035990,3.839745
8.199006,5.688042,2.341375,2.404516,0.195645,0.560051
14.561185,10.002622,6.389106,5.989520,0.039014,2.113278
11.332133,7.320086,6.521904,0.605387,0.002093,2.159601
104.327980,37.118866,185.070526,187.406601,2.247790,48.967018
128.605042,37.079216,193.792023,191.237732,2.399634,62.263020
74.313927,32.483829,84.313217,83.641243,1.100750,43.562366
54.601006,15.537416,89.948204,104.322166,1.380823,48.857925
45.099174,15.599113,86.591988,99.027802,1.320660,45.624439
33.320435,18.167646,155.124985,152.929657,1.361523,34.314159
25.647861,16.640892,18.743391,22.820284,0.231136,6.496928
45.831871,19.468262,152.728638,120.103333,1.400265,33.343468
84.739067,28.137552,135.609131,125.431778,1.114180,37.140331
90.545441,25.811626,274.137848,263.603729,1.252461,85.589127
13.534788,9.096795,5.299516,3.716286,-0.038700,0.634176
17.068876,11.518395,7.730187,5.961771,0.026345,0.878526
17.369801,12.084204,7.980156,11.823345,0.199785,1.878563
