"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.00634503,0.004699,0.00328942,0.0201165,0.00636557,0.0138845
0.0180281,0.0132693,0.00538961,0.0422937,0.0108717,0.0107902
0.00471142,0.00366114,0.00375226,0.0237909,0.00486815,0.00225179
0.00548144,0.00426284,0.0026324,0.00520132,0.00162387,0.00164123
0.032135,0.0207096,0.0145852,0.0911985,0.0229422,0.0111545
0.0134864,0.0096822,0.00466349,0.0259019,0.0071334,0.0061492
0.0146818,0.010032,0.00657457,0.00767349,0.000137735,0.000441578
0.0301728,0.020093,0.0100541,0.0455396,0.0117173,0.00696195
0.00675399,0.00498277,0.00378677,0.0144432,0.00299901,0.00298504
0.0448095,0.0260897,0.0739285,0.370089,0.0986161,0.182876
0.00545985,0.00412321,0.00182575,0.0203207,0.00665529,0.0194255
0.0329165,0.0211708,0.00839292,0.0501986,0.0125617,0.00694693
0.0106727,0.00738823,0.00352949,0.0313848,0.00767916,0.00637707
0.0242369,0.0149902,0.0151327,0.155814,0.0405991,0.0152439
0.013253,0.00980293,0.00902105,0.0773366,0.0203921,0.0238286
0.0214073,0.0142057,0.00687225,0.0454492,0.0130075,0.00741043
0.0269539,0.0167923,0.0231869,0.124257,0.033887,0.0449932
0.0089738,0.00631763,0.00258367,0.0730882,0.0192995,0.00184052
0.00770861,0.00530495,0.00302243,0.0274483,0.00731096,0.00521091
0.0147065,0.0100035,0.00672201,0.0640998,0.0158145,0.00660902
0.0161104,0.0111881,0.00715409,0.0251268,0.00831158,0.0157586
0.0153061,0.0106591,0.00686137,0.0337778,0.00837581,0.0108838
0.00769544,0.00559701,0.00289707,0.0171386,0.00472887,0.000643176
0.00429656,0.00330336,0.00115702,0.0167581,0.00456308,0.00296398
0.0258114,0.0167916,0.00859571,0.0229056,0.00521278,0.00638104
0.0244003,0.0165527,0.00698082,0.0607887,0.014786,0.00657111
0.0144061,0.00983486,0.00881501,0.0274964,0.00656578,0.00655885
0.0231259,0.0157588,0.00699678,0.122098,0.0323214,0.0102098
0.0141527,0.00995068,0.00456572,0.00448758,0.00158226,0.00189263
0.0121193,0.00829187,0.00485189,0.0354167,0.00858613,0.00752067
0.0239869,0.01461,0.0165258,0.127116,0.0366284,0.0310721
0.0102776,0.00374679,0.00448007,0.0273361,0.00715931,0.00881696
0.0172257,0.0118735,0.00546596,0.0462956,0.0124706,0.00199644
0.0375803,0.0250547,0.00993102,0.0828801,0.0222672,0.0250386
0.00481981,0.00365575,0.00540921,0.014301,0.00405915,0.00221356
0.0545097,0.033627,0.0427084,0.218107,0.0609445,0.0767599
0.0175729,0.0113765,0.0173604,0.0179357,0.00292195,0.00456308
0.0116995,0.00818677,0.00374319,0.0287806,0.00830316,0.00253904
0.0156981,0.0109313,0.00608065,0.0282842,0.00760368,0.0141033
0.0251865,0.0165402,0.0123752,0.0425069,0.0112122,0.0200754
0.0148162,0.0105794,0.0041812,0.0315222,0.00813604,0.0128258
0.0201658,0.0142585,0.00531503,0.0686324,0.0180927,0.0120004
0.0267969,0.0178138,0.0125244,0.117339,0.0323774,0.0277854
0.0317523,0.0210999,0.036143,0.215589,0.0551433,0.0208427
0.00745305,0.00532422,0.00308612,0.005023,0.000262183,0.00043167
0.024505,0.0167315,0.00605498,0.0565274,0.0188377,0.00999125
0.0244317,0.0150995,0.0239333,0.178831,0.0466376,0.108986
0.0210034,0.0141741,0.0103171,0.111674,0.0291073,0.0188876
0.0370554,0.0190715,0.0153248,0.118241,0.0313544,0.0437177
0.00471324,0.00341234,0.00277665,0.0219479,0.00686615,0.0133342
0.0127262,0.00841651,0.00487255,0.0362706,0.0103575,0.0291993
0.0168529,0.0113447,0.00764812,0.0244651,0.00644607,0.00400102
0.00661873,0.0049264,0.00253061,0.0179402,0.0047418,0.00636943
0.0282659,0.0172688,0.0286734,0.138501,0.0386276,0.0762263
0.0110292,0.00795426,0.00402471,0.0435073,0.012739,0.0115915
0.023485,0.0153993,0.0134115,0.0993339,0.0265559,0.0170249
0.0206032,0.0139546,0.00680892,0.0289,0.00480291,0.00216868
0.0209414,0.0137736,0.00560384,0.0593668,0.0142271,0.00509101
0.0462953,0.0298109,0.0124689,0.10742,0.027038,0.0375489
0.0112895,0.00795211,0.00612156,0.0289984,0.00670044,0.00216394
0.0110818,0.00755026,0.00434069,0.0379774,0.0108818,0.00173042
0.0267502,0.0174665,0.0110653,0.0485639,0.0118778,0.0232525
0.0187306,0.0130888,0.0102083,0.0933387,0.0225496,0.0138285
0.0217651,0.0148916,0.00883796,0.0427565,0.0116093,0.0194891
0.0371139,0.0231261,0.0242606,0.0989419,0.0251257,0.0568924
0.0211081,0.0142662,0.00939504,0.0366717,0.00743347,0.0176723
0.0228621,0.0158053,0.00755492,0.0471041,0.0139389,0.0255014
0.0078844,0.00579257,0.00271539,0.000565151,0.000367698,0.00904384
0.0392118,0.0247204,0.0128959,0.0718015,0.0200471,0.0262511
0.0138766,0.0094032,0.00486223,0.0460083,0.0127597,0.00208426
0.0118701,0.00777573,0.00560166,0.034497,0.00953791,0.0102343
0.0427295,0.023422,0.027813,0.134187,0.0340625,0.0439066
0.0140531,0.00970295,0.0227584,0.126214,0.0368337,0.0111704
0.018888,0.012683,0.00638764,0.0283954,0.00623391,0.00704898
0.0226964,0.0146817,0.00794807,0.0470102,0.0116696,0.00709449
0.0194601,0.0135734,0.00475065,0.0495317,0.0128237,0.00903324
0.0117988,0.00849213,0.00375038,0.0191856,0.0041418,0.00555348
0.0130308,0.00850802,0.00567429,0.0553646,0.0115646,0.00771106
0.0135363,0.00929124,0.00655909,0.0480226,0.0121271,0.00417828
0.0220772,0.0144915,0.0156984,0.0896987,0.020289,0.00856405
0.00883463,0.00631742,0.00321297,0.0044874,0.000685294,0.00115211
0.029463,0.0149172,0.0115657,0.0475472,0.0102655,0.00577531
0.0315916,0.0149886,0.013081,0.0491444,0.0100735,0.00625155
0.0201334,0.0139678,0.0044762,0.0485193,0.0129336,0.0204256
0.01074,0.0075768,0.00550334,0.0167108,0.00532232,0.00410929
0.038203,0.0209006,0.060855,0.351507,0.0870756,0.068636
0.00483406,0.00356289,0.00219716,0.00223255,-8.79603e-05,8.89523e-05
0.0184361,0.0127344,0.00394367,0.0683526,0.0210614,0.0026271
0.0137996,0.00927097,0.014506,0.0934327,0.0250995,0.0587195
0.0047982,0.0034107,0.00235223,0.00210422,-0.000257735,0.000605243
0.00648532,0.00481676,0.0033133,0.00738912,0.00259148,0.00183692
0.0223648,0.0156929,0.024859,0.079924,0.0223629,0.0228505
0.01717,0.0115469,0.00278785,0.0580087,0.0133686,0.00339366
0.00420798,0.0031175,0.00292452,0.0800943,0.0195931,0.0334178
0.0180173,0.0124383,0.00803116,0.0985028,0.0248105,0.00800261
0.016814,0.0114735,0.0128946,0.12479,0.0345828,0.0106802
0.0178615,0.0123102,0.0077415,0.0732482,0.0224681,0.0373662
0.00792411,0.00559388,0.00192874,0.0200992,0.0063231,0.00779637
0.0105736,0.00779753,0.0120459,0.0500737,0.0133309,0.0309615
0.0196744,0.0135965,0.0118519,0.0766832,0.0220335,0.0169186
0.031085,0.0209037,0.00853893,0.0822144,0.0212804,0.00804128
0.00832667,0.00614029,0.0042086,0.0210788,0.00503337,0.00364067
0.0401227,0.0242935,0.0349571,0.220151,0.0563439,0.128636
0.00902213,0.00631309,0.0137099,0.0489636,0.0127067,0.0148885
0.0196358,0.0129854,0.0103516,0.120533,0.0296191,0.00748296
0.054867,0.0326644,0.0503979,0.29716,0.0699974,0.0331307
0.0222787,0.0136018,0.0196214,0.138074,0.038595,0.0548478
