"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.02544,0.0133355,0.01234,0.0936158,0.0226818,0.0186677
0.0204373,0.0119876,0.0100365,0.0578978,0.011564,0.0141095
0.0130543,0.0089712,0.00396673,0.0346625,0.010496,0.0077358
0.0431709,0.0258388,0.0174308,0.149845,0.0401653,0.0513756
0.0104449,0.00719032,0.00373298,0.0199098,0.00631656,0.00223435
0.00626588,0.00425007,0.00264032,0.0208181,0.00584254,0.0117878
0.0202009,0.0132058,0.00613848,0.0464868,0.0108954,0.0056397
0.0146667,0.0100832,0.00463521,0.030679,0.00907746,0.016018
0.0379165,0.0222557,0.0134236,0.0772398,0.0195903,0.0094972
0.0284097,0.0145846,0.0120325,0.089219,0.0266894,0.01346
0.0365151,0.0204501,0.0153945,0.11891,0.0317703,0.0143313
0.00860989,0.00582043,0.00418216,0.0170685,0.00468888,0.0023068
0.0271869,0.0181609,0.00779744,0.0595508,0.0151101,0.00600149
0.0159583,0.0109009,0.00453076,0.0259926,0.00739923,0.0104736
0.0135818,0.00888741,0.0117949,0.0994814,0.0292946,0.0128624
0.0399518,0.0230558,0.011369,0.0785446,0.0224479,0.0522351
0.00732273,0.00473782,0.00191153,0.0210839,0.00488731,0.00288663
0.0217419,0.0150762,0.00603664,0.0248354,0.00771769,0.00771956
0.00689362,0.00463356,0.00167841,0.0299141,0.00854378,0.00545475
0.0304414,0.0190367,0.0157083,0.132118,0.0341397,0.031914
0.0075674,0.00523715,0.00230707,0.0239048,0.00523452,0.00387516
0.00664155,0.00492184,0.00301521,0.0154535,0.00250186,0.00141631
0.0294999,0.0197266,0.0248445,0.139724,0.0338016,0.0243354
0.0156992,0.0103529,0.00702634,0.0563986,0.0117794,0.00244925
0.0172898,0.0116952,0.00434206,0.0440397,0.0104928,0.0126886
0.0116394,0.00834344,0.00357075,0.0163589,0.00515796,0.0012697
0.0102739,0.00711879,0.00436834,0.00144814,0.000498402,0.00178452
0.0260677,0.016476,0.00770454,0.0517473,0.0120167,0.00642989
0.028297,0.017046,0.0110356,0.0756357,0.019957,0.00751976
0.0394821,0.0183779,0.0174627,0.107058,0.0273209,0.0144777
0.0155546,0.0111462,0.00488719,0.023174,0.00616413,0.00165125
0.0143275,0.0094078,0.00515923,0.0271791,0.00817912,0.00790836
0.0153562,0.0100882,0.0114568,0.0518317,0.0144963,0.0212945
0.0229356,0.0153349,0.0121043,0.0345164,0.00939599,0.0154846
0.0295017,0.0132535,0.0147887,0.115097,0.0277873,0.0376476
0.0290771,0.0132565,0.0146057,0.114499,0.0262339,0.0353219
0.00951241,0.00620374,0.00482101,0.0310561,0.0083629,0.00590765
0.0337292,0.0221791,0.00994137,0.0760155,0.0186874,0.00532973
0.0215352,0.012625,0.00644524,0.0381122,0.0100243,0.00693794
0.0324034,0.0202786,0.0162142,0.0877792,0.0222945,0.0314062
0.0166142,0.0113271,0.00466019,0.0245513,0.0059291,0.0100665
0.019097,0.0134193,0.00560099,0.043621,0.0103961,0.00512707
0.0245414,0.0167,0.00693391,0.0384636,0.0121589,0.00526228
0.02159,0.0142792,0.008555,0.0407277,0.0107802,0.00383536
0.00614121,0.00424085,0.00293599,0.0298802,0.00617798,0.0012538
0.0485435,0.0317309,0.0183941,0.0623532,0.0206361,0.0118868
0.0102945,0.00718014,0.00378033,0.0264355,0.00795751,0.0280667
0.0122995,0.0082995,0.00462648,0.0233496,0.00744902,0.00446233
0.0244482,0.0158214,0.0124009,0.0613881,0.0157132,0.0127975
0.0162696,0.0116063,0.0028124,0.0330981,0.011298,0.0103261
0.0145242,0.00940833,0.0121216,0.0985542,0.0269152,0.00957267
0.0249205,0.0166395,0.0144039,0.0808121,0.0213492,0.0120401
0.00953909,0.00634547,0.00310253,0.0163762,0.0065624,0.000847694
0.0120413,0.00840341,0.00872058,0.0715303,0.0147637,0.00355035
0.00700072,0.00494828,0.00352428,0.0262675,0.00768649,0.00835545
0.0137302,0.00940264,0.00505432,0.032787,0.00674668,0.00374205
0.00823191,0.00573016,0.00384209,0.0222386,0.00624199,0.00468231
0.0135315,0.00921119,0.00523209,0.0651203,0.0184486,0.0276435
0.0050492,0.00330641,0.00441917,0.0162098,0.00478072,0.0012757
0.00868371,0.00604477,0.0061716,0.0420043,0.00964912,0.00139185
0.0106135,0.00713827,0.0028251,0.0173634,0.00396051,0.0051592
0.0154298,0.0104627,0.00470272,0.026461,0.00681267,0.00177327
0.0251182,0.0169493,0.0102727,0.0367154,0.00886959,0.0128427
0.0314413,0.0192098,0.0144785,0.155363,0.040729,0.0199867
0.0050471,0.00339652,0.00232036,0.0194466,0.00413367,0.00333048
0.016615,0.0116875,0.00746481,0.0622359,0.0160438,0.0104117
0.033968,0.0154543,0.0214168,0.150311,0.0408982,0.0736439
0.0136072,0.00956149,0.00396646,0.0309301,0.00783691,0.00994437
0.00464995,0.00306816,0.00182927,0.0147761,0.00339101,0.0024067
0.011714,0.00789258,0.00521253,0.026046,0.00824563,0.00468918
0.0101936,0.00736374,0.00484387,0.0223838,0.00641138,0.0038977
0.018977,0.0128476,0.00589418,0.0397867,0.00939461,0.00531458
0.00715793,0.00507953,0.00457849,0.038562,0.0105723,0.00539253
0.010899,0.007846,0.00260582,0.0256204,0.00789404,0.00425514
0.00997477,0.0068845,0.00217168,0.02271,0.00579578,0.00591185
0.0343121,0.0177391,0.0121284,0.0636386,0.0158391,0.0136267
0.0292745,0.0176016,0.0107564,0.0482223,0.00990288,0.011983
0.0675026,0.0299771,0.0159688,0.106713,0.0301387,0.0235721
0.0183654,0.0125719,0.00457882,0.0386838,0.00895282,0.00633236
0.0538938,0.0290637,0.0135251,0.0785478,0.0194856,0.0180169
0.048029,0.0291903,0.0125067,0.0654976,0.0144892,0.0128293
0.00714746,0.00534998,0.00425944,0.0211721,0.00589831,0.00145889
0.0396807,0.0248305,0.0151899,0.124672,0.032002,0.0183963
0.0193506,0.00772699,0.0066352,0.0400745,0.00848281,0.011607
0.00535328,0.00389943,0.00254365,0.0105476,0.0024949,0.00167046
0.0177747,0.0120048,0.00604366,0.0338995,0.00692228,0.00868227
0.0126443,0.00888821,0.00339104,0.0339743,0.00910851,0.00658444
0.00773045,0.00521182,0.00790422,0.0315796,0.00828443,0.0101963
0.0205733,0.0134366,0.0056555,0.0467176,0.0143179,0.0223951
0.0356783,0.0237812,0.0113814,0.0741536,0.0199702,0.0231699
0.00660328,0.00449633,0.0029344,0.0178943,0.00425362,0.00129359
0.00713385,0.0051796,0.00182493,0.0169758,0.00675908,0.00430597
0.00431256,0.0031393,0.00122937,0.0124791,0.00494018,0.0121823
0.0289113,0.0190935,0.020797,0.118187,0.0297813,0.0106951
0.0149539,0.0101038,0.00353444,0.037284,0.00836394,0.00620945
0.00811725,0.00565989,0.00290748,0.0223462,0.00618501,0.0123767
0.0262151,0.0158045,0.0328202,0.1697,0.0418137,0.0410732
0.0174716,0.0109802,0.0118587,0.118547,0.0276482,0.0139436
0.035856,0.0227969,0.0177723,0.131807,0.0310743,0.0164544
0.0376648,0.0247812,0.0155479,0.104691,0.0283562,0.0506005
0.00910544,0.00611794,0.00740939,0.0336439,0.00864225,0.00505054
