"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.00858624,0.00572134,0.00296057,0.00588783,0.000914267,0.00189102
0.0058069,0.00425136,0.00182941,0.0131135,0.00345806,0.00214746
0.00949767,0.00587367,0.00370936,0.0141844,0.00281639,-0.00105105
0.00791567,0.00559035,0.00313998,0.00854824,0.00278915,0.000869143
0.0110561,0.00790749,0.00449793,0.0238303,0.00589919,0.000704469
0.00695575,0.00484516,0.00374127,0.0159577,0.0038444,-0.000665983
0.01001,0.00678186,0.00484451,0.0136735,0.00352636,0.000505919
0.00591987,0.00451377,0.00234038,0.00241351,0.00123265,-0.000443862
0.00908813,0.00606614,0.00315766,0.00385066,0.00216973,0.00119779
0.0147015,0.0102663,0.00451894,0.0112868,0.00261913,0.000361354
0.00943826,0.00670194,0.00309112,0.00617203,0.0025028,0.000261577
0.0233904,0.0154182,0.00965829,0.02469,0.00474964,0.000984239
0.0049857,0.00349724,0.00201391,0.00707374,0.00193061,0.000791585
0.0101355,0.00725401,0.00363714,0.00656558,0.00141931,0.000201181
0.0119483,0.00783455,0.00425982,0.0144927,0.00386029,0.00168417
0.0103729,0.00637789,0.00276873,0.00617458,0.00170976,0.00143144
0.00619676,0.0042648,0.00199017,0.00322542,0.000780209,0.000598951
0.00458074,0.00306751,0.00171865,0.00572942,0.000512385,0.000396427
0.00965671,0.00681557,0.00378737,0.0102159,0.00328374,-2.92934e-05
0.00919106,0.0040068,0.00692933,0.0153749,0.0035751,-0.000270176
0.00564789,0.00400119,0.0020926,0.0165819,0.00496643,0.00473387
0.0149022,0.0103692,0.00476672,0.0175918,0.00432486,0.000908733
0.00488946,0.00347603,0.0015888,0.00372301,0.000889863,-0.000429173
0.0110273,0.00783522,0.0048316,0.0121799,0.00316188,0.00159137
0.0100443,0.00685816,0.00462087,0.0123513,0.00243897,0.000294539
0.00679591,0.00466608,0.00267713,0.00800362,0.00153342,-0.000238742
0.0144883,0.00804958,0.00576954,0.0201909,0.00599598,0.00129124
0.0160091,0.00860247,0.00588154,0.0175041,0.00309286,0.00149808
0.00522005,0.0036488,0.00203497,0.00445906,0.00190754,-0.000237769
0.0187285,0.0129153,0.00595284,0.0130228,0.00406486,0.00142093
