"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.00938335,0.00631643,0.00354678,0.00559673,0.00310186,0.00138344
0.00440928,0.00332057,0.00165783,0.00580595,0.00132051,0.000345913
0.0139479,0.00945948,0.00500333,0.0188072,0.00405317,0.00317401
0.00483803,0.00374404,0.00209623,0.00566428,0.000866072,-0.000196057
0.0125253,0.00862465,0.0039832,0.0114875,0.00286802,0.000103954
0.0160457,0.0107808,0.00514247,0.0143912,0.00292932,0.000442111
0.0174628,0.0111916,0.0103492,0.0414205,0.00924728,0.00252194
0.00869011,0.00620749,0.00230463,0.0110951,0.00219776,-0.00130889
0.0142318,0.00907212,0.00392975,0.0116833,0.00301331,0.000704514
0.0160777,0.01019,0.00362531,0.013454,0.00347701,0.000840336
0.00652505,0.00436735,0.00330559,0.00826572,0.00101581,0.000225832
0.00524272,0.00337903,0.00301687,0.0139763,0.00225465,0.00182067
0.0126959,0.00897514,0.00395843,0.010346,0.00138728,-0.000423745
0.00726517,0.00528562,0.00273636,0.00813699,0.00349966,0.0011663
0.00490294,0.00382149,0.00275853,0.0130784,0.00294522,0.000468839
0.00635154,0.0040433,0.00256141,0.0106884,0.00197428,0.000952459
0.0129347,0.00891873,0.00373452,0.00856175,0.000537143,-0.000494846
0.00620714,0.00445606,0.00302691,0.0121037,0.0021495,0.000560854
0.00708664,0.00460305,0.00307247,0.00762015,0.0017753,7.07926e-05
0.0137843,0.00972885,0.00476319,0.0202108,0.00513358,-0.000413156
0.00520108,0.00383334,0.00208545,0.00517953,0.000648439,-8.96081e-05
0.00607678,0.00425046,0.00217163,0.00955855,0.00200143,0.000651369
0.00704488,0.00492562,0.00229655,0.00178206,0.00122587,0.00148676
0.00488992,0.00321181,0.00214358,0.00472276,0.00257566,0.000569067
0.0115563,0.00827722,0.00394886,0.0206049,0.00441209,0.00500918
0.00834367,0.00571893,0.00332769,0.00158528,0.00104729,-0.000160103
0.0184738,0.0123678,0.00441838,0.0130939,0.00380839,0.000397612
0.0106938,0.00785479,0.00587439,0.01053,0.00287124,0.000504375
0.0133663,0.00695996,0.00600266,0.0373944,0.0102399,0.0108851
0.0175811,0.0100924,0.00787592,0.0445307,0.0103605,0.0136143
0.00890962,0.00637024,0.00264241,0.0112274,0.00232602,-0.000150298
0.00830447,0.0058525,0.00301453,0.0119433,0.00300456,0.00325223
0.00845384,0.00616668,0.00360722,0.0111878,0.00179671,0.00127439
0.0173916,0.0118406,0.00460502,0.00545523,0.00231216,0.00101917
0.0125264,0.00884374,0.00914814,0.0227429,0.0065459,0.00111262
0.0149043,0.00988436,0.00446846,0.00886483,0.00194092,0.000579368
0.00539101,0.00399122,0.00439922,0.0130469,0.00384774,0.00117509
0.00730292,0.00501294,0.00239918,0.00673433,0.00169941,0.000644556
