"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.00624852,0.00459219,0.00364687,0.00325615,0.000263709,0.00142276
0.0125484,0.00467861,0.00499641,0.00596728,-0.000616865,0.00607214
0.0215151,0.0128317,0.00651892,0.0118561,4.2582e-05,0.00312754
0.0374696,0.024023,0.0145927,0.0133936,0.00199561,0.00211664
0.0142232,0.00976906,0.00989542,0.00352869,0.000573192,-0.000492987
0.00993689,0.00673725,0.00449906,0.00228368,0.000327091,0.0103839
0.0130054,0.00867395,0.00379361,0.00667716,0.000659612,0.00226815
0.00722099,0.00497153,0.00325545,0.000150857,0.000324725,0.00428413
0.0315574,0.0210503,0.0134594,0.0111877,0.00110453,0.00304581
0.00490737,0.00370505,0.00256011,0.00192706,0.000574515,-0.000764613
0.0120977,0.00859403,0.00570765,0.00207209,0.00103011,0.00212389
0.00433122,0.00318066,0.00247355,0.00140441,-0.000326142,0.00658185
0.0194624,0.0131103,0.0128804,0.00944009,0.00190201,0.00315433
0.0181996,0.00841368,0.00832688,0.00697896,0.00165522,0.00822679
0.0185897,0.00902473,0.00764129,0.00509324,0.000779077,0.00612358
0.00598337,0.00381442,0.00305469,0.000290622,0.000794693,0.00116335
0.0245911,0.0164413,0.00876027,0.00937688,-3.47763e-05,0.00141751
0.00817669,0.00520374,0.00492854,0.00536116,-0.000395537,0.000757452
0.00567472,0.00400795,0.00195008,-0.00106897,-0.000648212,0.00454559
0.00902663,0.00617355,0.00683639,0.00733364,0.00065116,0.00254295
0.0191881,0.0130039,0.00618183,0.00947101,0.00217832,0.0014653
0.0145376,0.00972836,0.00689712,0.000517856,-0.000286245,0.000562006
0.0167925,0.0110444,0.0103392,0.00199653,0.00034654,0.00226242
0.0567952,0.0303877,0.0648331,0.058596,0.0103116,0.0163973
0.0248713,0.0139688,0.0106975,0.0117627,0.00254621,0.0179104
0.0118002,0.00811456,0.00422846,0.00781567,2.49793e-05,0.000858628
0.0183416,0.0125357,0.00771407,0.0076409,0.000641382,0.00290333
0.0139859,0.00838885,0.00505941,0.00320559,0.00182034,0.0065794
0.0180525,0.0120717,0.00467295,0.011546,0.000820893,0.00255391
0.0282295,0.0116641,0.0333549,0.0276401,0.00570913,0.0232261
0.00826979,0.0058667,0.00330011,0.00243255,0.000846183,0.000804092
0.03388,0.0216759,0.0191999,0.0165947,0.00391248,0.0104394
0.00906508,0.00596832,0.00319973,0.00963633,0.000366907,0.00317245
0.0135132,0.00913979,0.00516979,0.0100314,0.00171165,0.0206556
0.00839788,0.00577672,0.00350043,0.00446977,0.000952912,0.000401292
0.0408158,0.0202451,0.128997,0.137342,0.0279122,0.0470837
0.103715,0.033639,0.155179,0.188115,0.0340667,0.0566224
0.104326,0.0312123,0.192906,0.220756,0.0356596,0.0687949
0.138986,0.0575164,0.292534,0.275971,0.0474028,0.125451
0.111807,0.0352933,0.343073,0.335298,0.0578298,0.181195
0.0850443,0.0304616,0.110258,0.122138,0.0196389,0.0718774
0.0299135,0.01995,0.0103908,0.0189378,0.00550115,0.0081281
0.0185434,0.0103218,0.00707689,0.0123542,0.00209824,0.00245426
0.0137404,0.00619207,0.00424416,0.011157,0.000572872,0.00215396
0.0131401,0.0081471,0.00450877,0.0084744,0.00081623,0.000799844
0.0100819,0.00515011,0.00368152,0.00652332,0.000846128,-0.00041185
0.00400341,0.00299923,0.0018787,0.00639617,0.000125697,-0.000438369
0.0048145,0.00335565,0.00266051,0.0024421,0.000387597,0.00103707
0.00528171,0.00337021,0.00244234,0.00498203,0.000591522,0.000559087
0.0225822,0.0144444,0.00713039,0.00632081,0.000945953,0.00112259
0.00876923,0.00614295,0.00379305,0.00369617,4.44674e-05,-0.000753811
0.0121024,0.00833869,0.00498869,0.00144257,0.000178202,0.00190856
0.0130278,0.00878687,0.00473965,0.00746111,0.00100645,0.00181638
0.009532,0.00666391,0.00600396,0.0066247,0.00224258,0.0336831
0.0188001,0.0123183,0.00759206,0.00306029,0.000882797,0.00219253
0.0485208,0.0289186,0.0244996,0.0258354,0.00446073,0.00981181
0.00947226,0.00663043,0.00451409,0.0106526,0.00136067,0.00929453
0.0126986,0.00852455,0.00389523,0.00633613,0.000441287,0.00185482
0.00686147,0.00481703,0.00298223,0.000176131,0.000462725,0.000228375
0.0170516,0.0112175,0.00532802,0.046168,0.0248102,0.0646324
0.0159574,0.010541,0.00447652,0.00141105,0.000807804,0.00268481
0.0106221,0.00779238,0.00439531,0.00138956,-0.000132922,0.000833179
0.00830732,0.00564255,0.00388861,0.00149127,6.84434e-05,0.00150437
0.00626613,0.00408838,0.00361919,0.00105987,0.0017197,0.00267443
0.0449278,0.0256286,0.0852916,0.0983287,0.0181512,0.0445935
0.0389449,0.0210106,0.0145995,0.0205507,0.00384845,0.00479125
0.07367,0.026639,0.0749842,0.0994714,0.0220723,0.0694898
0.110315,0.0338077,0.227923,0.250878,0.0560038,0.167234
0.136045,0.0424206,0.169359,0.18181,0.0319902,0.108085
0.014184,0.00961683,0.00567721,0.0124466,0.00112412,0.00124426
0.0100185,0.00679917,0.00404318,0.00727032,0.00144534,0.00228955
0.00606946,0.00431798,0.00297739,-0.000554949,0.000681211,0.00126943
0.00841258,0.0059798,0.0030915,-0.000589697,3.27444e-05,0.000817615
0.0158497,0.0106384,0.00419289,0.00381562,-0.000259237,0.00272198
0.011451,0.00778477,0.00478106,0.000432551,0.00116323,0.00349513
0.00495479,0.00347212,0.00267744,0.00374541,0.00114553,0.00111152
0.00720916,0.00458588,0.00302833,0.00372538,0.000699563,0.000906125
0.0194792,0.0130551,0.00789763,0.00569239,0.000764114,0.00123606
0.0108197,0.00770433,0.00839638,0.00419088,-0.000121682,0.00175865
0.0186243,0.0122027,0.0127029,0.0119527,0.00258885,0.0211617
0.00564618,0.00381498,0.00257671,0.00284384,0.000931934,4.75941e-05
0.013099,0.00902735,0.00549621,0.00520544,0.00016482,0.0105657
0.0149345,0.00915971,0.00546729,0.00243932,0.000813835,0.00318004
0.0114974,0.00475153,0.00511961,0.000291689,0.000901831,0.00636009
0.00966055,0.00678334,0.00309413,0.00134052,0.0014297,0.00179557
0.0135104,0.00872414,0.00587923,0.00703543,0.000358283,0.0020174
0.0158149,0.0104599,0.00538561,0.00269723,0.000215872,-5.76021e-05
0.00856331,0.00589847,0.00298571,0.0013013,0.000909438,-0.00125838
