"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.019467,0.0126793,0.0098522,0.00787887,0.0123488,0.652107
0.012527,0.00858486,0.00704817,0.00780055,0.0124745,0.663268
0.0215866,0.0144491,0.00647602,0.00779203,0.0106142,0.580252
0.0155365,0.0103816,0.00288977,0.00498834,0.00176327,0.0411804
0.00976933,0.00659523,0.0145423,0.0367772,0.0428173,2.56673
0.0259721,0.017571,0.0108903,0.0104711,0.0162796,0.890079
0.0179882,0.0118173,0.0160541,0.0267138,0.0299333,1.47723
0.057843,0.0351229,0.0313296,0.0367008,0.0422467,2.77711
0.0221851,0.0154656,0.00380821,0.0214099,0.00719335,0.0446047
0.00840323,0.00556662,0.00625257,0.00240962,0.000381492,0.00201635
0.0497657,0.0312686,0.015727,0.0203998,0.0234015,1.26164
0.0529229,0.0295479,0.0219367,0.032155,0.0563463,3.5228
0.0146154,0.00978386,0.00943814,0.00855046,0.00896378,0.533779
0.0205158,0.0138153,0.00633946,0.00705668,0.00877709,0.451471
0.020763,0.0141212,0.00504621,0.00908427,0.00634519,0.328858
0.0513545,0.031326,0.0140999,0.0172154,0.024846,1.27233
0.00966045,0.00647732,0.00319835,0.00296448,0.00528408,0.226935
0.0358969,0.0168157,0.0143724,0.0160822,0.0146093,0.671755
0.0357899,0.0231272,0.00940648,0.00938375,0.00813284,0.450502
0.0462908,0.0292601,0.0208413,0.0207752,0.0268479,1.3637
0.0128434,0.00917392,0.00668941,0.00465433,0.00613172,0.325204
0.0269733,0.0169458,0.0187144,0.0514338,0.0177933,0.127066
0.0326597,0.0222291,0.00928112,0.00614219,0.00430708,0.196932
0.0122963,0.00833876,0.00514616,0.00458017,0.00650239,0.388858
0.0168537,0.0115426,0.00393457,0.00508181,0.00273208,0.0611469
0.0215765,0.0142333,0.0323526,0.0425402,0.0359125,1.73988
0.0264235,0.0178305,0.00737091,0.00538246,0.000984534,0.0134344
0.00635435,0.00419268,0.00860531,0.0130315,0.0204346,1.10294
0.0103244,0.0069447,0.00160603,0.00385186,0.00603966,0.310977
0.0491403,0.0326907,0.0188782,0.015581,0.0140056,0.668514
0.0170988,0.0109326,0.0238535,0.0448688,0.0570578,3.10005
0.0124044,0.00864486,0.00193861,0.0161064,0.00525649,0.0132305
0.0175581,0.0118277,0.00861867,0.0158507,0.025909,1.3611
0.0799989,0.0421903,0.0298839,0.0287267,0.0361337,2.403
0.0272355,0.0176481,0.00542351,0.010316,0.0153522,0.841722
0.00764445,0.00519991,0.00316734,0.00399657,0.0031777,0.180373
0.00988416,0.00684461,0.00207222,0.00772994,0.003812,0.0669625
0.0258081,0.0173268,0.00867242,0.00816994,0.0116431,0.624873
0.0213851,0.0142425,0.0115032,0.0141049,0.0143842,0.697156
0.00675282,0.00447052,0.0022772,0.00184836,0.00123073,0.0196484
0.0289533,0.0191091,0.00898533,0.0121437,0.0184489,1.03924
0.0514319,0.031211,0.0241026,0.0265805,0.0249892,1.12337
0.0170528,0.011161,0.00321643,0.0307498,0.0113814,0.163085
0.00849657,0.00574957,0.00688928,0.00473263,0.00427605,0.168513
0.026044,0.017516,0.00941298,0.00978681,0.0123879,0.634061
0.035132,0.0223925,0.00850709,0.0101048,0.0125344,0.689194
0.0502217,0.0268945,0.0405905,0.0866987,0.103174,4.56759
0.038186,0.0246874,0.0290117,0.0484561,0.0572913,3.22406
0.0219496,0.0145854,0.00717497,0.0080106,0.00568161,0.286849
0.0188325,0.0125371,0.00592221,0.00512437,0.00606463,0.230557
0.0222415,0.014459,0.00935497,0.0156258,0.0141243,0.682819
0.0372204,0.0242841,0.0116444,0.0127102,0.0179475,0.858537
0.0324373,0.0212075,0.0271803,0.0276315,0.0522107,3.18763
0.0234082,0.0154835,0.00595392,0.00792389,0.00830707,0.38779
0.0257525,0.0174605,0.0183227,0.0178957,0.0209911,1.09953
0.0448856,0.0284456,0.0201101,0.0197125,0.0196634,0.84806
0.0302222,0.0201345,0.0189336,0.0164679,0.0204446,1.14614
0.0206161,0.0137583,0.00591125,0.00449851,0.0106313,0.604389
0.0248376,0.0171614,0.0060134,0.00700258,0.0132334,0.650131
0.0113789,0.0078453,0.00410554,0.00451495,0.00310477,0.169853
0.00997728,0.00646689,0.00365438,0.00494448,0.00618742,0.278309
0.0475574,0.0229749,0.0145898,0.00961644,0.0123689,0.618834
0.0100409,0.00727524,0.00212996,0.00555455,0.00469742,0.221198
0.0139477,0.00935266,0.00456286,0.00624761,0.00465436,0.228736
0.0360594,0.0219817,0.0101342,0.018589,0.0304873,1.61308
0.00903703,0.00616379,0.00742907,0.00873208,0.0100722,0.54101
0.0560298,0.0350771,0.0161194,0.0146076,0.0302687,1.6733
0.0385357,0.025156,0.0123308,0.0144195,0.013926,0.784398
0.0378856,0.0204021,0.027941,0.0467695,0.0498946,3.06129
0.0427907,0.0264778,0.0127368,0.0171021,0.0212441,1.05436
0.00777014,0.00516648,0.00276709,0.00446502,0.0031754,0.154939
0.0379361,0.0249936,0.0109664,0.0177962,0.024238,1.35104
0.00909531,0.00663593,0.00346325,0.0086846,0.0060236,0.314391
0.0134798,0.00937188,0.0062804,0.00382635,0.000713026,0.0140147
0.00825187,0.00560276,0.00320471,0.00226627,0.00322214,0.174463
