"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0286599,0.0174209,0.0113841,0.200803,0.0524742,0.112175
0.0124393,0.00824545,0.00473277,0.0413297,0.0115474,0.0290382
0.0114959,0.00786015,0.00502148,0.0515535,0.016141,0.0480469
0.0303697,0.0194277,0.020333,0.113999,0.0362757,0.245155
0.0275703,0.0176186,0.00711191,0.0700545,0.0180716,0.0436297
0.0423602,0.0244707,0.0319469,0.318719,0.0971762,0.36278
0.0266168,0.0172214,0.0114092,0.103395,0.0338729,0.199179
0.0158967,0.0104009,0.00340845,0.0482427,0.0136423,0.0294692
0.0187753,0.0118607,0.00681531,0.0534856,0.01402,0.029513
0.026016,0.0166855,0.00684865,0.0777308,0.0208313,0.0784236
0.0115745,0.00774364,0.00382653,0.0341152,0.00804801,0.022463
0.0390977,0.0249312,0.0177054,0.173808,0.0501365,0.0758109
0.05466,0.0303093,0.0359562,0.231116,0.06842,0.162012
0.013581,0.00890544,0.00788176,0.0834251,0.0228237,0.0251684
0.00840832,0.00557072,0.0032825,0.0303714,0.00777271,0.0145974
0.0233046,0.0149283,0.0122511,0.0908298,0.0294782,0.152768
0.0471732,0.0284967,0.0159035,0.120156,0.0349201,0.14455
0.0225347,0.01455,0.00726254,0.0681314,0.0220394,0.123285
0.0362634,0.0218919,0.0303276,0.0286933,0.0105209,0.269163
0.00478213,0.00326438,0.00275134,0.0295455,0.00792129,0.0528535
0.011374,0.00722769,0.00431086,0.0515435,0.0141573,0.0534661
0.0147985,0.00960973,0.00394865,0.0375015,0.0115993,0.0206403
0.011489,0.00800478,0.00428191,0.0632308,0.0153271,0.0669035
0.0144777,0.00938898,0.00594456,0.0456604,0.012859,0.0301869
0.0240302,0.01565,0.0164972,0.147739,0.0430243,0.21313
0.0280508,0.0180806,0.0109303,0.0877594,0.0252336,0.087374
0.00814853,0.00537502,0.00506705,0.0656075,0.0178247,0.0366515
