"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0204028,0.0126601,0.0218145,0.0592645,0.0303752,0.643615
0.0423149,0.0188961,0.016643,0.0201702,0.0169603,0.528959
0.0425654,0.018938,0.016996,0.0147576,0.0131491,0.479224
0.00683522,0.00441303,0.00300379,0.0048294,0.00182363,0.0326076
0.0197493,0.0126137,0.00586798,0.00567644,0.0105851,0.545633
0.0323015,0.0206865,0.00789769,0.0546954,0.0200688,0.0779356
0.0183168,0.0116672,0.00617612,0.00450984,0.00237044,0.0919149
0.0284717,0.017542,0.0139175,0.0306431,0.0159029,0.389284
0.042896,0.0258682,0.0147936,0.0338175,0.0152208,0.218811
0.0342874,0.0216599,0.0139547,0.0281464,0.0207036,0.817191
0.00854337,0.00533276,0.00255401,0.00366444,0.00255562,0.135126
0.0503359,0.0232832,0.0236391,0.0701424,0.0467857,1.35733
0.0485262,0.0232292,0.0234312,0.0648032,0.0383006,1.30156
0.0222956,0.0145207,0.0141729,0.0232941,0.0127268,0.396179
0.0242505,0.0154584,0.0154715,0.0156055,0.0070082,0.186957
0.00887082,0.00583406,0.00259279,0.00380112,0.00276771,0.0977898
0.0316885,0.0201349,0.00701732,0.0113907,0.018849,0.78603
0.0233926,0.0142143,0.00941439,0.0207407,0.0151994,0.331538
0.0115207,0.00745713,0.0186819,0.0296613,0.0173127,0.607721
0.00732002,0.00466819,0.00293006,0.0129636,0.00710206,0.104475
0.007728,0.00527456,0.00671292,0.00469986,0.00341656,0.114495
0.0323421,0.0200467,0.0141217,0.0180822,0.0117699,0.459682
0.0440884,0.0266815,0.0149125,0.0202307,0.00861204,0.218245
0.0116038,0.00795466,0.00583017,0.0138499,0.00978829,0.452069
0.0263322,0.0159552,0.0109209,0.0202619,0.0109078,0.263353
0.0197795,0.0126485,0.00498236,0.00720124,0.00348198,0.0908554
0.0464814,0.0237161,0.0128952,0.0148153,0.0149312,0.758071
0.00560318,0.00373313,0.00164428,0.00301914,0.00302481,0.0846072
0.00713341,0.0049552,0.00564415,0.0141952,0.00890786,0.241009
0.0252309,0.0151155,0.0360507,0.0533581,0.0492347,1.87539
0.0458526,0.0261624,0.0365467,0.0499076,0.0647079,3.42945
0.0238684,0.015648,0.0228344,0.0241078,0.0262829,1.20315
0.00810999,0.00547348,0.00223567,0.0196836,0.00589851,0.00785066
0.0149916,0.010041,0.00577272,0.00655103,0.00418209,0.180859
0.015993,0.0104314,0.0047931,0.0065565,0.00290712,0.148242
0.0370665,0.0143188,0.0115935,0.0144116,0.0209654,0.832648
0.0516459,0.0265559,0.0160806,0.0148536,0.0194275,0.948762
0.0163801,0.0110467,0.00858737,0.0254951,0.00997352,0.114214
0.0236493,0.0153887,0.00630381,0.00936516,0.00490579,0.141932
0.0249688,0.0162964,0.0087397,0.00871434,0.00298997,0.0938617
0.0122015,0.00809455,0.0121226,0.0344597,0.0164498,0.271129
0.0116848,0.00800253,0.00418159,0.00859263,0.00560538,0.107344
0.0224177,0.0147849,0.0071256,0.00826591,0.0153493,0.820086
0.0147397,0.00977865,0.00748428,0.007855,0.0258926,1.27876
0.0179513,0.0115283,0.00702553,0.00878016,0.00667359,0.277981
0.0189089,0.0124348,0.00622007,0.0237176,0.0130371,0.315269
0.0181953,0.0117343,0.00843179,0.0479977,0.0215321,0.290842
0.0219023,0.0144637,0.00704052,0.00484372,0.00476824,0.198491
0.0803599,0.0364731,0.0221185,0.0288984,0.0200994,0.693123
0.0639679,0.0270678,0.0288316,0.0505582,0.0300397,0.74657
0.0328478,0.0198099,0.0147077,0.0198006,0.0130343,0.514557
0.0223356,0.0142449,0.0123508,0.0412679,0.0171969,0.418342
0.0209815,0.0132928,0.0308616,0.0310808,0.0287629,1.01436
0.00606647,0.00397921,0.00540075,0.00625762,0.00518342,0.165806
0.0169839,0.0116094,0.00967774,0.00548765,0.00801068,0.34298
0.0162943,0.0115977,0.00564296,0.0120719,0.00842275,0.335043
0.00967679,0.00610154,0.00379767,0.00392327,0.00395141,0.160041
0.00780612,0.00542176,0.0026617,0.00490601,0.00515152,0.205199
0.0259845,0.0160305,0.0289909,0.0653289,0.0523524,1.87076
0.00816211,0.00585651,0.00387115,0.00342865,0.00228185,0.0840861
0.020366,0.0138194,0.00655511,0.011437,0.00739234,0.298117
0.00448249,0.00316916,0.00158339,0.00586213,0.0013954,0.00814782
0.0138601,0.00931074,0.00518911,0.0490695,0.0164519,0.0393444
0.021794,0.0142783,0.0131872,0.0324684,0.0204812,0.567867
0.0109409,0.00709072,0.0193146,0.0259228,0.0139626,0.465526
0.0146246,0.00962973,0.00672335,0.00679755,0.00619583,0.189372
0.0213461,0.0133402,0.0111603,0.0707096,0.0332826,0.469991
0.00776365,0.00533991,0.00178907,0.004293,0.00413292,0.188728
0.00647765,0.00462449,0.0024286,0.00312607,0.00248934,0.0607037
0.0130732,0.00822758,0.00856081,0.0109166,0.0127922,0.46283
0.0214281,0.0131567,0.0295687,0.0660852,0.045502,1.3032
0.0581462,0.0335801,0.0552947,0.0681968,0.0376957,1.19205
0.0295347,0.019553,0.00921469,0.00858553,0.00736679,0.242197
0.0187691,0.0126187,0.00954211,0.0287696,0.0131234,0.195348
0.0179065,0.0115897,0.00509261,0.00365229,0.00442345,0.15294
0.00854462,0.00635819,0.00449984,0.00735706,0.00624032,0.190379
0.0126675,0.00828784,0.00441725,0.00603725,0.00306133,0.134818
0.0159549,0.0108337,0.00430094,0.0334067,0.0136269,0.0424922
0.035634,0.0216925,0.00911172,0.0285505,0.0116698,0.270824
0.015692,0.0102209,0.0125886,0.0113129,0.00308199,0.0781355
0.0243419,0.0154748,0.0109608,0.0288297,0.0214251,0.743728
0.0264789,0.016429,0.00768545,0.010113,0.00967537,0.41483
0.0289102,0.0180233,0.0233482,0.0558529,0.0239437,0.454987
0.0171529,0.010907,0.024224,0.034747,0.0172896,0.443468
0.0125886,0.00844186,0.00795815,0.0227693,0.00676217,0.159069
0.0330995,0.021973,0.00889673,0.00719767,0.0124142,0.581322
0.0196167,0.0134228,0.00827096,0.00780441,0.00469393,0.170252
0.0259632,0.0154277,0.00904697,0.0200807,0.0112044,0.276619
0.0184532,0.0122223,0.00670145,0.00383793,0.00380479,0.130262
0.0264065,0.0175401,0.0129603,0.016342,0.0141366,0.569199
0.0137727,0.00882324,0.00910385,0.00965739,0.00847027,0.315699
0.0502328,0.0295921,0.0190334,0.0183117,0.0154007,0.524183
0.0201597,0.0133989,0.00520839,0.0100223,0.00649713,0.275564
0.0192302,0.0123614,0.0156414,0.0477524,0.0205598,0.434689
0.0239413,0.0159032,0.0102034,0.019719,0.0109564,0.421502
0.0544723,0.025849,0.0401889,0.0402224,0.0285002,1.10318
0.0170527,0.0116747,0.00609027,0.00744526,0.00609662,0.254107
0.00944882,0.00653878,0.00338172,0.00683045,0.00386766,0.135626
0.0177748,0.0116449,0.00529359,0.00575003,0.00340359,0.117046
0.0263653,0.0181327,0.00812172,0.0240204,0.0137204,0.341079
0.00872815,0.00580463,0.00693944,0.00985997,0.00642208,0.239174
0.0280101,0.0178694,0.00802814,0.0101686,0.011452,0.483381
0.0262022,0.0150981,0.056336,0.103158,0.0594018,1.70711
0.0228108,0.0154039,0.00611959,0.00341326,0.00352113,0.0990313
0.0107105,0.00735336,0.00257911,0.00336483,0.00390993,0.225981
0.00988778,0.0068134,0.00366558,0.0062718,0.004199,0.125885
0.0361256,0.0224568,0.0258435,0.0401831,0.0213564,0.526064
0.0181262,0.0124156,0.0107024,0.0113306,0.00584305,0.208897
0.00525771,0.00365635,0.00159734,0.016809,0.00918645,0.0194222
0.02004,0.0134899,0.00800301,0.00883009,0.00435183,0.135776
0.0203033,0.0136254,0.00711934,0.00470216,0.00797377,0.426076
0.0193421,0.0127836,0.00686646,0.00998063,0.00405841,0.0857459
0.0115782,0.00814167,0.00302091,0.0194006,0.00589452,0.0155792
0.0112507,0.00767943,0.00512026,0.00632155,0.0163374,0.789343
0.0113442,0.0078073,0.00248648,0.00609439,0.00421765,0.20519
0.0202937,0.0131312,0.00591781,0.0079992,0.00436438,0.148402
0.0820876,0.0406614,0.0214517,0.0574023,0.0493423,1.80267
0.0403442,0.0258708,0.0147896,0.0247617,0.018916,0.675035
0.0178216,0.0117116,0.00906726,0.0237392,0.0110622,0.223297
0.0221887,0.0145294,0.00701715,0.0138993,0.00612994,0.22303
0.0595948,0.0331551,0.0205922,0.0268038,0.0132485,0.383586
