"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.00804215,0.00576316,0.00906072,0.0125821,0.0102134,0.362644
0.0281956,0.0181026,0.0100874,0.0517539,0.0189614,0.104392
0.0105236,0.00718876,0.00335576,0.0231667,0.0107921,0.0633211
0.0127403,0.00892964,0.00461231,0.0459233,0.0177803,0.148598
0.0289,0.0187477,0.00990002,0.0311121,0.00705363,0.00553774
0.0220999,0.0134843,0.0255128,0.03735,0.00888865,0.022381
0.006714,0.00422094,0.00328077,0.0141486,0.00716562,0.152461
0.0190136,0.0124151,0.00429492,0.0559407,0.0161189,0.00773174
0.0343386,0.0218094,0.00916733,0.057425,0.019502,0.165419
0.0180877,0.0118942,0.00552608,0.0252898,0.00627026,0.0065006
0.0159283,0.0105207,0.00500611,0.0460458,0.0192037,0.450011
0.00723465,0.00482007,0.00266396,0.016329,0.00463613,0.00752922
0.028845,0.0186821,0.0100911,0.0204478,0.00613453,0.0675298
0.0300737,0.0194035,0.00737418,0.0451764,0.0178324,0.21323
0.0249582,0.0131086,0.00852272,0.0607377,0.0188316,0.125047
0.0125597,0.00858064,0.00407978,0.0102489,0.00271052,0.00122381
0.0413397,0.0265436,0.0127294,0.0735415,0.0214972,0.0830692
0.0307203,0.0202567,0.0110015,0.0585312,0.0198907,0.219803
0.0161962,0.0105394,0.00446253,0.0223315,0.00885294,0.165271
0.020081,0.0135488,0.00629009,0.0233414,0.012729,0.303441
0.0155776,0.0101879,0.00446814,0.0252552,0.00796771,0.00712536
0.0175723,0.0113187,0.00571445,0.0119349,0.00280602,0.0035904
0.0086508,0.00559389,0.00290931,0.00973646,0.00234417,0.00424801
0.0283253,0.0175677,0.0152883,0.103601,0.0311211,0.320513
0.0256316,0.0171149,0.0122435,0.0349939,0.00935667,0.0599174
0.0158475,0.0107259,0.00314507,0.030209,0.0100414,0.0345814
0.0337491,0.0209085,0.0191863,0.0933483,0.0288596,0.0748768
0.0263639,0.0171609,0.00922221,0.0362101,0.0135768,0.294015
0.0116802,0.00776282,0.00567989,0.0162905,0.00541787,0.00653062
0.0178174,0.0119722,0.00589623,0.0244036,0.00694155,0.0299423
0.00622571,0.0043728,0.00239595,0.00617702,0.001403,0.0011034
0.0205798,0.0134508,0.00956585,0.0395363,0.0143042,0.172531
0.015645,0.00965439,0.00735435,0.0254811,0.00869505,0.0157962
0.00776395,0.00521919,0.00201235,0.0248662,0.0111521,0.301275
0.0181019,0.0122319,0.00547225,0.00429771,0.00113775,0.00487614
0.0243913,0.0157837,0.00692524,0.0155873,0.00344539,0.00375103
0.0267245,0.0173396,0.0129779,0.0341381,0.010438,0.0793945
0.0158868,0.0105279,0.0170518,0.0618494,0.031017,0.692164
0.0148846,0.00852221,0.00841991,0.042069,0.0180472,0.107738
0.0211512,0.0128479,0.00753152,0.0420901,0.0161925,0.162618
0.0198867,0.0120618,0.0234752,0.0913548,0.0337606,0.731867
0.0141226,0.00977255,0.0030878,0.019831,0.00592351,0.0759398
0.0210665,0.0141745,0.0056815,0.0757627,0.0200162,0.133257
0.0127951,0.00849691,0.00542537,0.0296039,0.00827269,0.0440396
0.0102876,0.00676751,0.00184965,0.0207945,0.00877644,0.0501783
0.028174,0.0182331,0.0106024,0.0856569,0.0258233,0.0514881
0.0109677,0.00706515,0.0195699,0.115259,0.0626078,2.39884
0.0127802,0.00857382,0.00411658,0.0105845,0.00317759,0.00113703
0.00527397,0.0037888,0.0012863,0.0133441,0.00417747,0.00515968
0.0326625,0.0199877,0.0505288,0.263344,0.100077,1.1548
0.0205372,0.0133096,0.00662929,0.0181487,0.00225159,5.08707e-05
0.00801617,0.00588308,0.00273539,0.0183199,0.00748764,0.0092118
0.0175356,0.0119501,0.00721268,0.0307235,0.00869241,0.0175406
0.0163396,0.0110593,0.00475019,0.0337635,0.00813834,0.0047222
0.0292944,0.0111821,0.0117724,0.0480434,0.0181142,0.190642
0.0296558,0.0112315,0.0116267,0.0461994,0.0160471,0.189072
0.0299513,0.0195598,0.00875192,0.0295623,0.013176,0.241329
0.0315193,0.0198871,0.019855,0.104165,0.0445851,0.957022
0.0154898,0.009927,0.00524909,0.0255754,0.0136222,0.338046
0.00464481,0.00314044,0.00251999,0.0225528,0.00881937,0.015703
0.0260852,0.0167491,0.0111233,0.0481193,0.0157665,0.14107
0.0208179,0.0137588,0.00613015,0.0373313,0.0101812,0.00625732
0.0196007,0.0129423,0.0121165,0.125107,0.0435795,0.449725
0.0134297,0.00933449,0.0107494,0.0319515,0.0107576,0.253144
0.0218931,0.0146591,0.00927029,0.0439183,0.0143535,0.200258
0.0122583,0.00831747,0.00543653,0.0271123,0.00595665,0.0149229
0.01597,0.0107157,0.00329638,0.032187,0.0115089,0.0249781
0.00939362,0.00634699,0.00245392,0.041166,0.0122597,0.0215361
0.0207184,0.014146,0.00664651,0.0271003,0.00978497,0.0130408
0.0268421,0.0171387,0.0183907,0.0478582,0.0146874,0.018615
0.0324161,0.0175817,0.0113245,0.0356361,0.0197644,0.410099
0.0241527,0.0113328,0.00617394,0.0276688,0.0119463,0.241773
0.0350465,0.0236729,0.00982236,0.0320031,0.00785715,0.0337545
0.017468,0.0112454,0.0391175,0.128999,0.0575565,1.36639
0.016584,0.0109489,0.00325532,0.00957238,0.00330105,0.0113364
0.00604962,0.00409989,0.00564368,0.0345273,0.0157358,0.348815
0.00933605,0.00621264,0.00329486,0.0291348,0.00892401,0.111191
0.0336058,0.016693,0.0388377,0.227038,0.0865588,0.73313
0.0357269,0.0150091,0.0380437,0.149161,0.0454086,0.217773
0.008543,0.00558222,0.00190082,0.0153606,0.00683262,0.0334673
0.0114022,0.00747917,0.00424072,0.0342813,0.0143466,0.218726
0.0136679,0.0091048,0.00410381,0.00538234,0.00184796,0.00183827
0.0270229,0.0181149,0.007985,0.0258207,0.00761695,0.0303845
0.0302856,0.0200317,0.0092326,0.0482381,0.0187992,0.35095
0.0359659,0.0134162,0.0150357,0.0756277,0.0271643,0.147565
0.0381681,0.0140689,0.0156311,0.0654785,0.0215047,0.127461
0.0263582,0.0174206,0.0122244,0.0638387,0.0174106,0.148632
0.0487899,0.0296489,0.014952,0.080742,0.0527621,1.67198
0.00976003,0.0062714,0.00295538,0.0224765,0.00907426,0.00878015
0.0452369,0.0212327,0.0236195,0.14154,0.0510441,0.654127
0.0358488,0.0146521,0.0262972,0.0999762,0.0315719,0.430162
0.00674546,0.00462876,0.00260496,0.00521306,0.00151412,0.00574179
0.0161563,0.0106218,0.00238454,0.0258881,0.00661683,0.00745569
0.0168925,0.0113544,0.00437454,0.0312395,0.00731714,0.00507535
0.0371812,0.021549,0.0261671,0.144375,0.0481448,0.482516
0.0507477,0.0249945,0.0441494,0.187128,0.07391,1.30408
0.0419383,0.0210741,0.0331707,0.10794,0.0371308,1.06632
0.0296376,0.0164875,0.031706,0.128397,0.0426954,0.0719316
0.0185898,0.0121332,0.00606568,0.0536678,0.0137274,0.0293109
0.0258076,0.0113273,0.00889381,0.076673,0.0354407,0.42768
0.047204,0.0268312,0.0132734,0.103274,0.0424739,0.967005
0.020804,0.0141462,0.00483254,0.0358042,0.00917779,0.0279564
0.0137415,0.00948289,0.00883803,0.0403248,0.0119602,0.0359153
0.0314468,0.0200426,0.0112025,0.0411824,0.0141645,0.174764
0.0156362,0.0103746,0.0142391,0.117168,0.0331589,0.229628
0.00801474,0.00345646,0.00305077,0.0143815,0.00694165,0.0393167
0.0400933,0.0259358,0.0115812,0.0429179,0.0158712,0.268826
0.0120353,0.00841781,0.00382509,0.0137603,0.00480287,0.0536032
