"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0102368,0.0072175,0.00378638,0.0309262,0.0112221,0.0611528
0.015498,0.0106852,0.0055537,0.0244434,0.00641825,0.0189481
0.0308151,0.020199,0.0124699,0.0221329,0.00784279,0.0371075
0.0236578,0.0159383,0.00872636,0.02777,0.00722149,0.0364755
0.0269798,0.0135731,0.0227118,0.0534445,0.0186691,0.136815
0.0531205,0.0337903,0.021879,0.0567129,0.0206585,0.290193
0.0234072,0.0160156,0.0137264,0.0373326,0.015257,0.345425
0.0205229,0.0132201,0.0162883,0.0670489,0.0243564,0.315527
0.0329626,0.0224698,0.0130603,0.0306058,0.00825499,0.106158
0.0227842,0.0150008,0.00694642,0.0179213,0.00469638,0.0367336
0.0300252,0.019749,0.010116,0.029031,0.0108202,0.12873
0.0280937,0.0182384,0.0102107,0.0223686,0.0073679,0.0349052
0.0115188,0.00803419,0.01315,0.0412321,0.0117526,0.0242477
0.0130071,0.00853312,0.00636897,0.0500193,0.0172924,0.0459329
0.0384333,0.0233863,0.0455408,0.15392,0.0468554,0.473287
0.00455502,0.00307327,0.00163458,0.0273352,0.0102679,0.0604622
0.071748,0.0300444,0.0215354,0.0812665,0.0283329,0.105477
0.081073,0.0303323,0.0225046,0.0715873,0.0212663,0.155896
0.0172014,0.0117011,0.00638187,0.0256954,0.00797718,0.0787665
0.00798786,0.00535582,0.00512952,0.0334877,0.0155583,0.405497
0.00711195,0.00503506,0.00267976,0.00936546,0.0032031,0.100329
0.0281759,0.0176653,0.0220557,0.0655624,0.0287929,0.609492
0.0311045,0.0195135,0.0125947,0.0454043,0.0114123,0.0865821
0.0100978,0.00668215,0.00295104,0.0146804,0.00301035,0.0284358
0.0270905,0.0184096,0.0103958,0.0483766,0.0138685,0.0753107
0.00605505,0.00445993,0.00598571,0.033518,0.00870361,0.0841734
0.0336267,0.0218762,0.0125272,0.049583,0.0142341,0.0463444
0.0385565,0.0221928,0.0265353,0.100163,0.0268147,0.186358
0.0243605,0.0164806,0.00813922,0.0200468,0.00701863,0.0402557
0.0208074,0.0142732,0.00721912,0.0279628,0.0132713,0.264455
0.0775498,0.0360508,0.0814857,0.287317,0.100847,0.967944
0.0103241,0.00752027,0.00208827,0.0151038,0.00469675,0.0479673
0.01891,0.0132928,0.00734049,0.0175892,0.0065274,0.0233729
0.0350339,0.0185371,0.044487,0.172213,0.050526,0.489803
0.0354509,0.0229762,0.0132788,0.0365496,0.0128334,0.0432063
0.0135557,0.00915041,0.00797018,0.0614657,0.0213532,0.0338781
0.0143824,0.00978836,0.0047809,0.0115582,0.00304894,0.0201391
0.0122186,0.00809149,0.00844572,0.017607,0.00700864,0.0932339
0.035438,0.0217396,0.030604,0.0927396,0.0287764,0.0671011
0.0485478,0.0277073,0.0118321,0.0943477,0.029171,0.122617
0.0112808,0.00747745,0.00393396,0.0190114,0.00314912,0.0718895
0.00863759,0.00568935,0.00328774,0.0132187,0.0054097,0.08348
0.0274429,0.0170552,0.0316381,0.0913198,0.0277037,0.303745
0.0144119,0.0100881,0.00669706,0.00537305,0.00166264,0.0638725
0.026977,0.0173017,0.00646174,0.0412532,0.0136935,0.0152412
0.0180058,0.012005,0.00451796,0.00190203,0.00205316,0.0404012
0.00621486,0.00439822,0.00591753,0.0261908,0.00721559,0.0268556
0.0274617,0.0187429,0.0181228,0.0333998,0.0210235,0.760876
0.0122105,0.00839925,0.00407339,0.00317804,0.00573322,0.00976554
0.00892843,0.0061208,0.00346024,0.0170701,0.00558956,0.0425032
0.0561875,0.0242991,0.0285394,0.104972,0.0323669,0.176743
0.0165562,0.0114138,0.00577495,0.00600966,0.00164222,0.00487693
0.0115722,0.00801584,0.00420109,0.00466714,0.00110792,0.00681246
0.022186,0.0148866,0.00807347,0.0153683,0.00593335,0.081732
0.0193415,0.00768584,0.0193294,0.0484033,0.0149106,0.146444
0.0231701,0.0111951,0.0153693,0.0365889,0.00898794,0.102705
0.00894093,0.00605569,0.00416785,0.0243658,0.00910287,0.119975
0.0245502,0.0171552,0.00820121,0.00703048,0.00301992,0.00774788
0.024011,0.0154262,0.00742787,0.0294654,0.0102041,0.1363
0.00796444,0.005767,0.00632129,0.0243088,0.00589469,0.0286821
0.0261971,0.0176347,0.0185176,0.0557108,0.0174299,0.212257
0.0146557,0.00968868,0.0105178,0.0644968,0.019482,0.0199234
0.00896536,0.00641612,0.00637519,0.0317198,0.00878702,0.0588003
0.0264526,0.0166933,0.00886471,0.0428078,0.0117325,0.140647
0.0220991,0.0144868,0.00935531,0.0357076,0.012843,0.153707
0.0342622,0.0173188,0.0104775,0.0538583,0.0162695,0.128347
0.030041,0.0139817,0.0108398,0.0383407,0.0121542,0.151861
0.00644723,0.00478519,0.00433294,0.0123723,0.00304487,0.005431
0.00455168,0.00300175,0.00282849,0.0316179,0.00837842,0.00954299
