"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0373601,0.0239411,0.0100203,0.0106678,0.0142305,0.771353
0.0116947,0.00821325,0.00365922,0.00380211,0.011638,0.619617
0.00969696,0.0067102,0.00214675,0.0101473,0.00406991,0.00689048
0.0170807,0.0116964,0.00571663,0.00601458,0.00588685,0.291361
0.0403199,0.0267262,0.0154556,0.0197766,0.0140501,0.384776
0.0159671,0.0113904,0.0047071,0.00402305,0.00508608,0.264451
0.0190821,0.013147,0.00706357,0.00459248,0.00472372,0.2726
0.0113937,0.00745231,0.00406347,0.0107256,0.00740659,0.330983
0.00964977,0.0064481,0.00261565,0.00336097,0.00480806,0.166358
0.0452893,0.0193953,0.0204008,0.018734,0.0258691,1.25759
0.0126388,0.00861013,0.00375335,0.00295739,0.00695467,0.309819
0.0278006,0.0176586,0.00695071,0.022711,0.0113764,0.0289081
0.0107324,0.00751539,0.00476422,0.0177354,0.00794008,0.0175682
0.0172751,0.0114628,0.00495347,0.00511099,0.00618968,0.28676
0.00690625,0.0049842,0.00178176,0.00507985,0.00291631,0.00654606
0.0392348,0.0253816,0.0109497,0.0130684,0.0145578,0.683558
0.0376044,0.0218351,0.0336386,0.0709724,0.0476487,1.64564
0.0120638,0.00811553,0.00404585,0.0170187,0.00517469,0.00949632
0.024186,0.0156073,0.00843363,0.00787394,0.00441126,0.213876
0.0102541,0.00694274,0.0118138,0.028515,0.0113301,0.348464
0.0207808,0.014465,0.00693341,0.00311186,0.00408958,0.215002
0.0241725,0.0163835,0.0212049,0.02776,0.0166326,0.596018
0.00962892,0.00639097,0.00263619,0.017801,0.005584,0.0105483
0.0520624,0.0292346,0.0205662,0.0286319,0.0219394,0.86745
0.0331314,0.0188979,0.0325005,0.0724494,0.0458205,1.45696
0.0125606,0.0089155,0.0111115,0.0122682,0.0111134,0.63604
0.0302953,0.019679,0.00880255,0.0261214,0.0144693,0.454854
0.0380775,0.0212773,0.0229465,0.0541327,0.0216194,0.493999
0.0212721,0.0145885,0.00901855,0.00928405,0.00866961,0.384507
0.0221657,0.0154023,0.0136675,0.00987901,0.0131606,0.626767
0.018878,0.0123386,0.00791541,0.00179286,0.00380193,0.253199
0.0251225,0.0168586,0.0144274,0.0112467,0.0115064,0.423623
0.042516,0.0271173,0.0446582,0.0705186,0.0535635,2.53789
0.00738156,0.00480422,0.00318015,0.0144594,0.00578613,0.0103215
0.0152765,0.0104335,0.0106265,0.0263212,0.0198395,0.606035
0.0259235,0.0172376,0.00870653,0.00593946,0.00267584,0.13734
0.017628,0.0114058,0.00576031,-0.000640518,0.00343499,0.138562
0.00812227,0.00528387,0.00134677,0.018488,0.00571302,0.0081878
0.0130473,0.00880019,0.00468887,0.00511807,0.00141059,0.142666
0.0443084,0.0180942,0.0129831,0.00864895,0.00947118,0.427039
0.00476093,0.00317447,0.0027937,0.00635146,0.00336359,0.00738431
0.0118832,0.00810024,0.00358443,0.00398073,0.00199963,0.0710156
0.0114149,0.00762526,0.00554789,0.00283062,0.00505902,0.241204
0.00793489,0.00563254,0.00526369,0.00596226,0.00358572,0.171123
0.0220228,0.014433,0.00701579,0.00461694,0.00362429,0.204092
0.00580961,0.00410099,0.00411404,0.0212376,0.00640884,0.0192182
0.0166595,0.0113562,0.0333947,0.0592918,0.0251662,0.324808
0.0260176,0.0174917,0.00893991,0.00612996,0.00769499,0.419295
0.0182943,0.012336,0.00598574,0.00447112,0.00289507,0.124705
0.0278304,0.0182363,0.00956191,0.00581141,0.00581118,0.333881
