"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.00473209,0.00306711,0.00196339,0.00402105,0.000516227,0.00054826
0.0190153,0.0132487,0.00652597,0.0130363,0.00221066,0.00467965
0.00958972,0.00640503,0.0114047,0.0172396,0.0027259,0.000825754
0.0191897,0.0130392,0.00899802,0.0125512,0.00246248,0.00293911
0.00486086,0.00338022,0.00263742,0.00320183,-0.000394777,0.000547692
0.00980469,0.00684324,0.00341313,0.00670939,0.000546473,0.000523493
0.00480551,0.00325927,0.00274557,0.00412874,0.000298494,0.00136802
0.0200368,0.0133727,0.00836717,0.0110683,0.00244975,0.00191667
0.019544,0.0133146,0.00609006,0.00949317,0.00208429,0.00205386
0.0106381,0.00755452,0.00385805,0.00532091,0.000285449,0.00133051
0.0103583,0.00711477,0.00218057,-0.00100315,0.000575141,0.000804667
0.0122802,0.00893058,0.00401247,-0.000436725,0.000541907,0.00215831
0.00975302,0.00717969,0.00392779,0.012934,0.00202892,-6.54099e-05
0.0116417,0.00777018,0.00396691,0.00576685,0.000393611,0.000554224
0.0267304,0.0140784,0.0082659,0.0151381,0.00226575,0.00123022
0.0256374,0.0107942,0.00822595,0.0134657,0.00182014,0.00155042
0.0119967,0.00825482,0.00331261,0.0084106,-1.71904e-05,0.000249596
0.00895397,0.00631499,0.00431751,0.00744386,0.00095678,0.000781036
0.00664951,0.00455995,0.00269299,0.0064173,0.000336332,0.00110074
0.0189473,0.0128631,0.00649498,0.0107645,0.00198868,0.00516513
0.00533185,0.00366177,0.00225082,0.00275084,0.000100439,0.000367049
0.0120978,0.00860156,0.0036613,0.00764481,0.00201742,7.55584e-05
0.0105511,0.00721494,0.0039945,0.00907343,0.00161631,0.000532812
0.0334107,0.0217273,0.0120589,0.0230247,0.00357512,0.00211056
0.0165743,0.0111769,0.00619217,0.0108106,0.000956028,0.00198015
0.00806391,0.00549753,0.00311181,0.0070628,0.000829892,-0.000181784
0.0138169,0.00896731,0.00564269,0.00554727,0.00130899,0.00101745
0.00655761,0.00452317,0.0024146,0.00123784,0.000894835,0.00111518
0.0127291,0.00897327,0.00450753,0.00471576,0.000367553,0.000734283
0.0160891,0.0111604,0.00516021,0.0124369,0.0013454,0.00226974
0.0295514,0.0179538,0.0135059,0.0171261,0.00410934,0.00579929
0.0332938,0.0180793,0.013541,0.0183496,0.00357435,0.00469458
0.00855108,0.00609065,0.00543171,0.00844017,0.00193667,0.000858606
0.00702411,0.00471266,0.00319445,0.00947554,0.000167025,-0.000100464
0.0189511,0.0128444,0.0106122,0.0522323,0.0154115,0.0390919
0.00535585,0.00359621,0.00263703,0.00409571,0.000616927,-0.000507154
0.00787679,0.00539383,0.00287211,0.00626021,0.000396663,-0.000210519
0.00775767,0.00494818,0.0032484,0.00342845,0.000758768,0.0030674
0.0136264,0.00919692,0.00428138,0.00930759,0.00054199,0.000929626
0.0106867,0.00686375,0.00406111,0.00362849,0.0010481,-1.4284e-05
0.00631941,0.00421206,0.00282944,0.00249886,0.0006434,0.00157523
0.0121406,0.00831386,0.00568623,0.00753392,0.00232491,0.00165948
0.0106142,0.00686232,0.00460422,0.00825507,0.00128793,0.0013943
0.0108159,0.00715842,0.00280443,0.00630247,0.00121583,-0.000775707
0.00462212,0.0034467,0.00167549,0.00193338,0.000432263,0.00081974
0.0176626,0.0116388,0.0100763,0.0224418,0.00350084,0.00251909
0.0123773,0.00854861,0.00469863,0.00648449,0.00189592,0.00591577
0.0132852,0.00934347,0.00530108,0.00321831,0.000479741,0.00169807
0.00830001,0.00574422,0.00347645,0.00568967,0.00086118,0.00135484
0.00802766,0.00572407,0.00332084,0.004388,0.00170408,-0.00101491
0.00964755,0.00681254,0.00273506,-0.00165061,0.00117199,0.000472571
0.00453155,0.00320452,0.00231841,0.00228546,-0.000255842,-3.59334e-05
0.00471628,0.00322458,0.00204567,0.00285633,0.000825531,-0.000281949
0.0123847,0.00838635,0.00498153,0.0061635,0.00154744,0.00224798
0.00666632,0.00469511,0.0022612,0.00393733,0.000111189,0.000146831
0.0122321,0.00631227,0.00503546,0.00458494,0.00064463,0.000161036
0.0123367,0.00629984,0.00516514,0.00604507,0.000422112,0.00109248
0.00424708,0.0031171,0.00229971,0.00312896,0.000271136,0.000465151
0.00506617,0.00364639,0.00189097,0.0030017,0.0011198,0.000934827
0.0117606,0.00775064,0.00759024,0.0116192,0.00188053,0.000502381
0.00623712,0.00448159,0.00224292,0.00376081,0.00111095,0.000900438
0.0122179,0.0086816,0.00475218,0.00413745,0.000870632,0.00287546
0.024543,0.0120008,0.0097102,0.00932911,0.00307611,0.000328347
0.019754,0.00906388,0.00740274,0.00810784,0.00221284,0.000412783
0.00775103,0.00523994,0.00273177,0.00554824,0.000708437,0.00129575
0.00599509,0.00431833,0.00312481,0.00709581,0.00141517,0.000857553
0.0110747,0.00742046,0.00553884,0.00715936,0.00209216,0.00179308
0.0084275,0.00603641,0.00222041,0.00361796,1.01265e-05,0.000833414
0.00452308,0.00303227,0.00192414,0.00363507,0.000223523,0.00163991
0.00992504,0.00725413,0.00407073,0.00823176,0.00112204,0.000386157
0.0153189,0.0106806,0.00682436,0.00874831,0.00167241,0.00120893
0.00869352,0.00613202,0.00300473,0.00370043,0.00053183,-0.000366073
0.0077075,0.00549877,0.00645962,0.0126289,0.00069841,0.00152085
0.00470937,0.00334997,0.00249003,0.00609642,0.00126308,-0.000190141
0.0207355,0.0145969,0.00754047,0.010144,0.00267866,0.000860969
0.0184091,0.00741736,0.00548604,0.012814,0.00174109,0.00123147
0.0183106,0.00740732,0.00550072,0.0119877,0.00143123,0.00101435
0.00861756,0.00618175,0.00589256,0.00796286,0.000682003,-0.000511589
0.0058539,0.00389147,0.00296971,0.00576226,0.000480498,-0.000110023
0.0109529,0.00759701,0.00319489,0.00641658,0.00100736,0.00017973
0.00668887,0.0046352,0.0032023,0.000644212,0.0011941,0.00133622
0.00409668,0.00309,0.00183173,-0.000407839,0.000209089,0.000249126
0.00712798,0.00503839,0.00274059,0.00304881,0.000561878,0.0011345
0.0112134,0.00737889,0.0046354,0.00542377,0.00168006,0.000973977
0.011953,0.00804594,0.00475398,0.0079835,0.00100371,0.000759325
0.00786639,0.00552763,0.00279466,0.002599,0.00132626,0.001788
0.0145253,0.0104588,0.00380645,0.00516444,0.00229633,0.00078949
0.0142557,0.00958468,0.00538652,0.0143397,0.00153361,0.000555776
0.0113399,0.00753707,0.00336616,0.00400079,0.00111289,0.000453296
0.0110286,0.00756738,0.00521521,0.00751628,0.00136703,0.00155651
0.0144228,0.00985773,0.013097,0.0233527,0.00476892,0.00327369
0.00512618,0.00367917,0.00224416,0.00306598,0.000896611,-4.53474e-05
0.0165402,0.0113163,0.00500968,0.0085334,0.00090019,0.000339529
0.0125428,0.0090857,0.00440327,0.00673617,0.000740857,0.000517086
0.015871,0.0114269,0.00688046,0.0116654,0.00308248,0.00176084
0.0049549,0.00346088,0.00415634,0.00808452,0.00088704,-0.000561136
0.00779094,0.00520437,0.00235082,0.00414002,4.59002e-05,0.000345829
0.0129675,0.00817709,0.00684721,0.0221992,0.00519969,0.00925125
0.0149373,0.0103283,0.00663498,0.00808522,0.00295332,0.00028202
0.0141993,0.009883,0.00521781,0.00966978,0.00101783,-0.000362521
0.00899953,0.00468339,0.00372302,0.005315,0.00116662,0.00453121
0.00975589,0.00376036,0.00383486,0.00458602,0.000451988,0.00691691
0.0166551,0.0119058,0.00687815,0.0112316,0.00229008,0.00222505
