"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0123082,0.00786076,0.00482442,0.0150189,0.00422648,0.000882027
0.00531936,0.00346354,0.0029097,0.00916039,0.000678804,-1.9974e-05
0.0113945,0.00747996,0.00416945,0.0115723,0.00240791,0.00072089
0.0122792,0.00853247,0.00699216,0.0178085,0.00305658,-0.0002481
0.00555845,0.00353181,0.00227949,0.00114941,0.00144908,0.000846948
0.00652434,0.00445798,0.00362532,0.00125984,0.000777143,0.000586665
0.00957658,0.00523927,0.00452478,0.0109134,0.00368134,0.00180707
0.00930652,0.0049966,0.00288265,0.00888084,0.00372853,0.0068141
0.0121485,0.00826753,0.00295452,0.016446,0.00206952,0.00106669
0.0112759,0.00748081,0.00411671,0.00746538,0.000515967,-0.000131154
0.0317084,0.0189543,0.0101981,0.0296546,0.00698741,0.00101216
0.0116511,0.00777686,0.00296148,0.00986201,0.00401941,0.00147036
0.00849344,0.00481097,0.00277423,0.00637318,0.00146247,-0.000422518
0.00711915,0.00445617,0.00288887,0.00303374,0.00159167,-1.60944e-05
0.00933281,0.00485544,0.00299848,0.0057497,0.00284174,-0.000373316
0.0114724,0.00668007,0.00372126,0.00112349,0.00124706,-0.000685997
0.00672306,0.00480483,0.00255061,0.00190628,0.00115175,-0.000282146
0.0263193,0.0169727,0.00907959,0.0266361,0.00465899,0.00106957
0.0229878,0.0114643,0.0105953,0.0164285,0.00524585,0.0010085
0.0302152,0.0154731,0.0107946,0.0141995,0.0048469,-0.000270717
0.0117314,0.00776966,0.00862307,0.020534,0.00371718,0.000529836
0.0129718,0.00597269,0.00775495,0.0156732,0.00145064,0.0024408
0.0107567,0.00738899,0.00444781,0.0152728,0.00177011,0.00116892
0.0108418,0.00695352,0.00462727,0.0142541,0.00203992,0.00109902
0.00971616,0.00673474,0.00446022,0.0201821,0.00510121,0.00629376
0.00733024,0.00489699,0.00247172,0.00351374,0.000936997,0.000307553
0.00665964,0.00479443,0.00199136,0.00778933,0.000523094,-0.00041204
0.00670764,0.00441332,0.00237958,-0.00186212,0.000919646,0.00101394
0.0152292,0.00676146,0.0130232,0.0256802,0.00743283,0.00241959
0.0154301,0.00683679,0.0131453,0.0273151,0.00680537,0.00211979
0.0185969,0.0093676,0.00771525,0.0134083,0.00296332,0.00246197
0.0158155,0.0084615,0.00590501,0.0111944,0.0014989,0.00170902
0.0439787,0.0287073,0.0109571,0.00999015,0.0234963,1.16664
0.00792467,0.00480662,0.00453018,0.00176262,0.00213206,0.000146131
0.00476723,0.00293242,0.00311654,0.0093749,0.0017764,0.000488396
0.00859236,0.00612184,0.00365941,0.00511147,0.00143468,-2.76736e-05
0.031313,0.0203029,0.0104927,0.0161255,0.0044087,0.00208068
0.0298792,0.0154654,0.0163279,0.0303497,0.00738379,0.00298805
0.0218414,0.0106799,0.0180171,0.053897,0.0128653,0.00358032
0.014417,0.00730788,0.00524158,0.0158581,0.00456277,0.000303167
0.0189749,0.0109386,0.00644941,0.00914768,0.00439328,0.00131744
0.00689015,0.00481237,0.00263905,0.00466371,0.00106383,6.34444e-05
0.0102034,0.0066828,0.00341148,0.00348801,0.000576104,-0.000829743
0.00437185,0.0031292,0.00372179,0.012164,0.00330285,-0.000851236
0.00916946,0.00553467,0.00392128,0.0093222,0.00191327,0.000434981
0.0100129,0.00613923,0.00654246,0.013749,0.00377393,-0.000386063
0.0269395,0.0152316,0.00886902,0.0152413,0.00426653,0.000881849
0.0115049,0.00743425,0.00280779,0.0177404,0.00509239,-0.000342761
0.02405,0.00977722,0.0135264,0.0321099,0.00813009,0.00188393
0.0163013,0.0108551,0.00724562,0.0270123,0.00657946,0.0013775
